Reference:	"Baratta and Palumbo (1998)"
DOI:	"doi:https://doi.org/10.1364/JOSAA.15.003076"
Sample Type:	"Ice"
Composition:	"CO (1)"
Temperature:	"12.5K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/1"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"		"Wavenumber (cm⁻¹)"	"k₁"	"Dk₁  (+/-)"	
1800	1.268227			1800	0.004416		
1801	1.268293			1801	0.004689		
1802	1.268212			1802	0.004801		
1803	1.268072			1803	0.004884		
1804	1.267869			1804	0.004803		
1805	1.267875			1805	0.004427		
1806	1.268137			1806	0.004286		
1807	1.268338			1807	0.004406		
1808	1.268376			1808	0.004516		
1809	1.268437			1809	0.004474		
1810	1.268562			1810	0.004572		
1811	1.268525			1811	0.004817		
1812	1.268294			1812	0.004874		
1813	1.268211			1813	0.004575		
1814	1.26838			1814	0.004435		
1815	1.268579			1815	0.004487		
1816	1.268628			1816	0.004719		
1817	1.268427			1817	0.004885		
1818	1.268207			1818	0.004685		
1819	1.26823			1819	0.004362		
1820	1.268438			1820	0.004183		
1821	1.268661			1821	0.004154		
1822	1.268888			1822	0.004135		
1823	1.269185			1823	0.004207		
1824	1.269478			1824	0.004517		
1825	1.269389			1825	0.00519		
1826	1.268781			1826	0.005499		
1827	1.268347			1827	0.004963		
1828	1.268537			1828	0.00445		
1829	1.268961			1829	0.004481		
1830	1.269011			1830	0.004976		
1831	1.268613			1831	0.005136		
1832	1.268354			1832	0.004712		
1833	1.26853			1833	0.004324		
1834	1.26876			1834	0.004364		
1835	1.268855			1835	0.004341		
1836	1.269026			1836	0.004272		
1837	1.269169			1837	0.004442		
1838	1.269135			1838	0.004574		
1839	1.26909			1839	0.004508		
1840	1.269166			1840	0.004416		
1841	1.269351			1841	0.004385		
1842	1.269525			1842	0.004545		
1843	1.269678			1843	0.004702		
1844	1.269708			1844	0.005159		
1845	1.269187			1845	0.005724		
1846	1.268504			1846	0.005367		
1847	1.268393			1847	0.004659		
1848	1.268707			1848	0.00434		
1849	1.268921			1849	0.004437		
1850	1.268941			1850	0.004442		
1851	1.268884			1851	0.004408		
1852	1.268949			1852	0.004106		
1853	1.269237			1853	0.003995		
1854	1.269423			1854	0.004184		
1855	1.269466			1855	0.004253		
1856	1.269442			1856	0.004364		
1857	1.269364			1857	0.004316		
1858	1.269411			1858	0.004151		
1859	1.269502			1859	0.004151		
1860	1.269629			1860	0.004034		
1861	1.269776			1861	0.004134		
1862	1.269793			1862	0.00421		
1863	1.269813			1863	0.004145		
1864	1.270001			1864	0.004045		
1865	1.270161			1865	0.004271		
1866	1.270121			1866	0.004425		
1867	1.270123			1867	0.00438		
1868	1.27023			1868	0.004463		
1869	1.270194			1869	0.004741		
1870	1.269884			1870	0.004904		
1871	1.269588			1871	0.004615		
1872	1.269666			1872	0.004163		
1873	1.269949			1873	0.004071		
1874	1.270141			1874	0.004132		
1875	1.270245			1875	0.004205		
1876	1.270297			1876	0.004276		
1877	1.270348			1877	0.004309		
1878	1.270339			1878	0.004437		
1879	1.270244			1879	0.004441		
1880	1.27022			1880	0.004313		
1881	1.270277			1881	0.004245		
1882	1.270356			1882	0.004189		
1883	1.270446			1883	0.004178		
1884	1.270491			1884	0.004202		
1885	1.270577			1885	0.004116		
1886	1.270714			1886	0.004165		
1887	1.270745			1887	0.004289		
1888	1.270731			1888	0.00427		
1889	1.270803			1889	0.00423		
1890	1.270846			1890	0.004331		
1891	1.270813			1891	0.004335		
1892	1.270796			1892	0.004282		
1893	1.270868			1893	0.004149		
1894	1.271075			1894	0.004093		
1895	1.271201			1895	0.004307		
1896	1.271162			1896	0.004402		
1897	1.271162			1897	0.004375		
1898	1.27119			1898	0.004435		
1899	1.27117			1899	0.004483		
1900	1.271082			1900	0.004516		
1901	1.271045			1901	0.004346		
1902	1.271139			1902	0.004245		
1903	1.271255			1903	0.00422		
1904	1.271388			1904	0.004219		
1905	1.271456			1905	0.004366		
1906	1.271362			1906	0.004464		
1907	1.271288			1907	0.004319		
1908	1.271362			1908	0.004178		
1909	1.27152			1909	0.004116		
1910	1.27166			1910	0.004192		
1911	1.271635			1911	0.00434		
1912	1.271569			1912	0.00422		
1913	1.271663			1913	0.004056		
1914	1.271881			1914	0.003986		
1915	1.272068			1915	0.004114		
1916	1.272153			1916	0.004234		
1917	1.272197			1917	0.004347		
1918	1.272169			1918	0.004485		
1919	1.272057			1919	0.004531		
1920	1.271996			1920	0.004405		
1921	1.272099			1921	0.004267		
1922	1.272233			1922	0.004335		
1923	1.272257			1923	0.004434		
1924	1.27219			1924	0.004487		
1925	1.272151			1925	0.004381		
1926	1.272202			1926	0.00431		
1927	1.272191			1927	0.004331		
1928	1.272228			1928	0.004118		
1929	1.272415			1929	0.004048		
1930	1.272509			1930	0.004153		
1931	1.272498			1931	0.004114		
1932	1.272576			1932	0.003952		
1933	1.272821			1933	0.003827		
1934	1.27308			1934	0.003952		
1935	1.273193			1935	0.004145		
1936	1.273192			1936	0.00428		
1937	1.273146			1937	0.004331		
1938	1.273126			1938	0.004275		
1939	1.273224			1939	0.004158		
1940	1.273406			1940	0.004171		
1941	1.273578			1941	0.00427		
1942	1.273668			1942	0.004491		
1943	1.273571			1943	0.004743		
1944	1.273289			1944	0.004815		
1945	1.273194			1945	0.004446		
1946	1.273361			1946	0.004326		
1947	1.273505			1947	0.004343		
1948	1.273574			1948	0.00441		
1949	1.273525			1949	0.004482		
1950	1.273477			1950	0.004332		
1951	1.273594			1951	0.004154		
1952	1.273796			1952	0.004123		
1953	1.273927			1953	0.00422		
1954	1.273959			1954	0.004272		
1955	1.274031			1955	0.004218		
1956	1.274145			1956	0.004282		
1957	1.274106			1957	0.004439		
1958	1.274022			1958	0.004323		
1959	1.274029			1959	0.004221		
1960	1.274088			1960	0.004062		
1961	1.274257			1961	0.003899		
1962	1.274455			1962	0.003884		
1963	1.274624			1963	0.003867		
1964	1.274774			1964	0.003894		
1965	1.274923			1965	0.003882		
1966	1.275141			1966	0.003885		
1967	1.275341			1967	0.004069		
1968	1.275315			1968	0.004342		
1969	1.275217			1969	0.004278		
1970	1.275318			1970	0.004147		
1971	1.275433			1971	0.004247		
1972	1.275486			1972	0.004229		
1973	1.275591			1973	0.004223		
1974	1.275715			1974	0.00426		
1975	1.275825			1975	0.00435		
1976	1.275795			1976	0.004539		
1977	1.275727			1977	0.004456		
1978	1.275755			1978	0.004415		
1979	1.275751			1979	0.004398		
1980	1.275767			1980	0.004254		
1981	1.275874			1981	0.004113		
1982	1.276065			1982	0.003991		
1983	1.276279			1983	0.004002		
1984	1.276368			1984	0.004093		
1985	1.276509			1985	0.003933		
1986	1.276716			1986	0.004018		
1987	1.276845			1987	0.004051		
1988	1.277004			1988	0.004062		
1989	1.277177			1989	0.004157		
1990	1.277241			1990	0.004333		
1991	1.277258			1991	0.00435		
1992	1.277275			1992	0.00441		
1993	1.277301			1993	0.004342		
1994	1.277414			1994	0.004291		
1995	1.277532			1995	0.004325		
1996	1.2776			1996	0.004366		
1997	1.277635			1997	0.004375		
1998	1.277631			1998	0.004352		
1999	1.277739			1999	0.004141		
2000	1.277889			2000	0.004166		
2001	1.278071			2001	0.004021		
2002	1.278256			2002	0.004136		
2003	1.278367			2003	0.004127		
2004	1.278432			2004	0.00421		
2005	1.27846			2005	0.004117		
2006	1.278609			2006	0.003966		
2007	1.278844			2007	0.003916		
2008	1.279031			2008	0.003981		
2009	1.279155			2009	0.003998		
2010	1.279254			2010	0.004		
2011	1.279386			2011	0.003906		
2012	1.279576			2012	0.003856		
2013	1.279823			2013	0.003789		
2014	1.2801			2014	0.003863		
2015	1.280255			2015	0.004051		
2016	1.280252			2016	0.00414		
2017	1.280321			2017	0.003972		
2018	1.280517			2018	0.003921		
2019	1.280689			2019	0.003901		
2020	1.280893			2020	0.003817		
2021	1.281165			2021	0.003786		
2022	1.281456			2022	0.003835		
2023	1.281653			2023	0.004011		
2024	1.281716			2024	0.004092		
2025	1.281897			2025	0.003942		
2026	1.282162			2026	0.004049		
2027	1.282298			2027	0.004166		
2028	1.282411			2028	0.004165		
2029	1.282548			2029	0.004175		
2030	1.28273			2030	0.004121		
2031	1.282906			2031	0.004187		
2032	1.283033			2032	0.004166		
2033	1.283208			2033	0.004096		
2034	1.283419			2034	0.004059		
2035	1.283671			2035	0.003996		
2036	1.283955			2036	0.00402		
2037	1.28416			2037	0.004107		
2038	1.284413			2038	0.004031		
2039	1.284659			2039	0.004213		
2040	1.284713			2040	0.004308		
2041	1.284811			2041	0.004131		
2042	1.285094			2042	0.003966		
2043	1.285469			2043	0.003914		
2044	1.285847			2044	0.003993		
2045	1.286071			2045	0.004227		
2046	1.286072			2046	0.004335		
2047	1.286166			2047	0.004046		
2048	1.286471			2048	0.003866		
2049	1.286886			2049	0.003686		
2050	1.287401			2050	0.003673		
2051	1.287731			2051	0.003943		
2052	1.287962			2052	0.003896		
2053	1.288214			2053	0.003962		
2054	1.288469			2054	0.003836		
2055	1.288922			2055	0.003694		
2056	1.289308			2056	0.003896		
2057	1.289594			2057	0.003849		
2058	1.289902			2058	0.003898		
2059	1.290167			2059	0.003821		
2060	1.290561			2060	0.003618		
2061	1.291087			2061	0.003524		
2062	1.291707			2062	0.00348		
2063	1.292279			2063	0.003735		
2064	1.292584			2064	0.00401		
2065	1.292886			2065	0.003928		
2066	1.293295			2066	0.003989		
2067	1.293652			2067	0.004015		
2068	1.29399			2068	0.003974		
2069	1.294463			2069	0.003772		
2070	1.295008			2070	0.00378		
2071	1.295508			2071	0.003725		
2072	1.296032			2072	0.003658		
2073	1.296571			2073	0.003547		
2074	1.297336			2074	0.003259		
2075	1.298107			2075	0.003445		
2076	1.298826			2076	0.003314		
2077	1.299711			2077	0.003378		
2078	1.300356			2078	0.003699		
2079	1.301058			2079	0.003411		
2080	1.302011			2080	0.003452		
2081	1.302968			2081	0.003427		
2082	1.304143			2082	0.003371		
2083	1.305273			2083	0.003714		
2084	1.306548			2084	0.003527		
2085	1.308448			2085	0.003628		
2086	1.310727			2086	0.004453		
2087	1.312818			2087	0.006353		
2088	1.313225			2088	0.00937		
2089	1.314252			2089	0.00881		
2090	1.318881			2090	0.010487		
2091	1.32081			2091	0.021126		
2092	1.309793			2092	0.034039		
2093	1.294739			2093	0.026649		
2094	1.291785			2094	0.011535		
2095	1.298202			2095	0.003433		
2096	1.304148			2096	0.003356		
2097	1.307395			2097	0.003205		
2098	1.309862			2098	0.003459		
2099	1.311781			2099	0.003508		
2100	1.313665			2100	0.003316		
2101	1.315558			2101	0.003306		
2102	1.317421			2102	0.003185		
2103	1.319393			2103	0.003093		
2104	1.321376			2104	0.003147		
2105	1.323368			2105	0.003125		
2106	1.325417			2106	0.003146		
2107	1.327512			2107	0.003088		
2108	1.329852			2108	0.002867		
2109	1.332494			2109	0.002837		
2110	1.335105			2110	0.003146		
2111	1.337765			2111	0.003189		
2112	1.34043			2112	0.003529		
2113	1.343043			2113	0.003405		
2114	1.34627			2114	0.002747		
2115	1.350116			2115	0.00253		
2116	1.35423			2116	0.002453		
2117	1.35864			2117	0.002465		
2118	1.363421			2118	0.00247		
2119	1.368944			2119	0.002405		
2120	1.372708			2120	0.003416		
2121	1.378996			2121	0.003824		
2122	1.385501			2122	0.003987		
2123	1.393214			2123	0.003509		
2124	1.401476			2124	0.004364		
2125	1.410865			2125	0.003171		
2126	1.422665			2126	0.002776		
2127	1.435822			2127	0.002868		
2128	1.452501			2128	0.001119		
2129	1.472242			2129	0.002861		
2130	1.495497			2130	0.002185		
2131	1.52672			2131	0.001647		
2132	1.567601			2132	0.003832		
2133	1.62527			2133	0.006929		
2134	1.703926			2134	0.025381		
2135	1.824681			2135	0.053127		
2136	2.011752			2136	0.153669		
2137	2.225292			2137	0.447456		
2138	2.146115			2138	1.104695		
2139	1.553998			2139	1.593971		
2140	0.853118			2140	1.42766		
2141	0.509063			2141	0.91418		
2142	0.460915			2142	0.557409		
2143	0.556094			2143	0.239551		
2144	0.68839			2144	0.143763		
2145	0.789155			2145	0.039953		
2146	0.890492			2146	0.013923		
2147	0.956504			2147	0.010903		
2148	0.999083			2148	0.010816		
2149	1.030834			2149	0.008752		
2150	1.056097			2150	0.00945		
2151	1.075506			2151	0.009806		
2152	1.090852			2152	0.010147		
2153	1.103794			2153	0.009071		
2154	1.115759			2154	0.008234		
2155	1.125594			2155	0.008795		
2156	1.1343			2156	0.007325		
2157	1.142729			2157	0.00736		
2158	1.149572			2158	0.007624		
2159	1.156097			2159	0.006733		
2160	1.162054			2160	0.007459		
2161	1.167354			2161	0.006963		
2162	1.172593			2162	0.00756		
2163	1.176532			2163	0.008605		
2164	1.180059			2164	0.008272		
2165	1.183518			2165	0.008712		
2166	1.186568			2166	0.008509		
2167	1.189915			2167	0.008282		
2168	1.192863			2168	0.008921		
2169	1.195498			2169	0.00882		
2170	1.198217			2170	0.009189		
2171	1.200521			2171	0.009804		
2172	1.202299			2172	0.010351		
2173	1.203971			2173	0.010315		
2174	1.205751			2174	0.010416		
2175	1.20747			2175	0.010501		
2176	1.209051			2176	0.010697		
2177	1.210503			2177	0.010692		
2178	1.212492			2178	0.010331		
2179	1.214356			2179	0.011543		
2180	1.214858			2180	0.012813		
2181	1.215514			2181	0.01139		
2182	1.217121			2182	0.011871		
2183	1.218244			2183	0.011996		
2184	1.219317			2184	0.012322		
2185	1.220204			2185	0.012566		
2186	1.22115			2186	0.012627		
2187	1.222033			2187	0.012978		
2188	1.222825			2188	0.013086		
2189	1.223652			2189	0.01331		
2190	1.224378			2190	0.013547		
2191	1.225173			2191	0.013617		
2192	1.226044			2192	0.013939		
2193	1.226783			2193	0.014389		
2194	1.227418			2194	0.014855		
2195	1.227923			2195	0.015438		
2196	1.228231			2196	0.016033		
2197	1.228294			2197	0.016611		
2198	1.228192			2198	0.016903		
2199	1.228113			2199	0.016995		
2200	1.228105			2200	0.016973		
2201	1.228102			2201	0.016928		
2202	1.22825			2202	0.016596		
2203	1.228718			2203	0.0164		
2204	1.229151			2204	0.016662		
2205	1.229389			2205	0.016886		
2206	1.229491			2206	0.017219		
2207	1.229407			2207	0.017469		
2208	1.229289			2208	0.017558		
2209	1.229093			2209	0.017724		
2210	1.228807			2210	0.017696		
2211	1.228431			2211	0.017655		
2212	1.227989			2212	0.017294		
2213	1.227836			2213	0.016582		
2214	1.227933			2214	0.016138		
2215	1.228087			2215	0.015721		
2216	1.228227			2216	0.015507		
2217	1.228243			2217	0.015288		
2218	1.228258			2218	0.014943		
2219	1.22832			2219	0.014636		
2220	1.228393			2220	0.014333		
2221	1.228471			2221	0.014085		
2222	1.228411			2222	0.013952		
2223	1.228225			2223	0.013609		
2224	1.228088			2224	0.013135		
2225	1.227993			2225	0.012632		
2226	1.227843			2226	0.012093		
2227	1.227764			2227	0.011253		
2228	1.227928			2228	0.010336		
2229	1.228309			2229	0.009459		
2230	1.228892			2230	0.008674		
2231	1.229534			2231	0.008165		
2232	1.230135			2232	0.00772		
2233	1.230732			2233	0.007348		
2234	1.231338			2234	0.007041		
2235	1.231868			2235	0.006884		
2236	1.232296			2236	0.006654		
2237	1.232821			2237	0.006308		
2238	1.233407			2238	0.006185		
2239	1.233877			2239	0.006127		
2240	1.234347			2240	0.005974		
2241	1.234767			2241	0.006015		
2242	1.235081			2242	0.005924		
2243	1.235433			2243	0.005788		
2244	1.235823			2244	0.00567		
