Reference:	"Palumbo et al. (2006)"
DOI:	"doi:https://doi.org/10.1039/B509279E "
Sample Type:	"Ice"
Composition:	"CO (1)"
Temperature:	"15K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/267"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"		"Wavenumber (cm⁻¹)"	"k₁"	"Dk₁  (+/-)"	
1700.22	1.282315872			1700.22	-0.000461846		
1700.46	1.282364289			1700.46	-0.000270264		
1700.71	1.282454047			1700.71	-5.2292E-5		
1700.95	1.282515378			1700.95	0.000119304		
1701.19	1.282483169			1701.19	0.000205179		
1701.43	1.282446043			1701.43	0.00022075		
1701.67	1.282441867			1701.67	0.000208637		
1701.91	1.282472385			1701.91	0.000209179		
1702.15	1.282515171			1702.15	0.000247546		
1702.39	1.282537469			1702.39	0.000320532		
1702.63	1.282528898			1702.63	0.000412642		
1702.88	1.282468154			1702.88	0.000495389		
1703.12	1.282373585			1703.12	0.000541812		
1703.36	1.282270611			1703.36	0.000537539		
1703.6	1.282186541			1703.6	0.000479552		
1703.84	1.28214702			1703.84	0.000383856		
1704.08	1.282162918			1704.08	0.000288385		
1704.32	1.282232087			1704.32	0.000233012		
1704.56	1.282310774			1704.56	0.000236998		
1704.8	1.282362394			1704.8	0.000292363		
1705.04	1.282358916			1705.04	0.000365093		
1705.29	1.282309336			1705.29	0.000414834		
1705.53	1.282241186			1705.53	0.000413972		
1705.77	1.282192154			1705.77	0.000363458		
1706.01	1.282181122			1706.01	0.000287651		
1706.25	1.282219982			1706.25	0.000218658		
1706.49	1.282291999			1706.49	0.000184774		
1706.73	1.282374799			1706.73	0.000194613		
1706.97	1.282442356			1706.97	0.000248227		
1707.21	1.28247608			1707.21	0.000332908		
1707.46	1.2824713			1707.46	0.000434875		
1707.7	1.282409841			1707.7	0.000528039		
1707.94	1.282304609			1707.94	0.0005808		
1708.18	1.282182687			1708.18	0.000563668		
1708.42	1.282085677			1708.42	0.000475459		
1708.66	1.282058156			1708.66	0.000347926		
1708.9	1.282109819			1708.9	0.000235289		
1709.14	1.282204299			1709.14	0.000183299		
1709.38	1.282298438			1709.38	0.000200224		
1709.62	1.282350229			1709.62	0.000266655		
1709.87	1.282351056			1709.87	0.000339588		
1710.11	1.282312662			1710.11	0.000386499		
1710.35	1.282259874			1710.35	0.000394882		
1710.59	1.28221482			1710.59	0.000371308		
1710.83	1.282193973			1710.83	0.000327393		
1711.07	1.282196908			1711.07	0.000276373		
1711.31	1.282228177			1711.31	0.000234541		
1711.55	1.282280766			1711.55	0.000217802		
1711.79	1.282335681			1711.79	0.000236466		
1712.04	1.282374228			1712.04	0.000291305		
1712.28	1.282368119			1712.28	0.000364278		
1712.52	1.282316777			1712.52	0.000426642		
1712.76	1.282234144			1712.76	0.000450266		
1713	1.282145085			1713	0.000419654		
1713.24	1.282079963			1713.24	0.000337907		
1713.48	1.282067894			1713.48	0.000232956		
1713.72	1.28211145			1713.72	0.00013921		
1713.96	1.282187644			1713.96	8.3785E-5		
1714.2	1.28226939			1714.2	7.6619E-5		
1714.45	1.282335644			1714.45	0.000110486		
1714.69	1.282367133			1714.69	0.000162541		
1714.93	1.282361287			1714.93	0.000213518		
1715.17	1.282325699			1715.17	0.000245746		
1715.41	1.282276105			1715.41	0.000246297		
1715.65	1.282227998			1715.65	0.000208111		
1715.89	1.2822048			1715.89	0.000134075		
1716.13	1.282242729			1716.13	3.557E-5		
1716.37	1.282315409			1716.37	-6.7924E-5		
1716.62	1.282378499			1716.62	-0.000151539		
1716.86	1.2824243			1716.86	-0.000185544		
1717.1	1.282469223			1717.1	-0.000153903		
1717.34	1.282525331			1717.34	-6.9884E-5		
1717.58	1.282587333			1717.58	2.957E-5		
1717.82	1.282613894			1717.82	9.9412E-5		
1718.06	1.282608289			1718.06	0.000123688		
1718.3	1.282621177			1718.3	0.000119649		
1718.54	1.282663775			1718.54	0.000121398		
1718.79	1.2827242			1718.79	0.000158989		
1719.03	1.282764062			1719.03	0.000233577		
1719.27	1.282764218			1719.27	0.000330536		
1719.51	1.282722542			1719.51	0.000420598		
1719.75	1.28263982			1719.75	0.000473496		
1719.99	1.282546494			1719.99	0.000470739		
1720.23	1.282475479			1720.23	0.000413835		
1720.47	1.28246244			1720.47	0.000326571		
1720.71	1.282503162			1720.71	0.00024628		
1720.95	1.282588731			1720.95	0.000209979		
1721.2	1.282688502			1721.2	0.000239344		
1721.44	1.282763828			1721.44	0.000330197		
1721.68	1.28277232			1721.68	0.000449681		
1721.92	1.282721728			1721.92	0.000559462		
1722.16	1.282627181			1722.16	0.000626044		
1722.4	1.282517069			1722.4	0.00063096		
1722.64	1.282428914			1722.64	0.000580255		
1722.88	1.282390883			1722.88	0.000496852		
1723.12	1.282402357			1723.12	0.000414848		
1723.37	1.282462992			1723.37	0.000370079		
1723.61	1.282535221			1723.61	0.000379745		
1723.85	1.282582458			1723.85	0.00044227		
1724.09	1.282578307			1724.09	0.000534028		
1724.33	1.282522849			1724.33	0.000615059		
1724.57	1.282422175			1724.57	0.000654896		
1724.81	1.282311671			1724.81	0.000633323		
1725.05	1.282218259			1725.05	0.000552992		
1725.29	1.282183221			1725.29	0.000437376		
1725.54	1.282216415			1725.54	0.000324373		
1725.78	1.282285814			1725.78	0.000250321		
1726.02	1.28237725			1726.02	0.000232449		
1726.26	1.282449718			1726.26	0.000268904		
1726.5	1.282484953			1726.5	0.00033506		
1726.74	1.282473252			1726.74	0.000400846		
1726.98	1.282427514			1726.98	0.000443315		
1727.22	1.282364528			1727.22	0.00044789		
1727.46	1.282309492			1727.46	0.000412255		
1727.7	1.282287211			1727.7	0.000353011		
1727.95	1.282295082			1727.95	0.000288973		
1728.19	1.282332992			1728.19	0.000244988		
1728.43	1.282383855			1728.43	0.000235174		
1728.67	1.282423055			1728.67	0.000256223		
1728.91	1.282438371			1728.91	0.000292238		
1729.15	1.282424173			1729.15	0.000326129		
1729.39	1.282392361			1729.39	0.000344872		
1729.63	1.282348118			1729.63	0.00034057		
1729.87	1.282308305			1729.87	0.000307082		
1730.12	1.282284544			1730.12	0.000245845		
1730.36	1.282290702			1730.36	0.000168083		
1730.6	1.282346104			1730.6	0.000100647		
1730.84	1.28242929			1730.84	6.9939E-5		
1731.08	1.282521225			1731.08	8.9007E-5		
1731.32	1.28258399			1731.32	0.000157839		
1731.56	1.282605185			1731.56	0.00025413		
1731.8	1.282565237			1731.8	0.000348887		
1732.04	1.282478618			1732.04	0.000410079		
1732.28	1.282366734			1732.28	0.000411222		
1732.53	1.282258892			1732.53	0.000340762		
1732.77	1.282209867			1732.77	0.000220332		
1733.01	1.282235015			1733.01	8.2898E-5		
1733.25	1.28232113			1733.25	-2.652E-5		
1733.49	1.282401557			1733.49	-9.5098E-5		
1733.73	1.282448181			1733.73	-0.000128933		
1733.97	1.282485539			1733.97	-0.000139196		
1734.21	1.282518863			1734.21	-0.000135729		
1734.45	1.282551024			1734.45	-0.000120279		
1734.7	1.28258632			1734.7	-8.5925E-5		
1734.94	1.282630273			1734.94	-3.4297E-5		
1735.18	1.282680229			1735.18	2.2392E-5		
1735.42	1.282715234			1735.42	7.398E-5		
1735.66	1.282725296			1735.66	0.000119859		
1735.9	1.282728482			1735.9	0.000164124		
1736.14	1.282712194			1736.14	0.000210377		
1736.38	1.282677745			1736.38	0.000246653		
1736.62	1.282630468			1736.62	0.000261199		
1736.86	1.282584638			1736.86	0.000247487		
1737.11	1.282552906			1737.11	0.000211071		
1737.35	1.282546667			1737.35	0.00016367		
1737.59	1.282564923			1737.59	0.00012455		
1737.83	1.28259944			1737.83	0.000106722		
1738.07	1.282632503			1738.07	0.000116215		
1738.31	1.282646379			1738.31	0.000145178		
1738.55	1.282631399			1738.55	0.000175433		
1738.79	1.282591796			1738.79	0.000181334		
1739.03	1.282551032			1739.03	0.00014893		
1739.28	1.282537664			1739.28	7.9133E-5		
1739.52	1.282582149			1739.52	1.07E-6		
1739.76	1.282643454			1739.76	-5.9479E-5		
1740	1.282682179			1740	-8.0914E-5		
1740.24	1.282719554			1740.24	-5.6509E-5		
1740.48	1.282775283			1740.48	-8.69E-7		
1740.72	1.282815322			1740.72	6.2915E-5		
1740.96	1.2828174			1740.96	0.00011731		
1741.2	1.282796102			1741.2	0.000156827		
1741.45	1.282763038			1741.45	0.000180284		
1741.69	1.282723612			1741.69	0.000182614		
1741.93	1.282690253			1741.93	0.000159728		
1742.17	1.282672302			1742.17	0.000118989		
1742.41	1.282678598			1742.41	6.6894E-5		
1742.65	1.282714057			1742.65	2.3952E-5		
1742.89	1.282771576			1742.89	4.614E-6		
1743.13	1.282833333			1743.13	1.9449E-5		
1743.37	1.282878627			1743.37	6.8323E-5		
1743.61	1.282889775			1743.61	0.000137109		
1743.86	1.282853745			1743.86	0.000199014		
1744.1	1.282793145			1744.1	0.000227537		
1744.34	1.282725149			1744.34	0.000206533		
1744.58	1.282683808			1744.58	0.000142232		
1744.82	1.282693416			1744.82	6.7199E-5		
1745.06	1.282743217			1745.06	1.4415E-5		
1745.3	1.282808562			1745.3	9.232E-6		
1745.54	1.282851246			1745.54	4.7578E-5		
1745.78	1.282853127			1745.78	0.000100536		
