Reference:	"Ehrenfreund et al. (1997)"
Sample Type:	"Ice"
Composition:	"CO (1)"
Temperature:	"30K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/35"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"		"Wavenumber (cm⁻¹)"	"k₁"	"Dk₁  (+/-)"	
2002.11	1.32873			2002.11	0.00281		
2002.30597	1.32879			2002.30597	0.00262		
2002.50193	1.32884			2002.50193	0.00243		
2002.6979	1.32894			2002.6979	0.00226		
2002.89386	1.32907			2002.89386	0.00212		
2003.08983	1.32921			2003.08983	0.002		
2003.2858	1.32936			2003.2858	0.002		
2003.48176	1.32951			2003.48176	0.00201		
2003.67773	1.32965			2003.67773	0.00213		
2003.87369	1.3298			2003.87369	0.00231		
2004.06966	1.32993			2004.06966	0.00249		
2004.26563	1.32999			2004.26563	0.00265		
2004.46159	1.33005			2004.46159	0.00282		
2004.65756	1.33008			2004.65756	0.00289		
2004.85352	1.3301			2004.85352	0.00293		
2005.04949	1.3301			2005.04949	0.00306		
2005.24546	1.33004			2005.24546	0.00341		
2005.44142	1.32999			2005.44142	0.00377		
2005.63739	1.32993			2005.63739	0.00367		
2005.83335	1.32986			2005.83335	0.00345		
2006.02932	1.32985			2006.02932	0.00316		
2006.22529	1.32992			2006.22529	0.00273		
2006.42125	1.33			2006.42125	0.00229		
2006.61722	1.33008			2006.61722	0.0025		
2006.81318	1.33016			2006.81318	0.00282		
2007.00915	1.33023			2007.00915	0.00301		
2007.20512	1.3303			2007.20512	0.003		
2007.40108	1.33036			2007.40108	0.00298		
2007.59705	1.33046			2007.59705	0.00268		
2007.79301	1.33056			2007.79301	0.00237		
2007.98898	1.33069			2007.98898	0.00225		
2008.18494	1.33085			2008.18494	0.00233		
2008.38091	1.33101			2008.38091	0.00241		
2008.57688	1.33121			2008.57688	0.00243		
2008.77284	1.33141			2008.77284	0.00244		
2008.96881	1.33158			2008.96881	0.00253		
2009.16477	1.33173			2009.16477	0.00268		
2009.36074	1.33187			2009.36074	0.00286		
2009.55671	1.33194			2009.55671	0.00325		
2009.75267	1.33201			2009.75267	0.00364		
2009.94864	1.33202			2009.94864	0.00388		
2010.1446	1.332			2010.1446	0.00405		
2010.34057	1.33198			2010.34057	0.00419		
2010.53654	1.33197			2010.53654	0.00423		
2010.7325	1.33195			2010.7325	0.00427		
2010.92847	1.3319			2010.92847	0.0044		
2011.12443	1.33183			2011.12443	0.00455		
2011.3204	1.33176			2011.3204	0.00469		
2011.51637	1.33168			2011.51637	0.00478		
