Reference:	"Gerakines et al. (2023)"
DOI:	"doi:https://doi.org/10.1093/mnras/stad1164"
Sample Type:	"Ice"
Composition:	"CO (1)"
Temperature:	"25K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/63"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"		"Wavenumber (cm⁻¹)"	"k₁"	"Dk₁  (+/-)"	
1500.01	1.29676			1500.01	-0.00018		
1500.1305	1.29676			1500.1305	-0.00019		
1500.2511	1.29678			1500.2511	-0.00019		
1500.3716	1.29682			1500.3716	-0.00018		
1500.4921	1.29682			1500.4921	-0.00017		
1500.6127	1.29683			1500.6127	-0.00017		
1500.7332	1.29683			1500.7332	-0.00018		
1500.8537	1.29685			1500.8537	-0.00021		
1500.9742	1.29687			1500.9742	-0.00024		
1501.0948	1.29693			1501.0948	-0.00025		
1501.2153	1.29698			1501.2153	-0.00024		
1501.3358	1.29703			1501.3358	-0.00022		
1501.4564	1.29706			1501.4564	-0.00018		
1501.5769	1.29708			1501.5769	-0.00015		
1501.6974	1.29709			1501.6974	-0.00011		
1501.818	1.2971			1501.818	-9.0E-5		
1501.9385	1.29711			1501.9385	-6.0E-5		
1502.059	1.29713			1502.059	-3.0E-5		
1502.1796	1.29714			1502.1796	3.0E-5		
1502.3001	1.29713			1502.3001	9.0E-5		
1502.4206	1.29709			1502.4206	0.00015		
1502.5412	1.29702			1502.5412	0.00018		
1502.6617	1.29695			1502.6617	0.00018		
1502.7822	1.29689			1502.7822	0.00014		
1502.9027	1.29686			1502.9027	8.0E-5		
1503.0233	1.29688			1503.0233	2.0E-5		
1503.1438	1.29693			1503.1438	-2.0E-5		
1503.2643	1.297			1503.2643	-1.0E-5		
1503.3849	1.29705			1503.3849	4.0E-5		
1503.5054	1.29707			1503.5054	0.00012		
1503.6259	1.29703			1503.6259	0.00021		
1503.7465	1.29696			1503.7465	0.00027		
1503.867	1.29686			1503.867	0.00028		
1503.9875	1.29677			1503.9875	0.00025		
1504.1081	1.29671			1504.1081	0.00019		
1504.2286	1.29669			1504.2286	0.00012		
1504.3491	1.2967			1504.3491	6.0E-5		
1504.4697	1.29673			1504.4697	3.0E-5		
1504.5902	1.29675			1504.5902	2.0E-5		
1504.7107	1.29675			1504.7107	2.0E-5		
1504.8312	1.29674			1504.8312	2.0E-5		
1504.9518	1.29672			1504.9518	1.0E-5		
1505.0723	1.2967			1505.0723	-1.0E-5		
1505.1928	1.29668			1505.1928	-4.0E-5		
1505.3134	1.29668			1505.3134	-8.0E-5		
1505.4339	1.29668			1505.4339	-0.00012		
1505.5544	1.29669			1505.5544	-0.00016		
1505.675	1.2967			1505.675	-0.0002		
1505.7955	1.29671			1505.7955	-0.00025		
1505.916	1.29674			1505.916	-0.0003		
1506.0366	1.29679			1506.0366	-0.00036		
1506.1571	1.29686			1506.1571	-0.0004		
1506.2776	1.29694			1506.2776	-0.00042		
1506.3981	1.29704			1506.3981	-0.00042		
1506.5187	1.29712			1506.5187	-0.00038		
1506.6392	1.29719			1506.6392	-0.00033		
1506.7597	1.29723			1506.7597	-0.00027		
1506.8803	1.29727			1506.8803	-0.00021		
1507.0008	1.29729			1507.0008	-0.00015		
1507.1213	1.29731			1507.1213	-8.0E-5		
1507.2419	1.29732			1507.2419	-1.0E-5		
1507.3624	1.29731			1507.3624	7.0E-5		
1507.4829	1.29727			1507.4829	0.00016		
1507.6035	1.29721			1507.6035	0.00023		
1507.724	1.29712			1507.724	0.00027		
1507.8445	1.29703			1507.8445	0.00028		
1507.9651	1.29694			1507.9651	0.00026		
1508.0856	1.29688			1508.0856	0.00021		
1508.2061	1.29685			1508.2061	0.00015		
1508.3266	1.29685			1508.3266	0.0001		
1508.4472	1.29685			1508.4472	8.0E-5		
1508.5677	1.29686			1508.5677	6.0E-5		
1508.6882	1.29685			1508.6882	6.0E-5		
1508.8088	1.29683			1508.8088	4.0E-5		
1508.9293	1.2968			1508.9293	1.0E-5		
1509.0498	1.29678			1509.0498	-3.0E-5		
1509.1704	1.29678			1509.1704	-9.0E-5		
1509.2909	1.2968			1509.2909	-0.00015		
1509.4114	1.29684			1509.4114	-0.00019		
1509.532	1.29689			1509.532	-0.00022		
1509.6525	1.29694			1509.6525	-0.00023		
1509.773	1.29699			1509.773	-0.00024		
1509.8936	1.29703			1509.8936	-0.00023		
1510.0141	1.29708			1510.0141	-0.00022		
1510.1346	1.29712			1510.1346	-0.0002		
1510.2551	1.29717			1510.2551	-0.00017		
1510.3757	1.2972			1510.3757	-0.00012		
1510.4962	1.29722			1510.4962	-7.0E-5		
1510.6167	1.29721			1510.6167	-1.0E-5		
1510.7373	1.29718			1510.7373	4.0E-5		
1510.8578	1.29714			1510.8578	6.0E-5		
1510.9783	1.2971			1510.9783	6.0E-5		
1511.0989	1.29708			1511.0989	5.0E-5		
1511.2194	1.29708			1511.2194	3.0E-5		
1511.3399	1.29709			1511.3399	3.0E-5		
1511.4605	1.29711			1511.4605	5.0E-5		
1511.581	1.29711			1511.581	7.0E-5		
1511.7015	1.29709			1511.7015	0.0001		
1511.8221	1.29705			1511.8221	0.00012		
1511.9426	1.29701			1511.9426	0.00012		
1512.0631	1.29697			1512.0631	0.00011		
