Reference:	"Hudgins et al. (1993)"
DOI:	"doi:https://doi.org/10.1086/191796"
Sample Type:	"Ice"
Composition:	"CO (1)"
Temperature:	"10K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/85"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable
T₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"		"Wavenumber (cm⁻¹)"	"k₁"	"Dk₁  (+/-)"		"Wavenumber (cm⁻¹)"	"T₁"	"DT₁  (+/-)"	
2105	1.415104			2105	0.000236189			2105	100.0137		
2110	1.434134			2110	0.000240087			2110	100.0138		
2115	1.460943			2115	0.000217997			2115	100.0138		
2120	1.501826			2120	0.000131507			2120	100.0139		
2122.5	1.531592			2122.5	2.904E-5			2122.5	100.0139		
2125	1.572563			2125	0			2125	100.0139		
2127.5	1.634085			2127.5	0			2127.5	100.014		
2130	1.720868			2130	0.02260091			2130	99.814		
2132.5	1.895166			2132.5	0.03975964			2132.5	99.61401		
2133	1.912373			2133	0.04987672			2133	99.51399		
2133.5	1.980805			2133.5	0.06764295			2133.5	99.31396		
2134	2.053507			2134	0.09388537			2134	99.01395		
2134.5	2.123403			2134.5	0.1580322			2134.5	98.31385		
2135	2.190998			2135	0.2091402			2135	97.71376		
2135.5	2.277295			2135.5	0.2641357			2135.5	97.01367		
2136	2.391046			2136	0.3472737			2136	95.91354		
2136.5	2.525624			2136.5	0.4998703			2136.5	93.91325		
2137	2.650471			2137	0.7710726			2137	90.51277		
2137.5	2.655738			2137.5	1.255149			2137.5	85.41206		
2138	2.443927			2138	1.75857			2138	81.91157		
2138.5	2.05112			2138.5	2.087079			2138.5	81.91157		
2139	1.611824			2139	2.135168			2139	84.91199		
2139.5	1.238739			2139.5	2.011206			2139.5	88.61253		
2140	0.9714758			2140	1.80021			2140	91.71297		
2140.5	0.8005252			2140.5	1.592596			2140.5	93.81327		
2141	0.6979651			2141	1.412726			2141	95.21349		
2141.5	0.6126101			2141.5	1.31055			2141.5	96.11362		
2142	0.5173648			2142	1.192767			2142	96.91373		
2142.5	0.4407765			2142.5	1.034282			2142.5	97.61383		
2143	0.3861899			2143	0.8932018			2143	98.21393		
2143.5	0.3660021			2143.5	0.702183			2143.5	98.71402		
2144	0.3924005			2144	0.5526566			2144	98.91405		
2144.5	0.4233011			2144.5	0.4587028			2144.5	99.01408		
2145	0.4674545			2145	0.3269103			2145	99.21412		
2145.5	0.5331266			2145.5	0.250079			2145.5	99.31413		
2146	0.6015916			2146	0.1895722			2146	99.41415		
2146.5	0.6602206			2146.5	0.1740842			2146.5	99.41415		
2147	0.7045021			2147	0.1495457			2147	99.46418		
2147.5	0.7514158			2147.5	0.1274964			2147.5	99.51418		
2148	0.7533293			2148	0.121748			2148	99.5342		
2149	0.8353541			2149	0.1013557			2149	99.57421		
2150	0.8746843			2150	0.08803778			2150	99.61422		
2151	0.9081078			2151	0.07401443			2151	99.66426		
2152	0.9272006			2152	0.06172869			2152	99.71427		
2153.5	0.9708216			2153.5	0.05110747			2153.5	99.75429		
2155	0.987737			2155	0.038048			2155	99.81432		
2157.5	1.039123			2157.5	0			2157.5	100.0144		
2159	1.066816			2159	0			2159	100.0144		
2160	1.083109			2160	0			2160	100.0144		
2165	1.131747			2165	0			2165	100.0145		
2170	1.162196			2170	0			2170	100.0145		
2175	1.183155			2175	0			2175	100.0146		
2180	1.198608			2180	0			2180	100.0147		
2185	1.210427			2185	0			2185	100.0148		
