Reference:	"Hudgins et al. (1993)"
DOI:	"doi:https://doi.org/10.1086/191796"
Sample Type:	"Ice"
Composition:	"CO:CH4 (20:1)"
Temperature:	"25K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/101"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable
T₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"		"Wavenumber (cm⁻¹)"	"k₁"	"Dk₁  (+/-)"		"Wavenumber (cm⁻¹)"	"T₁"	"DT₁  (+/-)"	
1000.2	1.3179			1000.2	0.0061058			1000.2	99.9		
1001.1	1.3168			1001.1	0.0060925			1000.6	99.9		
1002.1	1.3152			1002.1	0.0060806			1001.1	99.9		
1003.1	1.3142			1003.1	0.0060706			1001.6	99.9		
1004	1.3133			1004	0.0060629			1002.1	99.9		
1005	1.3119			1005	0.0060499			1002.6	99.9		
1006	1.3134			1006	0.00013526			1003.1	99.9		
1006.9	1.3149			1006.9	0.0060517			1003.5	99.9		
1007.9	1.3136			1007.9	0.0060374			1004	99.9		
1008.8	1.313			1008.8	0.0060311			1004.5	99.9		
1009.8	1.3125			1009.8	0.0060222			1005	99.9		
1010.8	1.312			1010.8	0.0060155			1005.5	100		
1011.7	1.3114			1011.7	0.0060063			1006	100		
1012.7	1.3102			1012.7	0.0059942			1006.4	100		
1013.7	1.3119			1013.7	0.0001214			1006.9	99.9		
1014.6	1.3135			1014.6	0.0060003			1007.4	99.9		
1015.6	1.3124			1015.6	0.0059881			1007.9	99.9		
1016.6	1.3118			1016.6	0.005981			1008.4	99.9		
1017.5	1.3114			1017.5	0.0059719			1008.8	99.9		
1018.5	1.311			1018.5	0.0059662			1009.3	99.9		
1019.5	1.3105			1019.5	0.0059582			1009.8	99.9		
1020.4	1.3094			1020.4	0.0059446			1010.3	99.9		
1021.4	1.3111			1021.4	0.00011496			1010.8	99.9		
1022.3	1.3127			1022.3	0.0059538			1011.3	99.9		
1023.3	1.3116			1023.3	0.0059403			1011.7	99.9		
1024.3	1.3111			1024.3	0.005933			1012.2	99.9		
1025.2	1.3108			1025.2	0.005926			1012.7	99.9		
1026.2	1.3105			1026.2	0.0059193			1013.2	99.9		
1027.2	1.3102			1027.2	0.0059106			1013.7	100		
1028.1	1.3099			1028.1	0.0059058			1014.1	99.9		
1029.1	1.3095			1029.1	0.0058987			1014.6	99.9		
1030.1	1.3089			1030.1	0.0058865			1015.1	99.9		
1031	1.3075			1031	0.0058737			1015.6	99.9		
1032	1.3083			1032	8.7274E-5			1016.1	99.9		
1033	1.3117			1033	0.00012344			1016.6	99.9		
1033.9	1.3124			1033.9	0.0058867			1017	99.9		
1034.9	1.311			1034.9	0.0058729			1017.5	99.9		
1035.8	1.3102			1035.8	0.0058648			1018	99.9		
1036.8	1.3094			1036.8	0.005855			1018.5	99.9		
1037.8	1.3079			1037.8	0.0058391			1019	99.9		
1038.7	1.3086			1038.7	9.3715E-5			1019.5	99.9		
1039.7	1.3121			1039.7	0.00012505			1019.9	99.9		
1040.7	1.3128			1040.7	0.0058527			1020.4	99.9		
1041.6	1.3114			1041.6	0.0058402			1020.9	99.9		
1042.6	1.3108			1042.6	0.0058315			1021.4	100		
1043.6	1.3103			1043.6	0.0058249			1021.9	100		
1044.5	1.31			1044.5	0.0058153			1022.3	99.9		
1045.5	1.3096			1045.5	0.0058069			1022.8	100		
1046.5	1.3092			1046.5	0.0058009			1023.3	99.9		
1047.4	1.3086			1047.4	0.0057928			1023.8	99.9		
1048.4	1.3072			1048.4	0.0057796			1024.3	99.9		
1049.4	1.308			1049.4	8.6226E-5			1024.8	99.9		
1050.3	1.3114			1050.3	0.00012345			1025.2	99.9		
1051.3	1.3121			1051.3	0.0057929			1025.7	99.9		
1052.2	1.3108			1052.2	0.0057782			1026.2	99.9		
1053.2	1.3101			1053.2	0.0057664			1026.7	99.9		
1054.2	1.3096			1054.2	0.0057616			1027.2	99.9		
1055.1	1.3091			1055.1	0.0057556			1027.7	99.9		
1056.1	1.3084			1056.1	0.0057442			1028.1	99.9		
1057.1	1.307			1057.1	0.0057301			1028.6	100		
1058	1.3076			1058	8.1226E-5			1029.1	99.9		
1059	1.3108			1059	0.00011537			1029.6	99.9		
1060	1.3106			1060	0.0057373			1030.1	99.9		
1060.9	1.3111			1060.9	0.00012249			1030.5	99.9		
1061.9	1.3123			1061.9	0.0057372			1031	99.9		
1062.9	1.3111			1062.9	0.0057262			1031.5	100		
1063.8	1.3105			1063.8	0.0057178			1032	100		
1064.8	1.3102			1064.8	0.0057088			1032.5	99.9		
1065.7	1.3099			1065.7	0.0057027			1033	100		
1066.7	1.3096			1066.7	0.0056987			1033.4	99.9		
1067.7	1.3094			1067.7	0.0056885			1033.9	99.9		
1068.6	1.3091			1068.6	0.0056828			1034.4	99.9		
1069.6	1.3088			1069.6	0.0056788			1034.9	99.9		
1070.6	1.3083			1070.6	0.0056684			1035.4	99.9		
1071.5	1.3073			1071.5	0.0056589			1035.8	99.9		
1072.5	1.3088			1072.5	9.5867E-5			1036.3	100		
1073.5	1.3103			1073.5	0.0056679			1036.8	99.9		
1074.4	1.3091			1074.4	0.0056578			1037.3	99.9		
1075.4	1.3082			1075.4	0.0056426			1037.8	99.9		
1076.4	1.3067			1076.4	0.0056303			1038.3	99.9		
1077.3	1.3073			1077.3	8.2779E-5			1038.7	100		
1078.3	1.3104			1078.3	0.0001142			1039.2	99.9		
1079.3	1.3103			1079.3	0.0056399			1039.7	100		
1080.2	1.3108			1080.2	0.00012013			1040.2	100		
1081.2	1.312			1081.2	0.0056384			1040.7	99.9		
1082.1	1.3108			1082.1	0.0056235			1041.2	99.9		
1083.1	1.3103			1083.1	0.0056187			1041.6	99.9		
1084.1	1.3099			1084.1	0.0056126			1042.1	99.9		
1085	1.3097			1085	0.0056056			1042.6	99.9		
1086	1.3095			1086	0.0055967			1043.1	100		
1087	1.3093			1087	0.0055924			1043.6	99.9		
1087.9	1.3091			1087.9	0.0055881			1044	99.9		
1088.9	1.3089			1088.9	0.0055826			1044.5	99.9		
1089.9	1.3087			1089.9	0.0055718			1045	99.9		
1090.8	1.3085			1090.8	0.0055695			1045.5	99.9		
1091.8	1.3083			1091.8	0.005561			1046	99.9		
1092.8	1.3078			1092.8	0.0055546			1046.5	99.9		
1093.7	1.3069			1093.7	0.0055423			1046.9	99.9		
1094.7	1.3085			1094.7	9.7067E-5			1047.4	99.9		
1095.6	1.31			1095.6	0.0055542			1047.9	100		
1096.6	1.309			1096.6	0.0055443			1048.4	99.9		
1097.6	1.3085			1097.6	0.0055356			1048.9	100		
1098.5	1.3081			1098.5	0.0055255			1049.4	100		
1099.5	1.3076			1099.5	0.0055192			1049.8	100		
1100.5	1.307			1100.5	0.0055088			1050.3	100		
1101.4	1.3056			1101.4	0.0054946			1050.8	99.9		
1102.4	1.3062			1102.4	6.9991E-5			1051.3	99.9		
1103.4	1.3093			1103.4	0.00010462			1051.8	99.9		
1104.3	1.3091			1104.3	0.0055055			1052.2	99.9		
1105.3	1.3095			1105.3	0.00010848			1052.7	100		
1106.3	1.3105			1106.3	0.0055074			1053.2	99.9		
1107.2	1.3092			1107.2	0.0054938			1053.7	99.9		
1108.2	1.3083			1108.2	0.0054814			1054.2	99.9		
1109.1	1.307			1109.1	0.0054662			1054.7	99.9		
1110.1	1.3083			1110.1	9.4497E-5			1055.1	99.9		
1111.1	1.3095			1111.1	0.0054749			1055.6	99.9		
1112	1.3079			1112	0.0054606			1056.1	99.9		
1113	1.3062			1113	0.0054418			1056.6	99.9		
1114	1.3065			1114	7.5904E-5			1057.1	99.9		
1114.9	1.3088			1114.9	0.00010316			1057.5	100		
1115.9	1.3111			1115.9	0.00012693			1058	100		
1116.9	1.3114			1116.9	0.0054618			1058.5	100		
1117.8	1.3097			1117.8	0.0054447			1059	100		
1118.8	1.3087			1118.8	0.0054347			1059.5	100		
1119.8	1.3074			1119.8	0.0054185			1060	99.9		
1120.7	1.3086			1120.7	9.8237E-5			1060.4	99.9		
1121.7	1.3097			1121.7	0.0054276			1060.9	100		
1122.7	1.3081			1122.7	0.0054144			1061.4	99.9		
1123.6	1.3063			1123.6	0.0053933			1061.9	99.9		
1124.6	1.3065			1124.6	7.4622E-5			1062.4	99.9		
1125.5	1.3086			1125.5	0.00010042			1062.9	99.9		
1126.5	1.3105			1126.5	0.00012199			1063.3	99.9		
1127.5	1.3097			1127.5	0.005403			1063.8	99.9		
1128.4	1.3091			1128.4	0.00010658			1064.3	99.9		
1129.4	1.3117			1129.4	0.00013303			1064.8	99.9		
1130.4	1.3118			1130.4	0.0054022			1065.3	99.9		
1131.3	1.3095			1131.3	0.0053814			1065.7	99.9		
1132.3	1.3104			1132.3	0.00012122			1066.2	99.9		
1133.3	1.3114			1133.3	0.0053855			1066.7	99.9		
1134.2	1.3095			1134.2	0.0053692			1067.2	99.9		
1135.2	1.3107			1135.2	0.00012339			1067.7	99.9		
1136.2	1.312			1136.2	0.0053808			1068.2	99.9		
1137.1	1.311			1137.1	0.0053681			1068.6	99.9		
1138.1	1.3105			1138.1	0.0053578			1069.1	99.9		
1139	1.3102			1139	0.0053522			1069.6	99.9		
1140	1.3099			1140	0.0053492			1070.1	99.9		
1141	1.3098			1141	0.0053402			1070.6	99.9		
1141.9	1.3096			1141.9	0.0053357			1071.1	99.9		
1142.9	1.3094			1142.9	0.0053305			1071.5	99.9		
1143.9	1.3093			1143.9	0.0053239			1072	99.9		
1144.8	1.3091			1144.8	0.0053207			1072.5	100		
1145.8	1.3089			1145.8	0.0053103			1073	99.9		
1146.8	1.3087			1146.8	0.0053086			1073.5	99.9		
1147.7	1.3083			1147.7	0.0053004			1073.9	99.9		
1148.7	1.3074			1148.7	0.0052908			1074.4	99.9		
1149.7	1.309			1149.7	0.00010412			1074.9	99.9		
1150.6	1.3105			1150.6	0.0053046			1075.4	99.9		
1151.1	1.3092			1151.1	0.0052922			1075.9	99.9		
1151.6	1.3085			1151.6	0.0052884			1076.4	99.9		
1152.1	1.308			1152.1	0.0052813			1076.8	99.9		
1152.6	1.3076			1152.6	0.0052751			1077.3	100		
1153	1.307			1153	0.0052708			1077.8	100		
1153.5	1.3059			1153.5	0.0052598			1078.3	100		
1154	1.307			1154	0.00020908			1078.8	99.9		
1154.5	1.3075			1154.5	0.0052648			1079.3	99.9		
1155	1.3078			1155	0.00021628			1079.7	99.9		
1155.4	1.3081			1155.4	0.0052666			1080.2	100		
1155.9	1.3084			1155.9	0.00022216			1080.7	100		
1156.4	1.3087			1156.4	0.0052654			1081.2	99.9		
1156.9	1.3092			1156.9	0.00023017			1081.7	99.9		
1157.4	1.3102			1157.4	0.0052723			1082.1	99.9		
1157.9	1.3089			1157.9	0.0052621			1082.6	99.9		
1158.3	1.3081			1158.3	0.0052549			1083.1	99.9		
1158.8	1.307			1158.8	0.0052454			1083.6	99.9		
1159.3	1.3082			1159.3	0.00021958			1084.1	99.9		
1159.8	1.3094			1159.8	0.0052573			1084.6	99.9		
1160.3	1.3081			1160.3	0.0052458			1085	99.9		
1160.7	1.3066			1160.7	0.0052317			1085.5	99.9		
1161.2	1.3071			1161.2	0.00020923			1086	99.9		
1161.7	1.31			1161.7	0.00023875			1086.5	99.9		
1162.2	1.3104			1162.2	0.0052542			1087	99.9		
1162.7	1.3084			1162.7	0.0052379			1087.4	99.9		
1163.2	1.3095			1163.2	0.00023458			1087.9	99.9		
1163.6	1.3108			1163.6	0.0052489			1088.4	99.9		
