Reference:	"Hudgins et al. (1993)"
DOI:	"doi:https://doi.org/10.1086/191796"
Sample Type:	"Ice"
Composition:	"CO:OCS (20:1)"
Temperature:	"20K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/103"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable
T₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"	"k₁"	"Dk₁  (+/-)"		"Wavenumber (cm⁻¹)"	"T₁"	"DT₁  (+/-)"	
1600.1	1.3188		0.000305			1600.1	100		
1600.6	1.3193		0.000312			1601	100		
1601	1.3203		0.000327			1601.5	99.900001526		
1601.5	1.3202		0.003889			1602.5	99.900001526		
1602	1.319		0.003873			1603.4	99.900001526		
1602.5	1.3184		0.003864			1604.4	99.900001526		
1603	1.318		0.003859			1605.4	99.900001526		
1603.4	1.3177		0.003852			1606.3	99.900001526		
1603.9	1.3174		0.003848			1607.3	99.900001526		
1604.4	1.3171		0.003843			1608.3	99.900001526		
1604.9	1.3169		0.003839			1609.2	99.900001526		
1605.4	1.3167		0.003838			1610.2	100		
1605.9	1.3165		0.003833			1611.2	99.900001526		
1606.3	1.3164		0.003832			1612.1	99.900001526		
1606.8	1.3162		0.003827			1613.1	100		
1607.3	1.316		0.003825			1614.1	100		
1607.8	1.3158		0.003823			1615	100		
1608.3	1.3155		0.003816			1616	100		
1608.7	1.3152		0.003811			1616.9	99.900001526		
1609.2	1.3148		0.003806			1617.9	99.900001526		
1609.7	1.3139		0.003792			1618.9	99.900001526		
1610.2	1.3143		0.000238			1619.8	100		
1610.7	1.3163		0.000271			1620.8	100		
1611.2	1.3166		0.003825			1621.8	99.900001526		
1611.6	1.3155		0.00381			1622.7	99.900001526		
1612.1	1.3147		0.003798			1623.7	99.900001526		
1612.6	1.3135		0.003781			1624.7	99.900001526		
1613.1	1.3136		0.000228			1625.6	100		
1613.6	1.3148		0.000246			1626.6	100		
1614.1	1.3155		0.000259			1627.6	99.900001526		
1614.5	1.3163		0.000269			1628.5	99.900001526		
1615	1.3173		0.000286			1629.5	99.900001526		
1615.5	1.3168		0.003818			1630.4	100		
1616	1.3169		0.00028			1631.4	100		
1616.5	1.3174		0.003825			1632.4	100		
1616.9	1.3164		0.003809			1633.3	100		
1617.4	1.3158		0.003801			1634.3	99.900001526		
1617.9	1.3153		0.003796			1635.3	99.900001526		
1618.4	1.3147		0.003785			1636.2	99.900001526		
1618.9	1.3136		0.00377			1637.2	100		
1619.4	1.3137		0.00023			1638.2	100		
1619.8	1.315		0.00025			1639.1	99.900001526		
1620.3	1.3159		0.000264			1640.1	100		
1620.8	1.3171		0.000283			1641.1	100		
1621.3	1.317		0.003808			1642	99.900001526		
1621.8	1.3153		0.003786			1643	99.900001526		
1622.3	1.3157		0.000263			1644	100		
1622.7	1.3159		0.003791			1644.9	99.900001526		
1623.2	1.3161		0.00027			1645.9	99.900001526		
1623.7	1.3167		0.003801			1646.8	99.900001526		
1624.2	1.3157		0.003785			1647.8	99.900001526		
1624.7	1.3149		0.003774			1648.8	99.900001526		
1625.1	1.3137		0.003758			1649.7	99.900001526		
1625.6	1.3137		0.000231			1650.7	100		
1626.1	1.315		0.000254			1651.7	100		
1626.6	1.3159		0.000267			1652.6	99.900001526		
1627.1	1.3171		0.000287			1653.6	99.800003052		
1627.6	1.3171		0.003795			1654.6	99.900001526		
1628	1.3158		0.003777			1655.5	100		
1628.5	1.3146		0.003763			1656.5	100		
1629	1.3151		0.000253			1657.5	100		
1629.5	1.3156		0.003773			1658.4	99.900001526		
1630	1.3139		0.003752			1659.4	100		
1630.4	1.3137		0.000233			1660.3	100		
1630.9	1.3147		0.000247			1661.3	100		
1631.4	1.3153		0.000257			1662.3	100		
1631.9	1.3158		0.000264			1663.2	99.900001526		
1632.4	1.3162		0.000273			1664.2	100		
1632.9	1.3168		0.000279			1665.2	100		
1633.3	1.3178		0.000297			1666.1	100		
1633.8	1.3176		0.003791			1667.1	100		
1634.3	1.3159		0.003768			1668.1	100		
1634.8	1.3163		0.000274			1669	100		
1635.3	1.3169		0.003778			1670	99.900001526		
1635.8	1.3157		0.00376			1671	100		
1636.2	1.3144		0.003743			1671.9	100		
1636.7	1.3145		0.000245			1672.9	100		
1637.2	1.3162		0.000272			1673.8	100		
1637.7	1.3157		0.003759			1674.8	100		
1638.2	1.3153		0.000257			1675.8	99.900001526		
1638.6	1.3168		0.000282			1676.7	100		
1639.1	1.3167		0.003768			1677.7	100		
1639.6	1.3149		0.003744			1678.7	100		
1640.1	1.3147		0.000247			1679.6	100		
1640.6	1.3158		0.000267			1680.6	100		
1641.1	1.3166		0.00028			1681.6	99.900001526		
1641.5	1.3178		0.000295			1682.5	100		
1642	1.3177		0.003775			1683.5	100		
1642.5	1.3163		0.003758			1684.5	99.900001526		
1643	1.3149		0.003738			1685.4	99.900001526		
1643.5	1.3149		0.000253			1686.4	100		
1644	1.3163		0.000274			1687.4	100		
1644.4	1.3175		0.000294			1688.3	100		
