Reference:	"Hudgins et al. (1993)"
DOI:	"doi:https://doi.org/10.1086/191796"
Sample Type:	"Ice"
Composition:	"CO:OCS (20:1)"
Temperature:	"30K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/105"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable
T₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"		"Wavenumber (cm⁻¹)"	"k₁"	"Dk₁  (+/-)"		"Wavenumber (cm⁻¹)"	"T₁"	"DT₁  (+/-)"	
1600.1	1.3166			1600.1	0.00027442			1600.1	100		
1600.6	1.3168			1600.6	0.000275			1601	100		
1601	1.3171			1601	0.00027948			1601.5	100		
1601.5	1.3178			1601.5	0.00029031			1602.5	100		
1602	1.3169			1602	0.0038459			1603.4	100		
1602.5	1.3161			1602.5	0.00026478			1604.4	99.9		
1603	1.3171			1603	0.00028093			1605.4	99.9		
1603.4	1.3184			1603.4	0.00029944			1606.3	99.9		
1603.9	1.3183			1603.9	0.00386			1607.3	99.9		
1604.4	1.3171			1604.4	0.0038429			1608.3	99.9		
1604.9	1.3163			1604.9	0.0038325			1609.2	99.9		
1605.4	1.3153			1605.4	0.0038174			1610.2	100		
1605.9	1.316			1605.9	0.00026503			1611.2	99.9		
1606.3	1.3168			1606.3	0.0038375			1612.1	99.9		
1606.8	1.3157			1606.8	0.0038201			1613.1	99.9		
1607.3	1.3147			1607.3	0.0038075			1614.1	100		
1607.8	1.3154			1607.8	0.00025665			1615	99.9		
1608.3	1.3162			1608.3	0.0038244			1616	99.9		
1608.7	1.3151			1608.7	0.0038084			1616.9	99.9		
1609.2	1.3139			1609.2	0.0037943			1617.9	100		
1609.7	1.314			1609.7	0.00023285			1618.9	99.9		
1610.2	1.3154			1610.2	0.0002561			1619.8	100		
1610.7	1.3169			1610.7	0.00027874			1620.8	99.9		
1611.2	1.317			1611.2	0.0038301			1621.8	99.9		
1611.6	1.3159			1611.6	0.0038154			1622.7	100		
1612.1	1.3152			1612.1	0.0038056			1623.7	99.9		
1612.6	1.3146			1612.6	0.003795			1624.7	99.9		
1613.1	1.3135			1613.1	0.0037797			1625.6	100		
1613.6	1.3136			1613.6	0.00022756			1626.6	100		
1614.1	1.315			1614.1	0.00025006			1627.6	100		
1614.5	1.3164			1614.5	0.00027153			1628.5	99.9		
1615	1.316			1615	0.0038078			1629.5	100		
1615.5	1.3161			1615.5	0.00026779			1630.4	99.9		
1616	1.3167			1616	0.0038156			1631.4	99.9		
1616.5	1.3156			1616.5	0.0038008			1632.4	99.9		
1616.9	1.315			1616.9	0.0037907			1633.3	99.9		
1617.4	1.314			1617.4	0.0037775			1634.3	99.9		
1617.9	1.3147			1617.9	0.00024468			1635.3	99.9		
1618.4	1.3153			1618.4	0.0037928			1636.2	99.9		
1618.9	1.3137			1618.9	0.0037713			1637.2	99.9		
1619.4	1.3138			1619.4	0.00023046			1638.2	99.9		
1619.8	1.3152			1619.8	0.00025392			1639.1	99.9		
1620.3	1.3166			1620.3	0.00027622			1640.1	99.9		
1620.8	1.3166			1620.8	0.0038057			1641.1	99.9		
1621.3	1.3154			1621.3	0.0037874			1642	99.9		
1621.8	1.3141			1621.8	0.0037691			1643	99.9		
1622.3	1.3144			1622.3	0.0002412			1644	99.9		
1622.7	1.3163			1622.7	0.00027179			1644.9	99.9		
1623.2	1.3166			1623.2	0.0037991			1645.9	99.9		
1623.7	1.3155			1623.7	0.003784			1646.8	99.9		
1624.2	1.3149			1624.2	0.0037742			1647.8	99.9		
1624.7	1.3142			1624.7	0.003765			1648.8	99.9		
1625.1	1.313			1625.1	0.0037497			1649.7	99.9		
1625.6	1.3131			1625.6	0.00022154			1650.7	99.9		
1626.1	1.3143			1626.1	0.00023931			1651.7	99.9		
