Reference:	"Hudgins et al. (1993)"
DOI:	"doi:https://doi.org/10.1086/191796"
Sample Type:	"Ice"
Composition:	"H2O (1)"
Temperature:	"100K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/106"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable
T₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"	"k₁"	"Dk₁  (+/-)"		"Wavenumber (cm⁻¹)"	"T₁"	"DT₁  (+/-)"	
50.2	1.6603		-0.04408			50.153	100.13999939		
52.1	1.6976		-0.12091			51.117	100.36000061		
54	1.7437		-0.050438			52.082	100.410003662		
55.9	1.743		0			53.046	100.25		
57.9	1.7351		0			54.011	100.180000305		
59.8	1.7431		-0.045701			54.975	100.029998779		
61.7	1.7546		0			55.94	100.089996338		
63.7	1.7601		-0.028799			56.904	99.98500061		
65.6	1.7711		0			57.869	100.069999695		
67.5	1.7777		0			58.833	99.901000977		
69.4	1.7802		0.002442			59.798	100.180000305		
71.4	1.78		0.01217			60.762	100.010002136		
73.3	1.7818		0.011958			61.727	100.089996338		
75.2	1.7882		0.018476			62.691	99.912002563		
77.2	1.7887		0.040841			63.656	100.120002747		
79.1	1.7674		0.069854			64.62	99.947998047		
81	1.7536		0.026603			65.585	100.089996338		
82.9	1.7683		0.008516			66.549	100.059997559		
84.9	1.7806		0.02277			67.514	100.029998779		
86.8	1.7855		0.024117			68.478	100.010002136		
88.7	1.7953		0.023468			69.442	99.983001709		
90.7	1.7931		0.054011			70.406	99.958999634		
92.6	1.7852		0.036029			71.371	99.934997559		
94.5	1.8027		0.008795			72.335	99.92199707		
96.4	1.8176		0.042448			73.3	99.933998108		
98.4	1.8235		0.036228			74.264	99.982002258		
100.3	1.8305		0.055775			75.229	99.898002625		
102.2	1.8363		0.052853			76.193	99.886001587		
104.2	1.8458		0.066147			77.158	99.777000427		
106.1	1.8472		0.085858			78.122	99.777000427		
108	1.8512		0.080967			79.087	99.620002747		
110	1.8559		0.10413			80.051	99.836997986		
111.9	1.8496		0.11649			81.016	99.848999023		
113.8	1.8525		0.10065			81.98	99.861000061		
115.7	1.8602		0.11617			82.945	99.944999695		
117.7	1.881		0.093929			83.909	99.932998657		
119.6	1.8974		0.15178			84.874	99.86000061		
121.5	1.8921		0.17217			85.838	99.619003296		
123.5	1.8864		0.19078			86.803	99.847999573		
125.4	1.8829		0.20053			87.767	99.810997009		
127.3	1.8804		0.21937			88.732	99.847000122		
129.2	1.8746		0.23692			89.696	99.257003784		
131.2	1.8659		0.25457			90.661	99.653999329		
133.1	1.854		0.26986			91.625	99.725997925		
135	1.8427		0.27702			92.59	99.762001038		
137	1.8297		0.29224			93.554	99.702003479		
138.9	1.8152		0.28936			94.519	99.930999756		
140.8	1.8113		0.286			95.483	99.797996521		
142.7	1.8073		0.29808			96.448	99.702003479		
144.7	1.7999		0.30427			97.412	99.689002991		
146.6	1.791		0.3132			98.377	99.736999512		
