Reference:	"Hudgins et al. (1993)"
DOI:	"doi:https://doi.org/10.1086/191796"
Sample Type:	"Ice"
Composition:	"H2O (1)"
Temperature:	"80K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/111"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable
T₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"		"Wavenumber (cm⁻¹)"	"k₁"	"Dk₁  (+/-)"		"Wavenumber (cm⁻¹)"	"T₁"	"DT₁  (+/-)"	
500.08	1.5128			500.08	0.01394			500.08	99.6		
503.94	1.5152			503.94	0.0069209			501.05	99.7		
507.8	1.5173			507.8	0.013635			502.01	99.7		
511.65	1.5166			511.65	0.01693			502.98	99.6		
515.51	1.519			515.51	0.013393			503.94	99.8		
519.37	1.5179			519.37	0.026673			504.9	99.6		
523.23	1.516			523.23	0.016572			505.87	99.7		
527.09	1.5204			527.09	0.016346			506.83	99.6		
530.94	1.5237			530.94	0.019397			507.8	99.6		
534.8	1.5252			534.8	0.022445			508.76	99.6		
538.66	1.5266			538.66	0.022243			509.73	99.6		
542.52	1.5296			542.52	0.021991			510.69	99.6		
546.38	1.5328			546.38	0.02489			511.65	99.5		
550.23	1.5347			550.23	0.027783			512.62	99.5		
554.09	1.5372			554.09	0.027499			513.58	99.4		
557.95	1.5404			557.95	0.030275			514.55	99.5		
561.81	1.543			561.81	0.033029			515.51	99.6		
565.67	1.5448			565.67	0.035764			516.48	99.5		
569.52	1.5477			569.52	0.035398			517.44	99.7		
573.38	1.552			573.38	0.037965			518.41	99.6		
577.24	1.555			577.24	0.043516			519.37	99.2		
581.1	1.557			581.1	0.04608			520.34	99.5		
584.96	1.5599			584.96	0.04856			521.3	99.4		
588.81	1.5617			588.81	0.053977			522.26	99.7		
592.67	1.5643			592.67	0.053473			523.23	99.5		
596.53	1.5678			596.53	0.058685			524.19	99.5		
600.39	1.5708			600.39	0.060977			525.16	99.4		
604.24	1.5742			604.24	0.066064			526.12	99.4		
608.1	1.5764			608.1	0.071158			527.09	99.5		
611.96	1.5791			611.96	0.073325			528.05	99.4		
615.82	1.5828			615.82	0.078197			529.02	99.3		
619.68	1.5864			619.68	0.083001			529.98	99.4		
623.53	1.5891			623.53	0.090587			530.94	99.4		
627.39	1.5913			627.39	0.095366			531.91	99.4		
631.25	1.5932			631.25	0.10288			532.87	99.3		
635.11	1.5946			635.11	0.10761			533.84	99.5		
638.97	1.5973			638.97	0.11216			534.8	99.3		
642.82	1.6006			642.82	0.11933			535.77	99.5		
646.68	1.6021			646.68	0.12934			536.73	99.4		
650.54	1.6019			650.54	0.13674			537.7	99.3		
654.4	1.6031			654.4	0.14122			538.66	99.3		
658.26	1.6043			658.26	0.15107			539.63	99.3		
662.11	1.6043			662.11	0.15831			540.59	99.3		
665.97	1.6049			665.97	0.16543			541.55	99.3		
669.83	1.6048			669.83	0.1753			542.52	99.3		
673.69	1.6043			673.69	0.18246			543.48	99.2		
677.55	1.6038			677.55	0.19231			544.45	99.3		
681.4	1.6017			681.4	0.20236			545.41	99.2		
685.26	1.5996			685.26	0.20968			546.38	99.2		
689.12	1.5972			689.12	0.21975			547.34	99.3		
692.98	1.5945			692.98	0.22712			548.3	99.2		
696.84	1.5916			696.84	0.23726			549.27	99.2		
700.69	1.5883			700.69	0.2447			550.23	99.1		
704.55	1.585			704.55	0.25489			551.2	99.2		
708.41	1.5801			708.41	0.26539			552.16	99.2		
712.27	1.5745			712.27	0.27326			553.13	99.2		
716.12	1.5697			716.12	0.28098			554.09	99.1		
719.98	1.5641			719.98	0.29167			555.06	99.1		
723.84	1.5572			723.84	0.29984			556.02	99		
727.7	1.5504			727.7	0.30802			556.99	99.1		
731.56	1.5433			731.56	0.31629			557.95	99		
735.41	1.5356			735.41	0.32471			558.91	99.1		
739.27	1.5269			739.27	0.33339			559.88	99		
743.13	1.5182			743.13	0.33926			560.84	99		
746.99	1.509			746.99	0.34812			561.81	98.9		
750.85	1.4987			750.85	0.3544			562.77	98.9		
754.7	1.488			754.7	0.36081			563.74	98.9		
758.56	1.4779			758.56	0.36423			564.7	98.9		
762.42	1.4682			762.42	0.37047			565.67	98.8		
766.28	1.4567			766.28	0.37715			566.63	98.8		
770.13	1.4446			770.13	0.38112			567.59	98.9		
773.99	1.4321			773.99	0.3852			568.56	98.7		
777.85	1.4202			777.85	0.3862			569.52	98.8		
781.71	1.4083			781.71	0.39018			570.49	98.7		
785.57	1.3956			785.57	0.3914			571.45	98.7		
789.42	1.3833			789.42	0.39253			572.42	98.7		
793.28	1.3705			793.28	0.39381			573.38	98.7		
797.14	1.3582			797.14	0.39195			574.35	98.6		
801	1.346			801	0.39308			575.31	98.6		
804.86	1.3332			804.86	0.39134			576.28	98.5		
808.71	1.3209			808.71	0.38948			577.24	98.5		
812.57	1.3088			812.57	0.38757			578.2	98.5		
816.43	1.296			816.43	0.38582			579.17	98.5		
820.29	1.2838			820.29	0.3809			580.13	98.5		
824.15	1.2715			824.15	0.379			581.1	98.4		
828	1.2582			828	0.37431			582.06	98.4		
831.86	1.2463			831.86	0.36622			583.03	98.4		
835.72	1.2356			835.72	0.36086			583.99	98.4		
839.58	1.224			839.58	0.35571			584.96	98.3		
843.44	1.2124			843.44	0.34749			585.92	98.3		
847.29	1.202			847.29	0.33901			586.89	98.3		
851.15	1.1922			851.15	0.33039			587.85	98.2		
855.01	1.183			855.01	0.32165			588.81	98.1		
858.87	1.174			858.87	0.31286			589.78	98.2		
862.72	1.1648			862.72	0.30412			590.74	98.2		
866.58	1.1567			866.58	0.29221			591.71	98.2		
870.44	1.1491			870.44	0.2832			592.67	98.1		
874.3	1.1416			874.3	0.27122			593.64	98		
878.16	1.1358			878.16	0.25903			594.6	98		
882.02	1.1296			882.02	0.24989			595.56	97.9		
885.87	1.1245			885.87	0.23481			596.53	97.9		
889.73	1.1201			889.73	0.22553			597.49	97.9		
893.59	1.116			893.59	0.21053			598.46	97.9		
