Reference:	"Hudgins et al. (1993)"
DOI:	"doi:https://doi.org/10.1086/191796"
Sample Type:	"Ice"
Composition:	"H2O:CH3OH:CO:NH3 (100:10:1:1)"
Temperature:	"10K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/113"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable
T₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"	"k₁"	"Dk₁  (+/-)"		"Wavenumber (cm⁻¹)"	"T₁"	"DT₁  (+/-)"	
50.2	1.6926		-0.0626			50.153	95.269996643		
51.1	1.7192		-0.058431			51.117	95.260002136		
52.1	1.7339		0			52.082	95.040000916		
53	1.7249		0			53.046	95.019996643		
54	1.7169		0			54.011	95.019996643		
55	1.7154		0			54.975	95.11000061		
55.9	1.7314		-0.043186			55.94	95.209999084		
56.9	1.7433		0			56.904	95.080001831		
57.9	1.7436		0			57.869	95.069999695		
58.8	1.7398		0			58.833	95.010002136		
59.8	1.7454		-0.027224			59.798	95.13999939		
60.8	1.7466		0.005567			60.762	94.963996887		
61.7	1.7512		-0.030012			61.727	95.160003662		
62.7	1.757		0.006978			62.691	94.95400238		
63.7	1.7627		0			63.656	95.120002747		
64.6	1.7611		0.028158			64.62	94.82900238		
65.6	1.7556		0			65.585	95.059997559		
66.5	1.7704		0			66.549	95.019996643		
67.5	1.7971		0			67.514	95.080001831		
68.5	1.7859		0.094962			68.478	94.399002075		
69.4	1.7343		0.077564			69.442	94.516998291		
70.4	1.722		0.018166			70.406	94.880996704		
71.4	1.7411		0			71.371	95.010002136		
72.3	1.7621		0.005801			72.335	94.95300293		
73.3	1.7592		0.04768			73.3	94.677001953		
74.3	1.7453		0.034657			74.264	94.762001038		
75.2	1.7418		0.028901			75.229	94.797996521		
76.2	1.749		0.010969			76.193	94.916000366		
77.2	1.749		0.038826			77.158	94.722999573		
78.1	1.7442		0.016882			78.122	94.873001099		
79.1	1.7517		0.013674			79.087	94.892997742		
80.1	1.7649		0.008239			80.051	94.929000854		
81	1.7614		0.050503			81.016	94.621002197		
82	1.7505		0.027447			81.98	94.788002014		
82.9	1.7516		0.028956			82.945	94.774002075		
83.9	1.7515		0.023784			83.909	94.809997559		
84.9	1.7569		0.016382			84.874	94.862998962		
85.8	1.7565		0.030731			85.838	94.750999451		
86.8	1.7597		0.00884			86.803	94.917999268		
87.8	1.7645		0.026847			87.767	94.774002075		
88.7	1.7623		0.02005			88.732	94.825996399		
89.7	1.7548		0.0277			89.696	94.763999939		
90.7	1.7743		-0.037065			90.661	95.290000916		
91.6	1.8011		0.015295			91.625	94.851997375		
92.6	1.7985		0.028217			92.59	94.740997314		
93.6	1.7876		0.043239			93.554	94.612998962		
94.5	1.789		0.008126			94.519	94.911003113		
95.5	1.8049		0.016679			95.483	94.832000732		
96.4	1.8141		0.025094			96.448	94.752998352		
97.4	1.8166		0.040715			97.412	94.60900116		
98.4	1.8187		0.037987			98.377	94.628997803		
99.3	1.8267		0.044098			99.341	94.566001892		
100.3	1.8221		0.073493			100.31	94.291000366		
101.3	1.8155		0.05518			101.27	94.458000183		
102.2	1.8207		0.055745			102.24	94.444999695		
103.2	1.8385		0.035331			103.2	94.627998352		
104.2	1.8621		0.065386			104.16	94.319999695		
105.1	1.8749		0.10165			105.13	93.945999146		
106.1	1.8274		0.21238			106.09	92.900001526		
107.1	1.7758		0.12525			107.06	93.772003174		
108	1.7818		0.087746			108.02	94.119003296		
109	1.8046		0.073577			108.99	94.236999512		
110	1.8184		0.10096			109.95	93.945999146		
110.9	1.8086		0.12659			110.91	93.685997009		
111.9	1.7964		0.11478			111.88	93.804000854		
112.8	1.7963		0.098945			112.84	93.955001831		
113.8	1.8084		0.09217			113.81	94.007003784		
114.8	1.8119		0.11274			114.77	93.78099823		
115.7	1.813		0.10672			115.74	93.833000183		
116.7	1.8117		0.11948			116.7	93.689002991		
117.7	1.8196		0.10065			117.67	93.873001099		
118.6	1.8221		0.13573			118.63	93.482002258		
119.6	1.8176		0.12414			119.59	93.599998474		
120.6	1.8143		0.14408			120.56	93.374000549		
121.5	1.8143		0.11882			121.52	93.638999939		
122.5	1.8236		0.13731			122.49	93.413002014		
123.5	1.8234		0.14174			123.45	93.350997925		
124.4	1.8198		0.15959			124.42	93.14099884		
125.4	1.8137		0.15002			125.38	93.241996765		
126.3	1.819		0.15082			126.35	93.212997437		
127.3	1.8182		0.16373			127.31	93.052001953		
128.3	1.8155		0.16811			128.28	92.989997864		
129.2	1.8091		0.17298			129.24	92.927001953		
130.2	1.8126		0.15552			130.2	93.111000061		
131.2	1.8155		0.18296			131.17	92.769996643		
132.1	1.8115		0.17073			132.13	92.903999329		
133.1	1.8125		0.18695			133.1	92.694000244		
134.1	1.8122		0.17576			134.06	92.81199646		
135	1.8138		0.19847			135.03	92.519996643		
136	1.8077		0.19351			135.99	92.571998596		
137	1.8039		0.20717			136.96	92.394996643		
137.9	1.8021		0.18955			137.92	92.595001221		
138.9	1.8065		0.20069			138.88	92.433998108		
139.8	1.8089		0.20523			139.85	92.356002808		
140.8	1.8072		0.21429			140.81	92.227996826		
141.8	1.8038		0.22615			141.78	92.067001343		
142.7	1.7969		0.22406			142.74	92.085998535		
143.7	1.795		0.23034			143.71	91.990997314		
144.7	1.7943		0.22216			144.67	92.075996399		
145.6	1.7933		0.24501			145.64	91.767997742		
146.6	1.7857		0.23528			146.6	91.886001587		
147.6	1.7842		0.24651			147.57	91.724998474		
148.5	1.7844		0.23312			148.53	91.875999451		
149.5	1.7823		0.2583			149.49	91.535003662		
150.5	1.7772		0.25208			150.46	91.603996277		
151.4	1.7693		0.26292			151.42	91.458999634		
152.4	1.7679		0.25109			152.39	91.59400177		
153.3	1.7653		0.26096			153.35	91.448997498		
154.3	1.7639		0.26051			154.32	91.435997009		
155.3	1.7597		0.26557			155.28	91.357002258		
156.2	1.7531		0.2672			156.24	91.32800293		
157.2	1.7544		0.25891			157.21	91.413002014		
158.2	1.7534		0.26585			158.17	91.301002502		
159.1	1.7567		0.26462			159.14	91.288002014		
160.1	1.7504		0.28209			160.1	91.044998169		
161.1	1.7484		0.272			161.07	91.163002014		
162	1.7436		0.28424			162.03	90.986000061		
163	1.744		0.27621			163	91.070999146		
164	1.7378		0.29339			163.96	90.82900238		
164.9	1.7343		0.28366			164.93	90.946998596		
165.9	1.7306		0.29081			165.89	90.834999084		
166.8	1.7282		0.2834			166.85	90.919998169		
167.8	1.7302		0.29296			167.82	90.759002686		
168.8	1.7218		0.29731			168.78	90.696998596		
169.8	1.721		0.29079			169.75	90.76599884		
170.7	1.7197		0.29152			170.71	90.736000061		
171.7	1.7243		0.29338			171.68	90.674003601		
172.6	1.7183		0.30892			172.64	90.446998596		
173.6	1.7154		0.304			173.61	90.5		
174.6	1.7098		0.31241			174.57	90.372001648		
175.5	1.7078		0.30168			175.53	90.505996704		
176.5	1.7085		0.31907			176.5	90.231002808		
177.5	1.7002		0.31424			177.46	90.299003601		
178.4	1.6968		0.32324			178.43	90.154998779		
179.4	1.6921		0.30857			179.39	90.355003357		
180.4	1.6974		0.31692			180.36	90.194000244		
181.3	1.6933		0.3215			181.32	90.114997864		
182.3	1.692		0.32881			182.29	89.986999512		
183.2	1.6839		0.33076			183.25	89.958000183		
184.2	1.6834		0.33001			184.22	89.944999695		
185.2	1.6793		0.33452			185.18	89.865997314		
186.1	1.6759		0.3344			186.14	89.852996826		
187.1	1.6735		0.34525			187.11	89.675003052		
