Reference:	"Hudgins et al. (1993)"
DOI:	"doi:https://doi.org/10.1086/191796"
Sample Type:	"Ice"
Composition:	"H2O:CH3OH:CO:NH3 (100:50:1:1)"
Temperature:	"120K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/120"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable
T₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"		"Wavenumber (cm⁻¹)"	"k₁"	"Dk₁  (+/-)"		"Wavenumber (cm⁻¹)"	"T₁"	"DT₁  (+/-)"	
500.08	1.4354			500.08	-0.0288			500.08	101.1		
501.05	1.4418			501.05	-0.031296			501.05	101.2		
502.01	1.4487			502.01	-0.025835			501.53	101.2		
502.97	1.4525			502.97	-0.030995			502.49	101.1		
503.94	1.4565			503.94	-0.028259			503.46	101.2		
504.9	1.4576			504.9	-0.028189			504.42	101		
505.87	1.4605			505.87	-0.033292			505.39	101.2		
506.83	1.4634			506.83	-0.030598			506.35	101.2		
507.8	1.4667			507.8	-0.035644			507.31	101.2		
508.76	1.4709			508.76	-0.03295			508.28	101.4		
509.73	1.4738			509.73	-0.032853			509.24	101.3		
510.69	1.476			510.69	-0.030218			510.21	101.2		
511.66	1.4774			511.66	-0.030146			511.17	101.1		
512.62	1.4792			512.62	-0.030071			512.14	101.2		
513.58	1.4812			513.58	-0.029994			513.1	101.3		
514.55	1.4835			514.55	-0.029917			514.07	101.1		
515.51	1.4866			515.51	-0.029836			515.03	101.1		
516.48	1.4881			516.48	0			516	101		
517.44	1.4878			517.44	0			516.96	101.1		
518.41	1.4898			518.41	-0.027156			517.92	101		
519.37	1.4906			519.37	0			518.89	101		
520.34	1.4915			520.34	-0.027046			519.85	100.9		
521.3	1.4957			521.3	-0.026978			520.82	101.1		
522.26	1.4982			522.26	0			521.78	101		
523.23	1.4983			523.23	0			522.75	100.7		
524.19	1.4985			524.19	0			523.71	100.8		
525.16	1.4979			525.16	0			524.68	100.8		
526.12	1.5001			526.12	0			525.64	100.8		
527.09	1.5044			527.09	0			526.6	100.8		
528.05	1.5046			528.05	0			527.57	100.7		
529.02	1.505			529.02	0			528.53	100.6		
529.98	1.5068			529.98	0			529.5	100.6		
