Reference:	"Hudgins et al. (1993)"
DOI:	"doi:https://doi.org/10.1086/191796"
Sample Type:	"Ice"
Composition:	"H2O:CH4 (20:1)"
Temperature:	"10K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/125"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable
T₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"	"k₁"	"Dk₁  (+/-)"		"Wavenumber (cm⁻¹)"	"T₁"	"DT₁  (+/-)"	
500.1	1.6308		0.0559			400.26	99.199996948		
501.5	1.624		0.06369			401.22	99.300003052		
503	1.6095		0.067094			402.19	98.900001526		
504.4	1.5996		0.070161			403.15	99.199996948		
505.9	1.592		0.067967			404.12	99.300003052		
507.3	1.589		0.062903			405.08	98.900001526		
508.8	1.5891		0.062711			406.05	99.099998474		
510.2	1.5889		0.065063			407.01	99		
511.7	1.5878		0.06747			407.97	99.099998474		
513.1	1.586		0.069916			408.94	99		
514.5	1.5829		0.072462			409.9	98.800003052		
516	1.5821		0.067276			410.87	98.699996948		
517.4	1.5824		0.072078			411.83	98.699996948		
518.9	1.5808		0.071984			412.8	99		
520.3	1.5805		0.071799			413.76	99.199996948		
521.8	1.5799		0.074136			414.72	98.599998474		
523.2	1.5787		0.074008			415.69	99.300003052		
524.7	1.5783		0.073829			416.65	98.900001526		
526.1	1.5784		0.073613			417.62	99		
527.6	1.5793		0.07334			418.58	99		
529	1.5799		0.075555			419.55	98.5		
530.5	1.5807		0.075284			420.51	98.699996948		
531.9	1.5804		0.080004			421.48	98.5		
533.4	1.5787		0.079917			422.44	98.599998474		
534.8	1.5792		0.077206			423.41	98.800003052		
536.2	1.5807		0.079316			424.37	98.5		
537.7	1.5807		0.081532			425.33	98.5		
539.1	1.5806		0.081312			426.3	98.800003052		
540.6	1.5818		0.080997			427.26	98.199996948		
542	1.5832		0.083076			428.23	98.5		
543.5	1.5842		0.085186			429.19	98.300003052		
544.9	1.5833		0.089848			430.16	98.300003052		
546.4	1.5814		0.089771			431.12	98.300003052		
547.8	1.5817		0.08709			432.09	98.5		
549.3	1.5829		0.08916			433.05	98.099998474		
550.7	1.5837		0.088843			434.02	98		
552.2	1.5847		0.090907			434.98	98.400001526		
553.6	1.5861		0.090541			435.94	98		
555.1	1.5869		0.094982			436.91	97.699996948		
556.5	1.5873		0.094695			437.87	97.900001526		
558	1.587		0.099209			438.84	97.800003052		
559.4	1.5871		0.096572			439.8	97.599998474		
560.8	1.5891		0.09849			440.77	97.400001526		
562.3	1.5893		0.10293			441.73	97.400001526		
563.7	1.5891		0.10268			442.7	97.699996948		
565.2	1.5897		0.1047			443.66	97.099998474		
566.6	1.5895		0.10679			444.62	97.099998474		
568.1	1.5899		0.10648			445.59	97.099998474		
