Reference:	"Hudgins et al. (1993)"
DOI:	"doi:https://doi.org/10.1086/191796"
Sample Type:	"Ice"
Composition:	"H2O:CH4 (20:1)"
Temperature:	"120K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/126"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable
T₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"		"Wavenumber (cm⁻¹)"	"k₁"	"Dk₁  (+/-)"		"Wavenumber (cm⁻¹)"	"T₁"	"DT₁  (+/-)"	
500.08	1.5064			500.08	0			400.26	89.4		
501.53	1.5081			501.53	3.0E-8			401.22	89.5		
502.97	1.5098			502.97	3.0E-8			401.7	89.4		
504.42	1.5083			504.42	0.002768			402.67	89.1		
505.87	1.509			505.87	3.0E-8			403.63	89		
507.31	1.5116			507.31	3.0E-8			404.6	89.2		
508.76	1.5133			508.76	3.0E-8			405.56	89.1		
510.21	1.5165			510.21	3.0E-8			406.53	89		
511.66	1.5189			511.66	3.0E-8			407.49	88.5		
513.1	1.5196			513.1	1.282E-6			408.46	88.7		
514.55	1.5197			514.55	3.0E-8			409.42	88.4		
516	1.5218			516	3.0E-8			410.39	88.5		
517.44	1.5233			517.44	3.0E-8			411.35	88.2		
518.89	1.5246			518.89	3.0E-8			412.31	88		
520.34	1.5243			520.34	0.0048539			413.28	88.2		
521.78	1.5234			521.78	0.0023927			414.24	87.7		
523.23	1.5241			523.23	0.0023698			415.21	88		
524.68	1.5246			524.68	0.0023515			416.17	87.5		
526.12	1.5249			526.12	0.0023383			417.14	87.4		
527.57	1.5261			527.57	3.0E-8			418.1	87.2		
529.02	1.5282			529.02	3.0E-8			419.07	86.9		
530.46	1.5304			530.46	3.0E-8			420.03	87.1		
531.91	1.5316			531.91	0.0021608			420.99	86.6		
533.36	1.5336			533.36	3.0E-8			421.96	86.4		
534.8	1.5349			534.8	0.0044624			422.92	86.6		
536.25	1.5358			536.25	0.0020435			423.89	86.5		
537.7	1.5376			537.7	0.0043667			424.85	85.7		
539.14	1.5373			539.14	0.0067318			425.82	85.9		
540.59	1.539			540.59	0.0019408			426.78	85.8		
542.04	1.5415			542.04	0.0065784			427.75	85.6		
543.48	1.5423			543.48	0.0065356			428.71	85.4		
544.93	1.543			544.93	0.0088378			429.67	85.4		
546.38	1.5434			546.38	0.0088			430.64	84.8		
547.82	1.5447			547.82	0.0087363			431.6	84.5		
549.27	1.5452			549.27	0.011019			432.57	84.6		
550.72	1.5466			550.72	0.0086265			433.53	84.4		
552.16	1.5474			552.16	0.013198			434.5	84.6		
553.61	1.5475			553.61	0.01085			435.46	84.1		
555.06	1.5494			555.06	0.010755			436.43	83.6		
556.5	1.5507			556.5	0.012974			437.39	83.5		
557.95	1.5513			557.95	0.012914			438.35	83.7		
559.4	1.5526			559.4	0.012833			439.32	83.1		
560.84	1.5545			560.84	0.012729			440.28	82.9		
562.29	1.556			562.29	0.014902			441.25	83.4		
563.74	1.5574			563.74	0.014809			442.21	83.3		
565.18	1.5587			565.18	0.016972			443.18	83		
566.63	1.5599			566.63	0.016877			444.14	82.8		
568.08	1.561			568.08	0.019027			445.11	83.2		
569.52	1.5621			569.52	0.018928			446.07	83.3		
570.97	1.5632			570.97	0.021063			447.04	83		
572.42	1.5642			572.42	0.020962			448	83.5		
573.86	1.5651			573.86	0.023086			448.96	83.5		
575.31	1.5657			575.31	0.022997			449.93	83.9		
576.76	1.567			576.76	0.022871			450.89	84.3		
578.2	1.5695			578.2	0.022699			451.86	83.7		
579.65	1.5709			579.65	0.026964			452.82	84.7		
581.1	1.5715			581.1	0.026862			453.79	84.4		
582.54	1.5723			582.54	0.028937			454.75	85.4		
583.99	1.5731			583.99	0.028822			455.72	85.9		
585.44	1.5751			585.44	0.028641			456.68	86		
586.88	1.5763			586.88	0.032851			457.64	86.5		
588.33	1.5766			588.33	0.032749			458.61	86.9		
589.78	1.5769			589.78	0.034811			459.57	86.8		
591.22	1.578			591.22	0.032497			460.54	87.9		
592.67	1.5803			592.67	0.034442			461.5	88.2		
594.12	1.5814			594.12	0.036439			462.47	88.3		
595.56	1.5827			595.56	0.036265			463.43	88.8		
597.01	1.5845			597.01	0.038206			464.4	89.6		
598.46	1.5857			598.46	0.040173			465.36	90.2		
599.91	1.5861			599.91	0.042172			466.32	90.6		
601.35	1.5868			601.35	0.042021			467.29	91.4		
602.8	1.5889			602.8	0.041783			468.25	91.8		
604.25	1.5902			604.25	0.045827			469.22	91.6		
605.69	1.5909			605.69	0.045668			470.18	92.6		
607.14	1.5919			607.14	0.047592			471.15	92.9		
608.59	1.5932			608.59	0.047385			472.11	93.3		
610.03	1.5949			610.03	0.049251			473.08	93.9		
611.48	1.5958			611.48	0.051162			474.04	94		
612.93	1.597			612.93	0.050951			475.01	94.8		
614.37	1.5999			614.37	0.050615			475.97	95.3		
615.82	1.6016			615.82	0.056618			476.93	95.3		
617.27	1.602			617.27	0.056444			477.9	96		
618.71	1.6035			618.71	0.058268			478.86	95.9		
620.16	1.6048			620.16	0.0601			479.83	96.8		
621.61	1.6059			621.61	0.061934			480.79	97		
623.05	1.6069			623.05	0.063769			481.76	97.1		
624.5	1.6076			624.5	0.06562			482.72	97.4		
625.95	1.6092			625.95	0.065334			483.69	97.8		
627.39	1.6104			627.39	0.069189			484.65	97.6		
628.84	1.6113			628.84	0.068945			485.61	98.1		
630.29	1.6131			630.29	0.070676			486.58	98.3		
631.73	1.6147			631.73	0.072415			487.54	98.4		
633.18	1.6163			633.18	0.074145			488.51	98.9		
634.63	1.6182			634.63	0.07584			489.47	98.9		
636.07	1.6192			636.07	0.079642			490.44	99.3		
637.52	1.6205			637.52	0.079329			491.4	99.2		
638.97	1.6223			638.97	0.083042			492.37	99.7		
640.41	1.6233			640.41	0.084783			493.33	99.6		
641.86	1.6247			641.86	0.086476			494.3	99.7		
643.31	1.6266			643.31	0.088109			495.26	99.6		
644.75	1.6282			644.75	0.0918			496.22	100		
646.2	1.6295			646.2	0.093472			497.19	99.9		
647.65	1.6307			647.65	0.097176			498.15	99.9		
649.09	1.6317			649.09	0.098858			499.12	99.9		
650.54	1.6326			650.54	0.10258			500.08	100.2		
651.99	1.6331			651.99	0.1043			501.05	100.2		
653.43	1.6342			653.43	0.10596			502.01	100.1		
654.88	1.636			654.88	0.10754			502.98	100.1		
656.33	1.6375			656.33	0.11115			503.94	100.1		
657.77	1.639			657.77	0.11274			504.9	100		
659.22	1.6407			659.22	0.11631			505.87	100.3		
660.67	1.6415			660.67	0.11997			506.83	100.1		
662.11	1.6427			662.11	0.12157			507.8	100.3		
663.56	1.6441			663.56	0.12514			508.76	100.3		
665.01	1.6461			665.01	0.12662			509.73	100.2		
666.45	1.65			666.45	0.12986			510.69	100.2		
667.9	1.6479			667.9	0.14601			511.65	100.2		
669.35	1.6441			669.35	0.1401			512.62	100.1		
670.79	1.6455			670.79	0.14162			513.58	100		
672.24	1.6473			672.24	0.14309			514.55	100.1		
673.69	1.6492			673.69	0.14655			515.51	100.1		
675.13	1.6508			675.13	0.15004			516.48	100.1		
676.58	1.6512			676.58	0.15571			517.44	100		
678.03	1.6515			678.03	0.15735			518.41	100.1		
679.47	1.6525			679.47	0.1609			519.37	100		
680.92	1.6535			680.92	0.16445			520.34	99.8		
682.37	1.6546			682.37	0.16797			521.3	100		
683.81	1.655			683.81	0.17363			522.26	100		
685.26	1.6544			685.26	0.1774			523.23	99.9		
686.71	1.6551			686.71	0.17896			524.19	99.9		
688.15	1.6559			688.15	0.18455			525.16	99.8		
689.6	1.6558			689.6	0.18824			526.12	99.9		
691.05	1.6562			691.05	0.19185			527.09	99.9		
692.49	1.6558			692.49	0.19764			528.05	99.9		
693.94	1.6557			693.94	0.19928			529.02	100		
695.39	1.656			695.39	0.20496			529.98	100		
696.84	1.6555			696.84	0.20871			530.94	99.8		
698.28	1.6557			698.28	0.21237			531.91	99.9		
699.73	1.6552			699.73	0.21818			532.87	99.9		
701.18	1.6542			701.18	0.22204			533.84	99.8		
702.62	1.6534			702.62	0.22585			534.8	99.8		
704.07	1.6529			704.07	0.22962			535.77	99.9		
705.52	1.6528			705.52	0.23331			536.73	99.7		
706.96	1.6522			706.96	0.23919			537.7	99.8		
708.41	1.6509			708.41	0.2431			538.66	99.7		
709.85	1.6503			709.85	0.24689			539.63	99.8		
711.3	1.6493			711.3	0.25287			540.59	99.9		
712.75	1.6475			712.75	0.2569			541.55	99.7		
714.2	1.6461			714.2	0.26085			542.52	99.7		
715.64	1.6449			715.64	0.26478			543.48	99.7		
717.09	1.6442			717.09	0.26861			544.45	99.7		
718.54	1.643			718.54	0.27467			545.41	99.6		
719.98	1.6414			719.98	0.27869			546.38	99.6		
721.43	1.6395			721.43	0.28491			547.34	99.6		
722.88	1.6368			722.88	0.28919			548.3	99.6		
724.32	1.6345			724.32	0.29338			549.27	99.5		
725.77	1.6322			725.77	0.29757			550.23	99.6		
727.22	1.6299			727.22	0.30178			551.2	99.6		
728.66	1.6276			728.66	0.306			552.16	99.4		
730.11	1.6252			730.11	0.31023			553.13	99.5		
731.56	1.6228			731.56	0.3145			554.09	99.4		
733	1.6202			733	0.31879			555.06	99.5		
734.45	1.6176			734.45	0.32311			556.02	99.4		
735.9	1.6149			735.9	0.32747			556.99	99.5		
737.34	1.612			737.34	0.33187			557.95	99.4		
738.79	1.6088			738.79	0.33634			558.91	99.4		
740.24	1.6051			740.24	0.34095			559.88	99.4		
741.68	1.6019			741.68	0.34324			560.84	99.4		
743.13	1.5992			743.13	0.34763			561.81	99.3		
744.58	1.5959			744.58	0.35217			562.77	99.2		
746.02	1.5919			746.02	0.35689			563.74	99.3		
747.47	1.5882			747.47	0.35932			564.7	99.2		
748.92	1.5845			748.92	0.36399			565.67	99.2		
750.36	1.5808			750.36	0.3664			566.63	99.2		
751.81	1.5771			751.81	0.37111			567.59	99.2		
753.26	1.5734			753.26	0.37355			568.56	99.2		
754.7	1.5695			754.7	0.3783			569.52	99.1		
756.15	1.5655			756.15	0.38082			570.49	99		
757.6	1.5613			757.6	0.38568			571.45	99.1		
759.04	1.5566			759.04	0.38841			572.42	99		
760.49	1.5523			760.49	0.39101			573.38	98.9		
761.94	1.5486			761.94	0.39347			574.35	98.9		
763.38	1.5445			763.38	0.39837			575.31	98.9		
764.83	1.5393			764.83	0.40122			576.28	98.9		
766.28	1.5346			766.28	0.40394			577.24	98.9		
767.72	1.53			767.72	0.40667			578.2	98.9		
769.17	1.5253			769.17	0.4094			579.17	98.7		
770.62	1.5206			770.62	0.41216			580.13	98.8		
772.06	1.5158			772.06	0.41494			581.1	98.7		
773.51	1.5108			773.51	0.41779			582.06	98.7		
774.96	1.5052			774.96	0.42079			583.03	98.6		
776.4	1.5002			776.4	0.42129			583.99	98.6		
777.85	1.4958			777.85	0.424			584.96	98.5		
779.3	1.4907			779.3	0.42688			585.92	98.5		
780.74	1.4848			780.74	0.42997			586.89	98.4		
782.19	1.4789			782.19	0.43072			587.85	98.4		
783.64	1.474			783.64	0.43118			588.81	98.4		
785.09	1.469			785.09	0.43407			589.78	98.3		
786.53	1.4638			786.53	0.43461			590.74	98.3		
787.98	1.4585			787.98	0.43758			591.71	98.3		
789.43	1.4527			789.43	0.43829			592.67	98.3		
790.87	1.4478			790.87	0.43876			593.64	98.3		
792.32	1.4425			792.32	0.44176			594.6	98.2		
793.77	1.4364			793.77	0.44254			595.56	98.2		
795.21	1.4307			795.21	0.44322			596.53	98.1		
796.66	1.4252			796.66	0.44386			597.49	98.1		
798.1	1.4197			798.1	0.44449			598.46	98		
799.55	1.4143			799.55	0.44509			599.42	98		
801	1.4089			801	0.4457			600.39	97.9		
802.45	1.4035			802.45	0.44632			601.35	97.9		
803.89	1.398			803.89	0.44695			602.32	97.9		
805.34	1.3924			805.34	0.4476			603.28	97.8		
806.79	1.386			806.79	0.44847			604.24	97.7		
808.23	1.3805			808.23	0.44667			605.21	97.7		
809.68	1.3756			809.68	0.44715			606.17	97.7		
811.13	1.3702			811.13	0.44777			607.14	97.6		
812.57	1.364			812.57	0.44858			608.1	97.6		
814.02	1.3581			814.02	0.44686			609.07	97.5		
815.47	1.3524			815.47	0.44754			610.03	97.5		
816.91	1.3468			816.91	0.44576			611	97.4		
818.36	1.3411			818.36	0.44643			611.96	97.4		
819.81	1.335			819.81	0.44476			612.93	97.4		
821.25	1.33			821.25	0.44281			613.89	97.3		
822.7	1.3246			822.7	0.44339			614.85	97.2		
824.15	1.3187			824.15	0.44165			615.82	97.1		
825.59	1.3139			825.59	0.43966			616.78	97.1		
827.04	1.3086			827.04	0.44021			617.75	97		
828.49	1.3027			828.49	0.43847			618.71	97		
829.93	1.2976			829.93	0.43651			619.68	97		
