Reference:	"Hudgins et al. (1993)"
DOI:	"doi:https://doi.org/10.1086/191796"
Sample Type:	"Ice"
Composition:	"H2O:OCS (20:1)"
Temperature:	"100K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/136"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable
T₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"		"Wavenumber (cm⁻¹)"	"k₁"	"Dk₁  (+/-)"		"Wavenumber (cm⁻¹)"	"T₁"	"DT₁  (+/-)"	
500.08	1.554			500.08	0.0046999			500.08	99.9		
501.53	1.5551			501.53	0.0046687			501.05	99.9		
502.97	1.5555			502.97	0.0046456			501.53	99.9		
504.42	1.5591			504.42	0			502.49	99.7		
505.87	1.5669			505.87	0			503.46	100		
507.31	1.5728			507.31	0.0092309			504.42	100		
508.76	1.5767			508.76	0.014022			505.39	99.9		
510.21	1.581			510.21	0.023631			506.35	100		
511.66	1.5795			511.66	0.043178			507.31	99.8		
513.1	1.5691			513.1	0.058302			508.28	99.7		
514.55	1.5548			514.55	0.063839			509.24	99.6		
516	1.5395			516	0.064463			510.21	99.5		
517.44	1.522			517.44	0.060129			511.17	99.2		
518.89	1.5135			518.89	0.030084			512.14	99.1		
520.34	1.5214			520.34	0.0099001			513.1	98.8		
521.78	1.528			521.78	0.014687			514.07	98.8		
523.23	1.5318			523.23	0.0047873			515.03	98.5		
524.68	1.5377			524.68	0.0046899			516	98.7		
526.12	1.5415			526.12	0.0046237			516.96	98.7		
527.57	1.5438			527.57	0.0045756			517.92	98.9		
529.02	1.5479			529.02	0			518.89	99.4		
530.46	1.5512			530.46	0.0044348			519.85	99.7		
531.91	1.5543			531.91	0			520.82	99.6		
533.36	1.5577			533.36	0.0043044			521.78	99.7		
534.8	1.5585			534.8	0.0042794			522.75	99.8		
536.25	1.5622			536.25	0			523.71	99.9		
537.7	1.5664			537.7	0.0041184			524.68	99.9		
539.14	1.5693			539.14	0.0040545			525.64	100		
540.59	1.5718			540.59	0.0086088			526.6	99.9		
542.04	1.571			542.04	0.013213			527.57	99.9		
543.48	1.5715			543.48	0.0085659			528.53	99.9		
544.93	1.572			544.93	0.013113			529.5	99.9		
546.38	1.5751			546.38	0.003881			530.46	99.9		
547.82	1.5786			547.82	0.012879			531.43	100		
549.27	1.5809			549.27	0.008262			532.39	99.9		
550.72	1.5824			550.72	0.017223			533.36	99.9		
552.16	1.5828			552.16	0.012664			534.32	99.9		
553.61	1.5842			553.61	0.017079			535.29	99.9		
555.06	1.5864			555.06	0.0125			536.25	100		
556.5	1.5901			556.5	0.016819			537.21	99.9		
557.95	1.5902			557.95	0.021208			538.18	99.8		
559.4	1.5924			559.4	0.016657			539.14	99.9		
560.84	1.5937			560.84	0.025397			540.11	99.8		
562.29	1.5941			562.29	0.020911			541.07	99.8		
563.74	1.596			563.74	0.025177			542.04	99.7		
565.18	1.5966			565.18	0.025087			543	99.8		
566.63	1.5988			566.63	0.024943			543.97	99.7		
568.08	1.6001			568.08	0.029181			544.93	99.7		
569.52	1.6003			569.52	0.029094			545.89	99.8		
570.97	1.6016			570.97	0.028964			546.86	99.8		
572.42	1.6041			572.42	0.028792			547.82	99.7		
573.86	1.6057			573.86	0.032952			548.79	99.8		
575.31	1.6063			575.31	0.032838			549.75	99.8		
576.76	1.6082			576.76	0.032674			550.72	99.6		
578.2	1.612			578.2	0.032435			551.68	99.7		
579.65	1.6134			579.65	0.040779			552.65	99.7		
581.1	1.6124			581.1	0.040714			553.61	99.6		
