Reference:	"Hudgins et al. (1993)"
DOI:	"doi:https://doi.org/10.1086/191796"
Sample Type:	"Ice"
Composition:	"H2O:OCS (20:1)"
Temperature:	"140K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/139"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable
T₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"	"k₁"	"Dk₁  (+/-)"		"Wavenumber (cm⁻¹)"	"T₁"	"DT₁  (+/-)"	
500.1	1.5433		0.00486			500.08	99.900001526		
501.5	1.5443		0			501.05	99.900001526		
503	1.5467		0			501.53	99.900001526		
504.4	1.5483		0			502.49	99.900001526		
505.9	1.5559		0			503.46	100		
507.3	1.563		0.004481			504.42	100		
508.8	1.566		0.004417			505.39	100.199996948		
510.2	1.5733		0.009167			506.35	100		
511.7	1.5763		0.028593			507.31	99.900001526		
513.1	1.5723		0.043357			508.28	100		
514.5	1.5565		0.068737			509.24	99.900001526		
516	1.5331		0.064794			510.21	99.800003052		
517.4	1.5155		0.050302			511.17	99.699996948		
518.9	1.5111		0.020104			512.14	99.199996948		
520.3	1.5196		0.004972			513.1	99.099998474		
521.8	1.5275		0.004858			514.07	98.800003052		
523.2	1.5337		0			515.03	98.599998474		
524.7	1.5378		0.004687			516	98.699996948		
526.1	1.5411		0			516.96	98.800003052		
527.6	1.5439		0.004575			517.92	99.199996948		
529	1.5463		0			518.89	99.599998474		
530.5	1.5486		0.004474			519.85	99.900001526		
531.9	1.5503		0			520.82	99.699996948		
533.4	1.5543		0			521.78	99.900001526		
534.8	1.5588		0			522.75	100		
536.2	1.5623		0.004201			523.71	99.800003052		
537.7	1.5627		0.008847			524.68	99.900001526		
539.1	1.5623		0.008828			525.64	100		
540.6	1.5625		0.008798			526.6	99.900001526		
542	1.5659		0.004084			527.57	99.900001526		
543.5	1.5679		0.013247			528.53	100		
544.9	1.5656		0.01326			529.5	99.900001526		
546.4	1.5661		0.008622			530.46	99.900001526		
547.8	1.5683		0.008551			531.43	99.900001526		
549.3	1.573		0.003891			532.39	100.099998474		
550.7	1.5762		0.012861			533.36	100		
552.2	1.5759		0.012833			534.32	100		
553.6	1.5766		0.01278			535.29	100		
555.1	1.5807		0.008165			536.25	99.900001526		
556.5	1.5842		0.016981			537.21	99.900001526		
558	1.5824		0.021445			538.18	99.900001526		
