Reference:	"Hudgins et al. (1993)"
DOI:	"doi:https://doi.org/10.1086/191796"
Sample Type:	"Ice"
Composition:	"N2:CH4 (20:1)"
Temperature:	"20K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/142"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable
T₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"	"k₁"	"Dk₁  (+/-)"		"Wavenumber (cm⁻¹)"	"T₁"	"DT₁  (+/-)"	
1000.2	1.221		5.6E-5			1000.2	100		
1001.1	1.221		5.6E-5			1000.6	100		
1002.1	1.221		5.5E-5			1001.1	100		
1003.1	1.221		5.5E-5			1001.6	100		
1004	1.221		5.4E-5			1002.1	100		
1005	1.221		5.4E-5			1002.6	100		
1006	1.221		5.4E-5			1003.1	100		
1006.9	1.221		5.4E-5			1003.5	100		
1007.9	1.221		5.4E-5			1004	100		
1008.8	1.221		5.3E-5			1004.5	100		
1009.8	1.221		5.3E-5			1005	100		
1010.8	1.221		5.3E-5			1005.5	100		
1011.7	1.221		5.3E-5			1006	100		
1012.7	1.221		5.3E-5			1006.4	100		
1013.7	1.221		5.3E-5			1006.9	100		
1014.6	1.221		5.3E-5			1007.4	100		
1015.6	1.221		5.3E-5			1007.9	100		
1016.6	1.221		5.3E-5			1008.4	100		
1017.5	1.221		5.3E-5			1008.8	100		
1018.5	1.221		5.3E-5			1009.3	100		
1019.5	1.221		5.3E-5			1009.8	100		
1020.4	1.221		5.2E-5			1010.3	100		
1021.4	1.221		5.3E-5			1010.8	100		
1022.3	1.221		5.2E-5			1011.3	100		
1023.3	1.221		5.2E-5			1011.7	100		
1024.3	1.221		5.2E-5			1012.2	100		
1025.2	1.221		5.2E-5			1012.7	100		
1026.2	1.221		5.2E-5			1013.2	100		
1027.2	1.221		5.2E-5			1013.7	100		
1028.1	1.221		5.2E-5			1014.1	100		
1029.1	1.221		5.2E-5			1014.6	100		
1030.1	1.221		5.2E-5			1015.1	100		
