Reference:	"Hudgins et al. (1993)"
DOI:	"doi:https://doi.org/10.1086/191796"
Sample Type:	"Ice"
Composition:	"N2:OCS (20:1)"
Temperature:	"10K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/143"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable
T₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"		"Wavenumber (cm⁻¹)"	"k₁"	"Dk₁  (+/-)"		"Wavenumber (cm⁻¹)"	"T₁"	"DT₁  (+/-)"	
700.21	1.2287			700.21	0.00022304			700.21	100		
701.18	1.2292			701.18	0.00023592			701.18	100		
702.14	1.2302			702.14	0.0002619			702.14	100		
703.1	1.23			703.1	0.0043241			703.1	99.9		
704.07	1.2284			704.07	0.0042855			704.07	99.9		
705.03	1.2273			705.03	0.0042559			705.03	99.9		
706	1.2263			706	0.0042289			706	99.9		
706.96	1.2248			706.96	0.0041894			706.96	99.9		
707.93	1.2248			707.93	0.00012457			707.93	100		
708.89	1.2261			708.89	0.00015986			708.89	100		
709.85	1.2273			709.85	0.00018919			709.85	100		
710.82	1.2263			710.82	0.0042008			710.82	99.9		
711.78	1.2253			711.78	0.00013936			711.78	100		
712.75	1.2261			712.75	0.00016248			712.75	100		
713.71	1.2265			713.71	0.00017226			713.71	100		
714.68	1.2268			714.68	0.00017846			714.68	100		
715.64	1.2271			715.64	0.00018704			715.64	100		
716.61	1.2273			716.61	0.00019372			716.61	100		
717.57	1.2276			717.57	0.00020063			717.57	100		
718.54	1.2281			718.54	0.00021207			718.54	100		
719.5	1.2289			719.5	0.00023448			719.5	100		
720.46	1.2279			720.46	0.004187			720.46	99.9		
721.43	1.2271			721.43	0.00018847			721.43	100		
722.39	1.2286			722.39	0.00022876			722.39	100		
723.36	1.228			723.36	0.0041732			723.36	99.9		
724.32	1.2278			724.32	0.00020659			724.32	100		
725.29	1.2277			725.29	0.0041548			725.29	99.9		
726.25	1.2276			726.25	0.00020111			726.25	100		
727.22	1.2276			727.22	0.0041431			727.22	99.9		
728.18	1.2277			728.18	0.00020659			728.18	100		
729.15	1.2282			729.15	0.0041476			729.15	99.9		
730.11	1.2269			730.11	0.0041121			730.11	99.9		
731.07	1.2255			731.07	0.0040747			731.07	99.9		
732.04	1.2257			732.04	0.00015438			732.04	100		
733	1.2277			733	0.00020754			733	100		
733.97	1.2277			733.97	0.0041112			733.97	99.9		
734.93	1.2258			734.93	0.0040623			734.93	99.9		
735.9	1.2259			735.9	0.00015938			735.9	100		
736.86	1.2279			736.86	0.00021183			736.86	100		
737.83	1.228			737.83	0.0040978			737.83	99.9		
738.79	1.2266			738.79	0.004063			738.79	99.9		
739.75	1.2253			739.75	0.0040253			739.75	99.9		
740.72	1.2259			740.72	0.00015986			740.72	100		
741.68	1.2259			741.68	0.0040294			741.68	99.9		
742.65	1.2255			742.65	0.00015175			742.65	100		
743.61	1.2273			743.61	0.00019991			743.61	100		
744.58	1.2268			744.58	0.004037			744.58	99.9		
745.54	1.2267			745.54	0.00018442			745.54	100		
746.51	1.2266			746.51	0.0040218			746.51	99.9		
747.47	1.2263			747.47	0.00017297			747.47	100		
748.43	1.2282			748.43	0.00022614			748.43	100		
749.4	1.2285			749.4	0.004053			749.4	99.9		
750.36	1.2273			750.36	0.0040201			750.36	99.9		
751.33	1.2268			751.33	0.0040032			751.33	99.9		
752.29	1.2263			752.29	0.003987			752.29	99.9		
753.26	1.2259			753.26	0.0039741			753.26	99.9		
754.22	1.2255			754.22	0.0039586			754.22	99.9		
755.19	1.225			755.19	0.0039419			755.19	99.9		
756.15	1.2241			756.15	0.0039133			756.15	99.9		
757.11	1.2249			757.11	0.00013649			757.11	100		
758.08	1.2255			758.08	0.0039393			758.08	99.9		
759.04	1.2237			759.04	0.0038897			759.04	99.9		
760.01	1.2236			760.01	0.00010312			760.01	100		
760.97	1.2249			760.97	0.00013745			760.97	100		
761.94	1.2258			761.94	0.00016081			761.94	100		
762.9	1.2268			762.9	0.00019181			762.9	100		
763.87	1.2262			763.87	0.0039295			763.87	99.9		
764.83	1.2259			764.83	0.00016892			764.83	100		
765.79	1.2258			765.79	0.0039095			765.79	99.9		
766.76	1.2257			766.76	0.00015914			766.76	100		
767.72	1.2255			767.72	0.0038918			767.72	99.9		
768.69	1.225			768.69	0.00014031			768.69	100		
769.65	1.2265			769.65	0.00018585			769.65	100		
770.62	1.226			770.62	0.0038902			770.62	99.9		
771.58	1.2257			771.58	0.0001632			771.58	100		
772.55	1.2255			772.55	0.0038682			772.55	99.9		
773.51	1.2249			773.51	0.00013983			773.51	100		
774.48	1.2261			774.48	0.00017178			774.48	100		
775.44	1.2273			775.44	0.00020802			775.44	100		
776.4	1.227			776.4	0.003889			776.4	99.9		
777.37	1.225			777.37	0.0038365			777.37	99.9		
778.33	1.225			778.33	0.00014174			778.33	100		
779.3	1.2267			779.3	0.00019205			779.3	100		
780.26	1.2266			780.26	0.0038606			780.26	99.9		
781.23	1.2246			781.23	0.0038053			781.23	99.9		
782.19	1.2243			782.19	0.0001241			782.19	100		
783.16	1.2254			783.16	0.00015676			783.16	100		
784.12	1.2262			784.12	0.00017917			784.12	100		
