Reference:	"Hudgins et al. (1993)"
DOI:	"doi:https://doi.org/10.1086/191796"
Sample Type:	"Ice"
Composition:	"N2:OCS (20:1)"
Temperature:	"15K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/144"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable
T₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"	"k₁"	"Dk₁  (+/-)"		"Wavenumber (cm⁻¹)"	"T₁"	"DT₁  (+/-)"	
700.2	1.2305		0.004351			700.21	99.900001526		
701.2	1.2289		0.004312			701.18	99.900001526		
702.1	1.2288		0.000227			702.14	99.900001526		
703.1	1.2288		0.004299			703.1	100		
704.1	1.2288		0.000229			704.07	99.900001526		
705	1.2294		0.004301			705.03	99.900001526		
706	1.228		0.004266			706	99.900001526		
707	1.227		0.004238			706.96	99.900001526		
707.9	1.2255		0.004198			707.93	99.900001526		
708.9	1.2255		0.000144			708.89	100		
709.9	1.2268		0.000176			709.85	100		
710.8	1.2275		0.000198			710.82	99.900001526		
711.8	1.2282		0.000214			711.78	100		
712.8	1.2293		0.000243			712.75	99.900001526		
713.7	1.2286		0.004239			713.71	99.900001526		
714.7	1.2284		0.000221			714.68	100		
715.6	1.2284		0.004222			715.64	100		
716.6	1.2285		0.000224			716.61	100		
717.6	1.2291		0.004229			717.57	99.900001526		
718.5	1.2279		0.004198			718.54	100		
719.5	1.227		0.00417			719.5	99.900001526		
720.5	1.2257		0.004135			720.46	100		
721.4	1.2259		0.000157			721.43	100		
722.4	1.2276		0.000201			722.39	100		
723.4	1.2292		0.000244			723.36	100		
724.3	1.2294		0.004199			724.32	99.900001526		
725.3	1.2282		0.004167			725.29	99.900001526		
726.2	1.2275		0.004146			726.25	100		
727.2	1.2269		0.004128			727.22	99.900001526		
728.2	1.226		0.004101			728.18	100		
729.1	1.227		0.000186			729.15	99.900001526		
730.1	1.2279		0.004134			730.11	99.900001526		
731.1	1.2269		0.004108			731.07	99.900001526		
732	1.2263		0.004086			732.04	100		
733	1.2253		0.004059			733	99.900001526		
734	1.2262		0.000166			733.97	99.900001526		
734.9	1.2269		0.004087			734.93	99.900001526		
735.9	1.2252		0.004042			735.9	99.900001526		
736.9	1.2254		0.000147			736.86	100		
737.8	1.2275		0.000202			737.83	99.900001526		
738.8	1.2277		0.004087			738.79	99.900001526		
739.8	1.2263		0.00405			739.75	99.900001526		
740.7	1.2249		0.004009			740.72	100		
741.7	1.225		0.000136			741.68	100		
742.6	1.2265		0.000177			742.65	100		
743.6	1.2279		0.000216			743.61	99.900001526		
744.6	1.2275		0.004052			744.58	99.900001526		
745.5	1.2276		0.000207			745.54	100		
746.5	1.2282		0.004061			746.51	99.900001526		
747.5	1.2271		0.00403			747.47	100		
748.4	1.2264		0.004007			748.43	99.900001526		
749.4	1.2253		0.003976			749.4	100		
750.4	1.2261		0.000169			750.36	100		
751.3	1.2265		0.003995			751.33	99.900001526		
752.3	1.2268		0.000189			752.29	99.900001526		
753.3	1.2276		0.004011			753.26	99.900001526		
754.2	1.2265		0.003982			754.22	99.900001526		
755.2	1.2258		0.003963			755.19	99.900001526		
756.1	1.2248		0.003931			756.15	99.900001526		
757.1	1.2256		0.000155			757.11	100		
758.1	1.2259		0.003947			758.08	100		
759	1.2261		0.00017			759.04	100		
760	1.2266		0.003957			760.01	99.900001526		
761	1.2249		0.00391			760.97	99.900001526		
761.9	1.225		0.00014			761.94	100		
762.9	1.2269		0.000193			762.9	99.900001526		
763.9	1.2266		0.003938			763.87	100		
764.8	1.2266		0.000186			764.83	100		
765.8	1.2271		0.003941			765.79	99.900001526		
766.8	1.2255		0.003895			766.76	99.900001526		
767.7	1.226		0.00017			767.72	100		
768.7	1.2266		0.003915			768.69	99.900001526		
769.6	1.2248		0.003869			769.65	100		
770.6	1.2248		0.000139			770.62	100		
771.6	1.2263		0.000179			771.58	100		
772.5	1.2277		0.000218			772.55	100		
773.5	1.2277		0.00392			773.51	99.900001526		
774.5	1.226		0.003875			774.48	100		
775.4	1.2267		0.000189			775.44	99.900001526		
776.4	1.2274		0.0039			776.4	100		
777.4	1.2264		0.00387			777.37	100		
778.3	1.2258		0.003852			778.33	99.900001526		
779.3	1.2251		0.00383			779.3	99.900001526		
780.3	1.2239		0.003793			780.26	99.900001526		
781.2	1.224		0.000116			781.23	100		
782.2	1.2254		0.000156			782.19	99.900001526		
783.2	1.2263		0.000183			783.16	100		
784.1	1.2276		0.000218			784.12	99.900001526		
785.1	1.2274		0.003861			785.09	99.900001526		
786	1.2257		0.003812			786.05	100		
787	1.2261		0.000177			787.01	99.900001526		
788	1.2266		0.003829			787.98	99.900001526		
788.9	1.2248		0.003778			788.94	99.900001526		
789.9	1.2249		0.00014			789.91	100		
790.9	1.2265		0.000189			790.87	99.900001526		
791.8	1.226		0.003794			791.84	100		
792.8	1.2253		0.000156			792.8	100		
793.8	1.2265		0.000188			793.77	100		
794.7	1.2276		0.000221			794.73	99.900001526		
795.7	1.2269		0.003803			795.69	99.900001526		
796.7	1.2264		0.000189			796.66	100		
797.6	1.2282		0.000238			797.62	99.900001526		
798.6	1.2283		0.003825			798.59	99.900001526		
799.5	1.2271		0.00379			799.55	99.900001526		
800.5	1.2263		0.003766			800.52	99.900001526		
801.5	1.2252		0.003734			801.48	100		
802.5	1.2255		0.000162			802.45	99.900001526		
803.4	1.2275		0.000221			803.41	100		
804.4	1.2278		0.003789			804.37	100		
805.3	1.2268		0.003756			805.34	99.900001526		
806.3	1.2261		0.003737			806.3	100		
807.3	1.2255		0.003718			807.27	99.900001526		
808.2	1.2245		0.003685			808.23	100		
809.2	1.2251		0.000152			809.2	99.900001526		
810.2	1.2251		0.003693			810.16	100		
811.1	1.2247		0.00014			811.13	100		
812.1	1.2258		0.000172			812.09	100		
813	1.2265		0.000196			813.05	100		
814	1.2275		0.000224			814.02	100		
815	1.2269		0.003722			814.98	100		
816	1.2267		0.0002			815.95	99.900001526		
816.9	1.2265		0.003702			816.91	100		
817.9	1.226		0.000181			817.88	100		
818.8	1.2275		0.000224			818.84	100		
819.8	1.2269		0.003703			819.81	100		
820.8	1.2264		0.000193			820.77	100		
821.7	1.228		0.000239			821.73	99.900001526		
822.7	1.2276		0.003709			822.7	100		
823.7	1.2276		0.00023			823.66	99.900001526		
824.6	1.2281		0.003714			824.63	100		
825.6	1.2269		0.003677			825.59	100		
826.6	1.2257		0.003642			826.56	99.900001526		
827.5	1.2258		0.000177			827.52	100		
828.5	1.2276		0.000229			828.49	100		
829.5	1.2273		0.003672			829.45	100		
830.4	1.2273		0.000221			830.42	100		
831.4	1.2276		0.003673			831.38	99.900001526		
832.3	1.2259		0.003622			832.34	99.900001526		
833.3	1.2257		0.000174			833.31	100		
834.3	1.2268		0.000206			834.27	100		
835.2	1.2274		0.000224			835.24	100		
836.2	1.2279		0.00024			836.2	100		
837.2	1.2283		0.000254			837.17	99.900001526		
838.1	1.2289		0.000272			838.13	100		
839.1	1.2298		0.000301			839.1	100		
840.1	1.2292		0.003683			840.06	100		
841	1.2287		0.000266			841.02	100		
842	1.2302		0.000311			841.99	99.900001526		
843	1.2298		0.00369			842.95	99.900001526		
843.9	1.2296		0.000295			843.92	100		
844.9	1.2314		0.000351			844.88	100		
845.9	1.2318		0.003735			845.85	99.900001526		
846.8	1.2311		0.003711			846.81	99.900001526		
847.8	1.2308		0.003699			847.78	99.900001526		
848.7	1.2307		0.003692			848.74	99.900001526		
849.7	1.2302		0.003675			849.7	100		
850.7	1.2312		0.000345			850.67	100		
851.6	1.2338		0.000423			851.63	100		
852.6	1.2347		0.003788			852.6	100		
853.6	1.2365		0.000504			853.56	99.900001526		
854.5	1.2395		0.003908			854.53	99.900001526		
855.5	1.2427		0.003988			855.49	99.900001526		
856.5	1.2487		0.007428			856.46	99.599998474		
857.4	1.2519		0.023954			857.42	99		
858.4	1.2428		0.04723			858.38	98.400001526		
859.4	1.2217		0.057571			859.35	98.400001526		
860.3	1.2029		0.040446			860.31	99.099998474		
861.3	1.1993		0.016334			861.28	99.599998474		
862.2	1.203		0.009594			862.24	99.800003052		
863.2	1.207		0.002934			863.21	99.900001526		
864.2	1.2104		0.003036			864.17	100		
865.1	1.2128		0			865.14	100		
866.1	1.2155		0			866.1	100		
867.1	1.2173		0			867.07	99.900001526		
868	1.2187		0			868.03	100		
869	1.2199		0			868.99	100		
870	1.2215		4.7E-5			869.96	99.900001526		
870.9	1.2217		0.003354			870.92	100		
871.9	1.2203		0.003309			871.89	99.900001526		
872.9	1.2206		1.9E-5			872.85	100		
873.8	1.2225		7.9E-5			873.82	100		
874.8	1.2226		0.003367			874.78	99.900001526		
875.8	1.2212		0.003322			875.75	99.900001526		
876.7	1.2214		4.5E-5			876.71	100		
877.7	1.2232		0.000101			877.67	99.900001526		
878.6	1.223		0.003364			878.64	99.900001526		
879.6	1.2232		0.000106			879.6	99.900001526		
880.6	1.2239		0.003382			880.57	100		
881.5	1.223		0.003354			881.53	99.900001526		
882.5	1.2225		0.003336			882.5	99.900001526		
883.5	1.2219		0.003315			883.46	100		
884.4	1.2209		0.003283			884.43	100		
885.4	1.221		3.3E-5			885.39	100		
886.4	1.2222		7.3E-5			886.35	100		
887.3	1.2229		9.4E-5			887.32	100		
888.3	1.2236		0.000117			888.28	100		
889.2	1.2246		0.00015			889.25	100		
890.2	1.2243		0.003362			890.21	99.900001526		
891.2	1.2226		0.003306			891.18	99.900001526		
892.1	1.2225		8.1E-5			892.14	100		
893.1	1.2239		0.000127			893.11	100		
894.1	1.2233		0.003317			894.07	99.900001526		
895	1.2226		8.4E-5			895.03	100		
896	1.2233		0.00011			896	100		
897	1.2238		0.000124			896.96	99.900001526		
897.9	1.2241		0.000134			897.93	99.900001526		
898.9	1.2243		0.000144			898.89	99.900001526		
899.9	1.2246		0.000153			899.86	99.900001526		
900.8	1.2249		0.000162			900.82	99.900001526		
901.8	1.2253		0.000173			901.79	100		
902.8	1.2257		0.000189			902.75	100		
903.7	1.2266		0.00022			903.72	100		
904.7	1.2265		0.003379			904.68	100		
905.6	1.2252		0.003334			905.64	99.900001526		
906.6	1.2239		0.003294			906.61	99.900001526		
907.6	1.2239		0.000132			907.57	100		
908.5	1.2252		0.000173			908.54	100		
909.5	1.2264		0.000213			909.5	100		
910.5	1.2264		0.003357			910.47	99.900001526		
911.43	1.225299954		0.0033197			911.43	99.900001526		
912.4	1.224300027		0.0032852			912.4	100		
913.36	1.224799991		0.00016117			913.36	99.900001526		
914.32	1.225000024		0.0033016			914.33	100		
915.29	1.225299954		0.00017667			915.29	100		
916.25	1.225800037		0.0033195			916.25	99.900001526		
917.22	1.224799991		0.0032868			917.22	99.900001526		
918.18	1.223899961		0.0032535			918.18	100		
919.15	1.224400043		0.00014806			919.15	99.900001526		
920.11	1.224499941		0.0032675			920.11	99.900001526		
921.08	1.224300027		0.00014424			921.08	100		
922.04	1.225800037		0.00019646			922.04	100		
923.01	1.225800037		0.0032985			923.01	99.900001526		
923.97	1.224300027		0.0032475			923.97	99.900001526		
924.93	1.224300027		0.00014496			924.93	100		
925.9	1.225499988		0.00018692			925.9	100		
926.86	1.226799965		0.00022912			926.86	100		
927.83	1.226899981		0.0033178			927.83	99.900001526		
928.79	1.225999951		0.0032868			928.79	99.900001526		
929.76	1.225499988		0.0032699			929.76	99.900001526		
930.72	1.225200057		0.0032542			930.72	99.900001526		
931.69	1.224799991		0.0032399			931.68	99.900001526		
932.65	1.224099994		0.0032141			932.65	100		
933.61	1.224900007		0.00016785			933.61	100		
934.58	1.225600004		0.0032566			934.58	99.900001526		
935.54	1.224799991		0.003226			935.54	99.900001526		
936.51	1.223899961		0.0031972			936.51	100		
937.47	1.22420001		0.00014639			937.47	100		
938.44	1.225999951		0.00020719			938.44	100		
939.4	1.226400018		0.003264			939.4	99.900001526		
940.37	1.225499988		0.0032349			940.37	99.900001526		
941.33	1.22510004		0.0032201			941.33	99.900001526		
942.29	1.224799991		0.0032063			942.29	99.900001526		
943.26	1.224400043		0.0031896			943.26	99.900001526		
944.22	1.223700047		0.0031645			944.22	100		
945.19	1.224300027		0.00014997			945.19	99.900001526		
946.15	1.224499941		0.0031869			946.15	99.900001526		
947.12	1.224400043		0.00015402			947.12	100		
948.08	1.226099968		0.00021052			948.08	99.900001526		
949.05	1.226300001		0.0032327			949.05	99.900001526		
950.01	1.225399971		0.0032001			950.01	99.900001526		
950.97	1.224499941		0.0031707			950.97	100		
951.94	1.225299954		0.00018406			951.94	99.900001526		
952.9	1.225999951		0.0032132			952.9	99.900001526		
953.87	1.225299954		0.0031874			953.87	99.900001526		
954.83	1.224900007		0.0031722			954.83	100		
955.8	1.224499941		0.0031564			955.8	99.900001526		
956.76	1.223799944		0.003129			956.76	99.900001526		
957.73	1.22420001		0.00014591			957.73	100		
958.69	1.225999951		0.00020981			958.69	100		
959.66	1.226300001		0.0032029			959.66	99.900001526		
960.62	1.225600004		0.003176			960.62	99.900001526		
961.58	1.225200057		0.0031626			961.58	100		
962.55	1.225000024		0.0031483			962.55	99.900001526		
963.51	1.224599957		0.0031378			963.51	99.900001526		
964.48	1.224099994		0.0031154			964.48	100		
965.44	1.224900007		0.0001719			965.44	99.900001526		
966.41	1.225700021		0.0031626			966.41	99.900001526		
967.37	1.22510004		0.0031388			967.37	100		
968.34	1.224799991		0.0031276			968.34	99.900001526		
969.3	1.224499941		0.0031164			969.3	99.900001526		
970.26	1.22420001		0.0031033			970.26	99.900001526		
971.23	1.22360003		0.0030794			971.23	99.900001526		
972.19	1.224300027		0.0001545			972.19	99.900001526		
973.16	1.225000024		0.0031192			973.16	99.900001526		
974.12	1.223799944		0.0030794			974.12	100		
975.09	1.224300027		0.00015426			975.09	100		
976.05	1.224499941		0.0030961			976.05	99.900001526		
977.02	1.224699974		0.00016689			977.02	99.900001526		
977.98	1.224699974		0.0030982			977.98	99.900001526		
978.95	1.224599957		0.0001626			978.94	99.900001526		
979.91	1.226099968		0.00021839			979.91	99.900001526		
980.87	1.226300001		0.0031407			980.87	99.900001526		
981.84	1.225399971		0.003109			981.84	100		
982.8	1.224799991		0.0030859			982.8	100		
983.77	1.223999977		0.003056			983.77	100		
984.73	1.224300027		0.00015593			984.73	100		
985.7	1.225999951		0.00021577			985.7	100		
986.66	1.226300001		0.003124			986.66	99.900001526		
987.62	1.225499988		0.0030942			987.63	99.900001526		
988.59	1.225000024		0.0030742			988.59	99.900001526		
989.55	1.22420001		0.0030482			989.55	99.900001526		
990.52	1.224900007		0.00017643			990.52	99.900001526		
991.48	1.225200057		0.0030749			991.48	100		
992.45	1.225600004		0.00020075			992.45	99.900001526		
993.41	1.226199985		0.0031028			993.41	99.900001526		
994.38	1.225499988		0.003077			994.38	99.900001526		
995.34	1.225200057		0.0030625			995.34	99.900001526		
996.31	1.224799991		0.0030501			996.31	99.900001526		
997.27	1.22420001		0.0030262			997.27	99.900001526		
998.23	1.225000024		0.00018334			998.23	99.900001526		
999.2	1.225800037		0.0030723			999.2	99.900001526		
1000.2	1.22510004		0.0030487			1000.2	99.900001526		
1001.1	1.224799991		0.0030332			1001.1	100		
1002.1	1.224400043		0.0030179			1002.1	99.900001526		
1003.1	1.22360003		0.0029895			1003.1	99.900001526		
1004	1.223899961		0.00014353			1004	100		
1005	1.225399971		0.00020003			1005	99.900001526		
1006	1.225200057		0.0030358			1006	99.900001526		
1006.9	1.225000024		0.00018477			1006.9	100		
1007.9	1.226500034		0.00023937			1007.9	100		
1008.8	1.226799965		0.0030813			1008.8	99.900001526		
1009.8	1.225999951		0.0030537			1009.8	99.900001526		
1010.8	1.225700021		0.0030396			1010.8	100		
1011.7	1.225399971		0.0030272			1011.7	100		
1012.7	1.22510004		0.0030143			1012.7	99.900001526		
1013.7	1.224599957		0.0029938			1013.7	99.900001526		
1014.6	1.225399971		0.00019908			1014.6	99.900001526		
1015.6	1.226199985		0.0030432			1015.6	99.900001526		
1016.6	1.225600004		0.003022			1016.6	99.900001526		
1017.5	1.225399971		0.00301			1017.5	99.900001526		
1018.5	1.225200057		0.003			1018.5	99.900001526		
1019.5	1.224900007		0.0029907			1019.5	99.900001526		
1020.4	1.224400043		0.0029712			1020.4	99.900001526		
1021.4	1.225299954		0.00019574			1021.4	99.900001526		
1022.3	1.226099968		0.0030222			1022.3	99.900001526		
1023.3	1.225499988		0.003			1023.3	99.900001526		
1024.3	1.225200057		0.0029871			1024.3	99.900001526		
1025.2	1.224599957		0.0029645			1025.2	99.900001526		
1026.2	1.225499988		0.00020385			1026.2	99.900001526		
1027.2	1.226300001		0.0030169			1027.2	100		
1028.1	1.225800037		0.0029981			1028.1	99.900001526		
1029.1	1.225600004		0.0029886			1029.1	100		
1030.1	1.225499988		0.0029821			1030.1	99.900001526		
1031	1.225399971		0.0029757			1031	99.900001526		
1032	1.225299954		0.0029714			1032	99.900001526		
1033	1.225200057		0.0029659			1033	99.900001526		
1033.9	1.22510004		0.0029566			1033.9	99.900001526		
1034.9	1.224599957		0.002939			1034.9	100		
1035.8	1.225499988		0.00020552			1035.8	100		
1036.8	1.226199985		0.002991			1036.8	99.900001526		
1037.8	1.225399971		0.0029609			1037.8	100		
1038.7	1.226300001		0.00023532			1038.7	99.900001526		
1039.7	1.227200031		0.0030167			1039.7	99.900001526		
1040.7	1.226899981		0.0030038			1040.7	99.900001526		
1041.6	1.226899981		0.0030034			1041.6	99.900001526		
1042.6	1.227200031		0.0030107			1042.6	99.900001526		
1043.6	1.227699995		0.0030231			1043.6	99.900001526		
1044.5	1.228700042		0.0030584			1044.5	99.900001526		
1045.5	1.229200006		0.0058036			1045.5	99.800003052		
1046.5	1.229599953		0.0058129			1046.5	99.699996948		
1047.4	1.228999972		0.011253			1047.4	99.599998474		
1048.4	1.225600004		0.013886			1048.4	99.5		
1049.4	1.221500039		0.013762			1049.4	99.5		
1050.3	1.218099952		0.0109			1050.3	99.699996948		
1051.3	1.217200041		0.0053673			1051.3	99.800003052		
1052.2	1.218600035		0.0026755			1052.2	99.900001526		
1053.2	1.219799995		0.0027187			1053.2	100		
1054.2	1.220000029		0.0027227			1054.2	99.900001526		
1055.1	1.221099973		4.1962E-5			1055.1	100		
1056.1	1.221699953		0.0027814			1056.1	100		
1057.1	1.222200036		8.4877E-5			1057.1	99.900001526		
1058	1.222599983		0.0028081			1058	100		
1059	1.22300005		0.00011444			1059	99.900001526		
1060	1.22360003		0.0028408			1060	100		
1060.9	1.222900033		0.0028133			1060.9	99.900001526		
1061.9	1.222300053		0.0027878			1061.9	100		
1062.9	1.22300005		0.00011539			1062.9	100		
1063.8	1.22360003		0.0028317			1063.8	99.900001526		
1064.8	1.222900033		0.0028031			1064.8	99.900001526		
1065.7	1.222100019		0.0027714			1065.7	100		
1066.7	1.22239995		9.3699E-5			1066.7	100		
1067.7	1.223899961		0.00015187			1067.7	100		
1068.6	1.223999977		0.0028338			1068.6	100		
1069.6	1.222800016		0.0027885			1069.6	100		
1070.6	1.223199964		0.00012612			1070.6	100		
1071.5	1.223399997		0.0028033			1071.5	99.900001526		
1072.5	1.223399997		0.00013518			1072.5	100		
1073.5	1.223500013		0.0028043			1073.5	99.900001526		
1074.4	1.223500013		0.00013804			1074.4	100		
1075.4	1.223500013		0.0027983			1075.4	100		
1076.4	1.223199964		0.00012636			1076.4	100		
1077.3	1.224499941		0.00017428			1077.3	100		
1078.3	1.22420001		0.0028169			1078.3	100		
1079.3	1.22420001		0.00016499			1079.3	100		
1080.2	1.224499941		0.0028236			1080.2	100		
1081.2	1.223199964		0.0027754			1081.2	99.900001526		
1082.1	1.22329998		0.0001297			1082.1	99.900001526		
1083.1	1.224599957		0.00018048			1083.1	100		
1084.1	1.224400043		0.0028119			1084.1	100		
1085	1.224400043		0.00017452			1085	99.900001526		
1086	1.224799991		0.0028222			1086	100		
1087	1.223899961		0.0027864			1087	99.900001526		
1087.9	1.22300005		0.0027485			1087.9	99.900001526		
1088.9	1.22300005		0.00012016			1088.9	99.900001526		
1089.9	1.224099994		0.00016069			1089.9	100		
1090.8	1.225000024		0.00019813			1090.8	99.900001526		
1091.8	1.224699974		0.0028062			1091.8	99.900001526		
1092.8	1.224799991		0.0001893			1092.8	100		
1093.7	1.225200057		0.0028193			1093.7	99.900001526		
1094.7	1.224499941		0.0027914			1094.7	99.900001526		
1095.6	1.223999977		0.0027714			1095.6	99.900001526		
1096.6	1.223700047		0.0027556			1096.6	99.900001526		
1097.6	1.223199964		0.0027354			1097.6	99.900001526		
1098.5	1.22239995		0.0027025			1098.5	99.900001526		
1099.5	1.22239995		9.7275E-5			1099.5	100		
1100.5	1.223399997		0.00013494			1100.5	100		
1101.4	1.223999977		0.00015903			1101.4	99.900001526		
1102.4	1.224799991		0.00019097			1102.4	99.900001526		
1103.4	1.224499941		0.0027728			1103.4	100		
1104.3	1.223099947		0.0027156			1104.3	100		
1105.3	1.222800016		0.00011468			1105.3	99.900001526		
1106.3	1.223500013		0.00014281			1106.3	100		
1107.2	1.223899961		0.00015664			1107.2	100		
1108.2	1.224099994		0.00016689			1108.2	100		
1109.1	1.224400043		0.00017571			1109.1	100		
1110.1	1.224699974		0.0001874			1110.1	100		
1111.1	1.225200057		0.00020814			1111.1	99.900001526		
1112	1.224499941		0.0027511			1112	100		
1113	1.223799944		0.00015402			1113	100		
1114	1.224300027		0.00017571			1114	100		
1114.9	1.224599957		0.00018668			1114.9	100		
1115.9	1.224900007		0.00019574			1115.9	100		
1116.9	1.22510004		0.00020671			1116.9	100		
1117.8	1.225700021		0.00022888			1117.8	100		
1118.8	1.225000024		0.0027542			1118.8	100		
1119.8	1.224300027		0.00017452			1119.8	100		
1120.7	1.224900007		0.0001986			1120.7	100		
1121.7	1.225299954		0.00021505			1121.7	99.900001526		
1122.7	1.225800037		0.00023627			1122.7	99.900001526		
1123.6	1.225200057		0.0027525			1123.6	100		
1124.6	1.224599957		0.00018668			1124.6	100		
1125.5	1.225299954		0.00021386			1125.5	100		
1126.5	1.225900054		0.00023985			1126.5	100		
1127.5	1.225299954		0.0027492			1127.5	100		
1128.4	1.224699974		0.00019121			1128.4	100		
1129.4	1.225299954		0.00021744			1129.4	100		
1130.4	1.225700021		0.00023389			1130.4	100		
1131.3	1.226199985		0.00025249			1131.3	99.900001526		
1132.3	1.226899981		0.00028348			1132.3	99.900001526		
1133.3	1.226899981		0.0027978			1133.3	99.900001526		
1134.2	1.225999951		0.0027604			1134.2	99.900001526		
1135.2	1.225399971		0.0027373			1135.2	99.900001526		
1136.2	1.224900007		0.0027139			1136.2	99.900001526		
1137.1	1.223999977		0.0026789			1137.1	100		
1138.1	1.223999977		0.00016618			1138.1	100		
1139	1.224900007		0.00020027			1139	100		
1140	1.225399971		0.00022197			1140	100		
1141	1.225800037		0.00024056			1141	100		
1141.9	1.226600051		0.00027084			1141.9	99.900001526		
1142.9	1.226099968		0.0027499			1142.9	99.900001526		
1143.9	1.226099968		0.00024986			1143.9	99.900001526		
1144.8	1.226099968		0.0027437			1144.8	100		
1145.8	1.226199985		0.00025678			1145.8	100		
1146.8	1.226600051		0.0027604			1146.8	99.900001526		
1147.7	1.225900054		0.0027323			1147.7	99.900001526		
1148.7	1.225499988		0.0027127			1148.7	100		
1149.7	1.224900007		0.002687			1149.7	99.900001526		
1150.6	1.225499988		0.00022745			1150.6	99.900001526		
1151.6	1.226099968		0.0027287			1151.6	100		
1152.6	1.225399971		0.0027015			1152.6	99.900001526		
1153.5	1.224799991		0.0026753			1153.5	99.900001526		
1154.5	1.225299954		0.00022316			1154.5	100		
1155.4	1.225900054		0.0027156			1155.4	99.900001526		
1156.4	1.225200057		0.0026877			1156.4	99.900001526		
1157.4	1.224599957		0.0026608			1157.4	99.900001526		
1158.3	1.22510004		0.00021505			1158.3	100		
1159.3	1.225600004		0.0026968			1159.3	99.900001526		
1160.3	1.224599957		0.0026565			1160.3	99.900001526		
1161.2	1.225000024		0.00021219			1161.2	100		
1162.2	1.225200057		0.0026746			1162.2	99.900001526		
1163.2	1.22510004		0.00021338			1163.2	100		
1164.1	1.226400018		0.00026941			1164.1	100		
