Reference:	"Hudgins et al. (1993)"
DOI:	"doi:https://doi.org/10.1086/191796"
Sample Type:	"Ice"
Composition:	"O2:CH4 (20:1)"
Temperature:	"10K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/147"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable
T₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"		"Wavenumber (cm⁻¹)"	"k₁"	"Dk₁  (+/-)"		"Wavenumber (cm⁻¹)"	"T₁"	"DT₁  (+/-)"	
1000.2	1.2504			1000.2	7.0E-9			1000.2	100		
1001.1	1.2504			1001.1	7.0E-9			1000.6	100		
1002.1	1.2504			1002.1	7.0E-9			1001.1	100		
1003.1	1.2504			1003.1	7.0E-9			1001.6	100		
1004	1.2505			1004	7.0E-9			1002.1	100		
1005	1.2505			1005	7.0E-9			1002.6	100		
1006	1.2505			1006	7.0E-9			1003.1	100		
1006.9	1.2505			1006.9	7.0E-9			1003.5	100		
1007.9	1.2505			1007.9	7.0E-9			1004	100		
1008.8	1.2505			1008.8	7.0E-9			1004.5	100		
1009.8	1.2505			1009.8	7.0E-9			1005	100		
1010.8	1.2505			1010.8	7.0E-9			1005.5	100		
1011.7	1.2505			1011.7	7.0E-9			1006	100		
1012.7	1.2505			1012.7	7.0E-9			1006.4	100		
1013.7	1.2505			1013.7	7.0E-9			1006.9	100		
1014.6	1.2505			1014.6	7.0E-9			1007.4	100		
1015.6	1.2505			1015.6	7.0E-9			1007.9	100		
1016.6	1.2505			1016.6	7.0E-9			1008.4	100		
1017.5	1.2505			1017.5	7.0E-9			1008.8	100		
1018.5	1.2505			1018.5	7.0E-9			1009.3	100		
1019.5	1.2505			1019.5	7.0E-9			1009.8	100		
1020.4	1.2505			1020.4	7.0E-9			1010.3	100		
1021.4	1.2505			1021.4	7.0E-9			1010.8	100		
1022.3	1.2505			1022.3	7.0E-9			1011.3	100		
1023.3	1.2505			1023.3	7.0E-9			1011.7	100		
1024.3	1.2505			1024.3	7.0E-9			1012.2	100		
1025.2	1.2505			1025.2	7.0E-9			1012.7	100		
1026.2	1.2505			1026.2	7.0E-9			1013.2	100		
1027.2	1.2505			1027.2	7.0E-9			1013.7	100		
1028.1	1.2505			1028.1	7.0E-9			1014.1	100		
1029.1	1.2505			1029.1	7.0E-9			1014.6	100		
1030.1	1.2505			1030.1	7.0E-9			1015.1	100		
1031	1.2505			1031	7.0E-9			1015.6	100		
1032	1.2505			1032	7.0E-9			1016.1	100		
1033	1.2505			1033	7.0E-9			1016.6	100		
1033.9	1.2505			1033.9	7.0E-9			1017	100		
1034.9	1.2505			1034.9	7.0E-9			1017.5	100		
1035.8	1.2505			1035.8	7.0E-9			1018	100		
1036.8	1.2505			1036.8	7.0E-9			1018.5	100		
1037.8	1.2505			1037.8	7.0E-9			1019	100		
1038.7	1.2505			1038.7	7.0E-9			1019.5	100		
1039.7	1.2505			1039.7	7.0E-9			1019.9	100		
1040.7	1.2505			1040.7	7.0E-9			1020.4	100		
1041.6	1.2505			1041.6	7.0E-9			1020.9	100		
1042.6	1.2505			1042.6	7.0E-9			1021.4	100		
1043.6	1.2505			1043.6	7.0E-9			1021.9	100		
1044.5	1.2505			1044.5	7.0E-9			1022.3	100		
1045.5	1.2505			1045.5	7.0E-9			1022.8	100		
1046.5	1.2505			1046.5	7.0E-9			1023.3	100		
1047.4	1.2505			1047.4	7.0E-9			1023.8	100		
1048.4	1.2505			1048.4	7.0E-9			1024.3	100		
1049.4	1.2505			1049.4	7.0E-9			1024.8	100		
1050.3	1.2505			1050.3	7.0E-9			1025.2	100		
1051.3	1.2505			1051.3	7.0E-9			1025.7	100		
1052.2	1.2505			1052.2	7.0E-9			1026.2	100		
1053.2	1.2505			1053.2	7.0E-9			1026.7	100		
1054.2	1.2505			1054.2	7.0E-9			1027.2	100		
1055.1	1.2505			1055.1	7.0E-9			1027.7	100		
1056.1	1.2505			1056.1	7.0E-9			1028.1	100		
1057.1	1.2505			1057.1	7.0E-9			1028.6	100		
1058	1.2505			1058	7.0E-9			1029.1	100		
1059	1.2505			1059	7.0E-9			1029.6	100		
1060	1.2505			1060	7.0E-9			1030.1	100		
1060.9	1.2505			1060.9	7.0E-9			1030.5	100		
1061.9	1.2506			1061.9	7.0E-9			1031	100		
1062.9	1.2506			1062.9	7.0E-9			1031.5	100		
1063.8	1.2506			1063.8	7.0E-9			1032	100		
1064.8	1.2506			1064.8	7.0E-9			1032.5	100		
1065.7	1.2506			1065.7	7.0E-9			1033	100		
1066.7	1.2506			1066.7	7.0E-9			1033.4	100		
1067.7	1.2506			1067.7	7.0E-9			1033.9	100		
1068.6	1.2506			1068.6	7.0E-9			1034.4	100		
1069.6	1.2506			1069.6	7.0E-9			1034.9	100		
1070.6	1.2506			1070.6	7.0E-9			1035.4	100		
1071.5	1.2506			1071.5	7.0E-9			1035.8	100		
1072.5	1.2506			1072.5	7.0E-9			1036.3	100		
1073.5	1.2506			1073.5	7.0E-9			1036.8	100		
1074.4	1.2506			1074.4	7.0E-9			1037.3	100		
1075.4	1.2506			1075.4	7.0E-9			1037.8	100		
1076.4	1.2506			1076.4	7.0E-9			1038.3	100		
1077.3	1.2506			1077.3	7.0E-9			1038.7	100		
1078.3	1.2506			1078.3	7.0E-9			1039.2	100		
1079.3	1.2506			1079.3	7.0E-9			1039.7	100		
1080.2	1.2506			1080.2	7.0E-9			1040.2	100		
1081.2	1.2506			1081.2	7.0E-9			1040.7	100		
