Reference:	"Hudgins et al. (1993)"
DOI:	"doi:https://doi.org/10.1086/191796"
Sample Type:	"Ice"
Composition:	"O2:OCS (20:1)"
Temperature:	"20K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/151"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable
T₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"	"k₁"	"Dk₁  (+/-)"		"Wavenumber (cm⁻¹)"	"T₁"	"DT₁  (+/-)"	
700.2	1.2512		0			700.21	100.129997253		
701.2	1.251		0			700.69	100.129997253		
702.1	1.251		0			701.18	100.019996643		
703.1	1.252		0			701.66	100.019996643		
704.1	1.2526		0			702.14	100.120002747		
705	1.2529		0			702.62	100.120002747		
706	1.2532		0			703.1	100.120002747		
707	1.2533		0			703.59	100.11000061		
707.9	1.2535		0			704.07	100.11000061		
708.9	1.2537		0			704.55	100.010002136		
709.9	1.2538		0			705.03	100.11000061		
710.8	1.2539		0			705.52	100.11000061		
711.8	1.2539		0			706	100.099998474		
712.8	1.2538		0			706.48	100.099998474		
713.7	1.2537		0			706.96	100.099998474		
714.7	1.2533		0			707.44	100.099998474		
715.6	1.2541		0			707.93	100.099998474		
716.6	1.2548		0			708.41	100.089996338		
717.6	1.2539		0			708.89	100.089996338		
718.5	1.2545		0			709.37	100.089996338		
719.5	1.2553		0			709.86	100.089996338		
720.5	1.2547		0			710.34	99.98400116		
721.4	1.2544		0			710.82	100.080001831		
722.4	1.2539		0			711.3	100.080001831		
723.4	1.2531		0			711.78	100.080001831		
724.3	1.2533		0			712.27	100.080001831		
725.3	1.2543		0			712.75	100.069999695		
726.2	1.2552		0			713.23	100.069999695		
727.2	1.2547		0			713.71	100.069999695		
728.2	1.2541		0			714.2	100.069999695		
729.1	1.2549		0			714.68	100.069999695		
730.1	1.2556		0			715.16	100.059997559		
731.1	1.255		0.000267			715.64	100.160003662		
732	1.2542		0			716.12	100.059997559		
733	1.2548		0			716.61	100.059997559		
734	1.255		0			717.09	100.059997559		
734.9	1.2552		0			717.57	100.050003052		
735.9	1.2553		0			718.05	100.050003052		
736.9	1.2554		0			718.54	100.150001526		
737.8	1.2554		0			719.02	100.050003052		
738.8	1.2556		0			719.5	100.050003052		
739.8	1.2556		0			719.98	100.040000916		
740.7	1.2556		0			720.47	100.040000916		
741.7	1.2557		0			720.95	100.040000916		
742.6	1.2557		0			721.43	100.040000916		
743.6	1.2556		0			721.91	100.040000916		
744.6	1.2556		0			722.39	100.029998779		
745.5	1.2556		0			722.88	100.029998779		
746.5	1.2555		0			723.36	100.029998779		
747.5	1.2555		0			723.84	100.129997253		
748.4	1.2554		0			724.32	100.129997253		
749.4	1.2552		0			724.8	100.019996643		
750.4	1.2551		0			725.29	100.120002747		
751.3	1.2548		0			725.77	100.019996643		
752.3	1.2542		0			726.25	100.120002747		
753.3	1.2547		0			726.73	100.010002136		
754.2	1.2549		0.000164			727.22	100.010002136		
755.2	1.2546		0			727.7	100.11000061		
756.1	1.2558		0			728.18	100.11000061		
757.1	1.2553		0.000486			728.66	100.11000061		
758.1	1.2548		0			729.14	100.11000061		
759	1.2554		0			729.63	100.099998474		
760	1.2559		0			730.11	100.099998474		
761	1.2565		0			730.59	99.998001099		
761.9	1.2558		0.001028			731.07	99.996002197		
762.9	1.2551		0			731.56	100.099998474		
763.9	1.2555		0			732.04	100.089996338		
764.8	1.2558		0			732.52	100.089996338		
765.8	1.256		0			733	100.089996338		
766.8	1.2561		0			733.48	100.089996338		
767.7	1.2562		0			733.97	100.089996338		
768.7	1.2564		0			734.45	99.982002258		
769.6	1.2568		0			734.93	100.080001831		
770.6	1.2561		0.001928			735.41	100.080001831		
771.6	1.2553		0			735.9	100.080001831		
772.5	1.2557		0			736.38	100.080001831		
773.5	1.2557		0			736.86	100.069999695		
774.5	1.2558		0			737.34	99.970001221		
775.4	1.2558		0			737.83	100.069999695		
776.4	1.2558		0			738.31	100.069999695		
777.4	1.2557		0.000197			738.79	100.069999695		
778.3	1.2555		0.000192			739.27	100.059997559		
779.3	1.2553		0.000258			739.75	100.059997559		
780.3	1.2547		0.000337			740.24	100.059997559		
781.2	1.255		0			740.72	100.059997559		
782.2	1.2566		0			741.2	100.050003052		
783.2	1.2568		0.000704			741.68	100.050003052		
784.1	1.2561		0.000775			742.17	100.050003052		
785.1	1.2556		0.000856			742.65	100.050003052		
786	1.2549		0.000929			743.13	100.050003052		
787	1.2553		0			743.61	100.040000916		
788	1.2554		0.001142			744.09	100.040000916		
788.9	1.2554		0			744.58	100.040000916		
