Reference:	"Hudgins et al. (1993)"
DOI:	"doi:https://doi.org/10.1086/191796"
Sample Type:	"Ice"
Composition:	"O2:OCS (20:1)"
Temperature:	"20K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/151"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable
T₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"		"Wavenumber (cm⁻¹)"	"k₁"	"Dk₁  (+/-)"		"Wavenumber (cm⁻¹)"	"T₁"	"DT₁  (+/-)"	
700.21	1.2512			700.21	0			700.21	100.13		
701.17	1.251			701.17	0			700.69	100.13		
702.14	1.251			702.14	0			701.18	100.02		
703.1	1.252			703.1	0			701.66	100.02		
704.07	1.2526			704.07	0			702.14	100.12		
705.03	1.2529			705.03	0			702.62	100.12		
706	1.2532			706	0			703.1	100.12		
706.96	1.2533			706.96	0			703.59	100.11		
707.93	1.2535			707.93	0			704.07	100.11		
708.89	1.2537			708.89	0			704.55	100.01		
709.86	1.2538			709.86	0			705.03	100.11		
710.82	1.2539			710.82	0			705.52	100.11		
711.78	1.2539			711.78	0			706	100.1		
712.75	1.2538			712.75	0			706.48	100.1		
713.71	1.2537			713.71	0			706.96	100.1		
714.68	1.2533			714.68	0			707.44	100.1		
715.64	1.2541			715.64	0			707.93	100.1		
716.61	1.2548			716.61	0			708.41	100.09		
717.57	1.2539			717.57	0			708.89	100.09		
718.54	1.2545			718.54	0			709.37	100.09		
719.5	1.2553			719.5	0			709.86	100.09		
720.47	1.2547			720.47	0			710.34	99.984		
721.43	1.2544			721.43	0			710.82	100.08		
722.39	1.2539			722.39	0			711.3	100.08		
723.36	1.2531			723.36	0			711.78	100.08		
724.32	1.2533			724.32	0			712.27	100.08		
725.29	1.2543			725.29	0			712.75	100.07		
726.25	1.2552			726.25	0			713.23	100.07		
727.22	1.2547			727.22	0			713.71	100.07		
728.18	1.2541			728.18	0			714.2	100.07		
729.15	1.2549			729.15	0			714.68	100.07		
730.11	1.2556			730.11	0			715.16	100.06		
731.07	1.255			731.07	0.00026745			715.64	100.16		
732.04	1.2542			732.04	0			716.12	100.06		
733	1.2548			733	0			716.61	100.06		
733.97	1.255			733.97	0			717.09	100.06		
734.93	1.2552			734.93	0			717.57	100.05		
735.9	1.2553			735.9	0			718.05	100.05		
736.86	1.2554			736.86	0			718.54	100.15		
737.83	1.2554			737.83	0			719.02	100.05		
738.79	1.2556			738.79	0			719.5	100.05		
739.75	1.2556			739.75	0			719.98	100.04		
740.72	1.2556			740.72	0			720.47	100.04		
741.68	1.2557			741.68	0			720.95	100.04		
742.65	1.2557			742.65	0			721.43	100.04		
743.61	1.2556			743.61	0			721.91	100.04		
744.58	1.2556			744.58	0			722.39	100.03		
745.54	1.2556			745.54	0			722.88	100.03		
746.51	1.2555			746.51	0			723.36	100.03		
747.47	1.2555			747.47	0			723.84	100.13		
748.43	1.2554			748.43	0			724.32	100.13		
749.4	1.2552			749.4	0			724.8	100.02		
750.36	1.2551			750.36	0			725.29	100.12		
751.33	1.2548			751.33	0			725.77	100.02		
752.29	1.2542			752.29	0			726.25	100.12		
753.26	1.2547			753.26	0			726.73	100.01		
754.22	1.2549			754.22	0.0001643			727.22	100.01		
755.19	1.2546			755.19	0			727.7	100.11		
756.15	1.2558			756.15	0			728.18	100.11		
757.11	1.2553			757.11	0.00048554			728.66	100.11		
758.08	1.2548			758.08	0			729.14	100.11		
759.04	1.2554			759.04	0			729.63	100.1		
760.01	1.2559			760.01	0			730.11	100.1		
760.97	1.2565			760.97	0			730.59	99.998		
761.94	1.2558			761.94	0.0010283			731.07	99.996		
762.9	1.2551			762.9	0			731.56	100.1		
763.87	1.2555			763.87	0			732.04	100.09		
764.83	1.2558			764.83	0			732.52	100.09		
765.8	1.256			765.8	0			733	100.09		
766.76	1.2561			766.76	0			733.48	100.09		
767.72	1.2562			767.72	0			733.97	100.09		
768.69	1.2564			768.69	0			734.45	99.982		
769.65	1.2568			769.65	0			734.93	100.08		
770.62	1.2561			770.62	0.001928			735.41	100.08		
771.58	1.2553			771.58	0			735.9	100.08		
772.55	1.2557			772.55	0			736.38	100.08		
773.51	1.2557			773.51	0			736.86	100.07		
774.48	1.2558			774.48	0			737.34	99.97		
775.44	1.2558			775.44	0			737.83	100.07		
776.4	1.2558			776.4	0			738.31	100.07		
777.37	1.2557			777.37	0.00019728			738.79	100.07		
778.33	1.2555			778.33	0.00019178			739.27	100.06		
779.3	1.2553			779.3	0.00025801			739.75	100.06		
780.26	1.2547			780.26	0.00033724			740.24	100.06		
781.23	1.255			781.23	0			740.72	100.06		
782.19	1.2566			782.19	0			741.2	100.05		
783.16	1.2568			783.16	0.00070378			741.68	100.05		
784.12	1.2561			784.12	0.0007749			742.17	100.05		
785.08	1.2556			785.08	0.00085582			742.65	100.05		
