Reference:	"Hudgins et al. (1993)"
DOI:	"doi:https://doi.org/10.1086/191796"
Sample Type:	"Ice"
Composition:	"OCS (1)"
Temperature:	"10K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/152"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable
T₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"	"k₁"	"Dk₁  (+/-)"		"Wavenumber (cm⁻¹)"	"T₁"	"DT₁  (+/-)"	
700.2	1.279		0.008453			600.39	99.900001526		
701.2	1.2759		0.008429			601.35	100		
702.1	1.2756		0.000379			601.83	100		
703.1	1.275		0.008406			602.8	99.900001526		
704.1	1.2737		0.000363			603.76	99.900001526		
705	1.2763		0.000388			604.73	99.900001526		
706	1.2792		0.000417			605.69	99.900001526		
707	1.2792		0.008381			606.66	99.900001526		
707.9	1.2765		0.008358			607.62	99.900001526		
708.9	1.2747		0.008339			608.59	100		
709.9	1.2721		0.008325			609.55	99.900001526		
710.8	1.2728		0.000356			610.51	99.900001526		
711.8	1.2773		0.000403			611.48	100		
712.8	1.278		0.008314			612.44	99.900001526		
713.7	1.2759		0.008295			613.41	99.900001526		
714.7	1.2748		0.00828			614.37	99.900001526		
715.6	1.274		0.008269			615.34	99.900001526		
716.6	1.2733		0.008254			616.3	99.900001526		
717.6	1.2726		0.008243			617.27	99.900001526		
718.5	1.2717		0.008229			618.23	100		
719.5	1.2698		0.008211			619.19	99.900001526		
720.5	1.2716		0.000353			620.16	99.900001526		
721.4	1.2725		0.008207			621.12	100		
722.4	1.2733		0.000372			622.09	99.900001526		
723.4	1.275		0.008191			623.05	100		
724.3	1.2731		0.008177			624.02	99.900001526		
725.3	1.272		0.008162			624.98	99.900001526		
726.2	1.2709		0.008147			625.95	99.900001526		
727.2	1.269		0.00813			626.91	99.900001526		
728.2	1.2707		0.000343			627.87	99.900001526		
729.1	1.2721		0.008122			628.84	99.900001526		
730.1	1.2687		0.008099			629.8	100		
731.1	1.269		0.000329			630.77	100		
732	1.2728		0.000369			631.73	100		
733	1.2721		0.008083			632.7	100		
734	1.272		0.000362			633.66	99.900001526		
734.9	1.272		0.008063			634.63	99.900001526		
735.9	1.2721		0.000365			635.59	100		
736.9	1.2721		0.008045			636.55	100		
737.8	1.2722		0.000366			637.52	99.900001526		
738.8	1.2723		0.008027			638.48	99.900001526		
739.8	1.2724		0.000369			639.45	99.900001526		
740.7	1.2726		0.008011			640.41	99.900001526		
741.7	1.2729		0.000374			641.38	99.900001526		
742.6	1.274		0.007993			642.34	99.900001526		
743.6	1.2714		0.007974			643.31	99.900001526		
744.6	1.2686		0.007951			644.27	100		
745.5	1.2686		0.000332			645.24	100		
746.5	1.2713		0.000362			646.2	99.900001526		
747.5	1.2738		0.000388			647.16	100		
748.4	1.2723		0.007932			648.13	99.900001526		
749.4	1.2708		0.000354			649.09	99.900001526		
750.4	1.2731		0.000382			650.06	99.900001526		
751.3	1.2754		0.000407			651.02	99.900001526		
752.3	1.274		0.007903			651.99	99.900001526		
753.3	1.2728		0.00038			652.95	99.900001526		
754.2	1.2762		0.000416			653.92	99.900001526		
755.2	1.276		0.007886			654.88	99.900001526		
756.1	1.2722		0.00786			655.84	99.900001526		
757.1	1.272		0.000376			656.81	99.800003052		
758.1	1.2749		0.000406			657.77	99.900001526		
759	1.2779		0.000437			658.74	99.900001526		
760	1.2782		0.007852			659.7	99.900001526		
761	1.2759		0.007834			660.67	99.800003052		
761.9	1.2745		0.007813			661.63	99.900001526		
762.9	1.2727		0.007798			662.6	99.900001526		
763.9	1.2746		0.000407			663.56	100		
764.8	1.2765		0.007797			664.53	100		
765.8	1.275		0.007782			665.49	99.900001526		
766.8	1.2742		0.007771			666.45	99.900001526		
767.7	1.2737		0.007758			667.42	100		
768.7	1.2732		0.007745			668.38	100		
769.6	1.2727		0.007733			669.35	100		
770.6	1.2721		0.007722			670.31	99.900001526		
771.6	1.2713		0.007711			671.28	99.900001526		
772.5	1.2696		0.007695			672.24	100		
773.5	1.2712		0.000375			673.21	100		
774.5	1.2717		0.007686			674.17	100		
775.4	1.2714		0.000379			675.13	100		
776.4	1.2753		0.000422			676.1	100		
777.4	1.2758		0.00768			677.06	100		
778.3	1.2735		0.007663			678.03	99.900001526		
779.3	1.2713		0.007642			678.99	100		
780.3	1.2726		0.000393			679.96	99.900001526		
781.2	1.2732		0.007635			680.92	100		
782.2	1.2738		0.000406			681.89	100		
783.2	1.275		0.007629			682.85	100		
784.1	1.2727		0.007612			683.81	100		
785.1	1.2701		0.007588			684.78	100		
786	1.2701		0.00037			685.74	100		
787	1.2727		0.000397			686.71	99.900001526		
788	1.2742		0.000415			687.67	100		
788.9	1.2757		0.000431			688.64	100		
789.9	1.2779		0.000452			689.6	99.900001526		
790.9	1.277		0.007569			690.57	99.900001526		
791.8	1.2771		0.000448			691.53	99.900001526		
792.8	1.2782		0.007561			692.49	100		
793.8	1.276		0.007541			693.46	100		
794.7	1.2739		0.007522			694.42	100		
795.7	1.2753		0.000427			695.39	100		
796.7	1.2761		0.007517			696.35	100		
797.6	1.2768		0.000447			697.32	100		
798.6	1.2784		0.007514			698.28	99.900001526		
799.5	1.2767		0.007495			699.25	100		
800.5	1.2758		0.007481			700.21	99.900001526		
801.5	1.2748		0.007471			701.18	99.900001526		
802.5	1.2731		0.007454			702.14	100		
803.4	1.2745		0.000425			703.1	99.900001526		
804.4	1.2749		0.007447			704.07	100		
805.3	1.2744		0.000426			705.03	100		
806.3	1.2772		0.000456			706	100		
807.3	1.2802		0.00049			706.96	99.900001526		
808.2	1.2804		0.007446			707.93	99.900001526		
809.2	1.2775		0.007422			708.89	99.900001526		
810.2	1.279		0.000479			709.85	99.900001526		
811.1	1.2809		0.007427			710.82	100		
812.1	1.2795		0.007408			711.78	100		
813	1.279		0.0074			712.75	99.900001526		
814	1.2787		0.007393			713.71	99.900001526		
815	1.2785		0.007382			714.68	99.900001526		
816	1.2783		0.007371			715.64	99.900001526		
816.9	1.2781		0.007363			716.61	99.900001526		
817.9	1.278		0.007357			717.57	99.900001526		
818.8	1.2777		0.007347			718.54	99.900001526		
819.8	1.2772		0.007337			719.5	99.900001526		
820.8	1.2757		0.007319			720.46	100		
821.7	1.2768		0.00046			721.43	99.900001526		
822.7	1.2811		0.000507			722.39	100		
823.7	1.2818		0.00733			723.36	99.900001526		
824.6	1.2791		0.007309			724.32	99.900001526		
825.6	1.2799		0.000497			725.29	99.900001526		
826.6	1.2842		0.000541			726.25	99.900001526		
827.5	1.2854		0.007322			727.22	99.900001526		
828.5	1.2842		0.007308			728.18	100		
829.5	1.2839		0.0073			729.15	99.900001526		
830.4	1.2839		0.007293			730.11	99.900001526		
831.4	1.284		0.007288			731.07	100		
832.3	1.2842		0.007276			732.04	100		
833.3	1.2844		0.007274			733	99.900001526		
834.3	1.2845		0.007263			733.97	100		
835.2	1.284		0.007259			734.93	99.900001526		
836.2	1.2867		0.000575			735.9	100		
837.2	1.2892		0.007268			736.86	99.900001526		
838.1	1.288		0.007256			737.83	100		
839.1	1.2909		0.000617			738.79	99.900001526		
840.1	1.294		0.007274			739.75	100		
841	1.2942		0.007267			740.72	99.900001526		
842	1.2955		0.007268			741.68	100		
843	1.2972		0.007267			742.65	99.900001526		
843.9	1.2994		0.007272			743.61	99.900001526		
844.9	1.3024		0.007277			744.58	99.900001526		
845.9	1.3069		0.007286			745.54	100		
846.8	1.31		0.013793			746.51	100		
847.8	1.3119		0.013776			747.47	100		
848.7	1.3165		0.013753			748.43	99.900001526		
849.7	1.3245		0.013724			749.4	100		
850.7	1.3358		0.020035			750.36	100		
851.6	1.3442		0.038925			751.33	100		
852.6	1.3473		0.05781			752.29	99.900001526		
853.6	1.344		0.083359			753.26	100		
854.5	1.3349		0.10309			754.22	100		
855.5	1.3178		0.13036			755.19	99.900001526		
856.5	1.2909		0.14604			756.15	99.900001526		
857.4	1.2606		0.14898			757.11	100		
858.4	1.2333		0.13768			758.08	100		
859.4	1.2093		0.12562			759.04	100		
860.3	1.191		0.098361			760.01	99.900001526		
