Reference:	"Hudgins et al. (1993)"
DOI:	"doi:https://doi.org/10.1086/191796"
Sample Type:	"Ice"
Composition:	"OCS (1)"
Temperature:	"60K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/154"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable
T₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"		"Wavenumber (cm⁻¹)"	"k₁"	"Dk₁  (+/-)"		"Wavenumber (cm⁻¹)"	"T₁"	"DT₁  (+/-)"	
700.21	1.2749			700.21	0.00037597			600.39	99.9		
701.18	1.2744			701.18	0.0084278			601.35	100		
702.14	1.2712			702.14	0.0084048			601.83	99.9		
703.1	1.2683			703.1	0.0083846			602.8	99.9		
704.07	1.2696			704.07	0.00032383			603.76	99.9		
705.03	1.2709			705.03	0.0083697			604.73	100		
706	1.2676			706	0.0083489			605.69	100		
706.96	1.2689			706.96	0.00031709			606.66	100		
707.93	1.2704			707.93	0.0083355			607.62	99.9		
708.89	1.2678			708.89	0.0083166			608.59	99.9		
709.85	1.2651			709.85	0.0082947			609.55	99.9		
710.82	1.2654			710.82	0.00028506			610.51	99.9		
711.78	1.2694			711.78	0.00032843			611.48	100		
712.75	1.2686			712.75	0.008278			612.44	100		
713.71	1.2678			713.71	0.00031101			613.41	99.9		
714.68	1.2719			714.68	0.00035109			614.37	100		
715.64	1.2725			715.64	0.0082616			615.34	100		
716.61	1.2703			716.61	0.0082449			616.3	100		
717.57	1.2692			717.57	0.0082283			617.27	99.9		
718.54	1.2684			718.54	0.0082151			618.23	99.9		
719.5	1.2676			719.5	0.0082055			619.19	99.9		
720.46	1.2668			720.46	0.0081884			620.16	100		
721.43	1.2651			721.43	0.0081728			621.12	100		
722.39	1.2672			722.39	0.0003122			622.09	100		
723.36	1.2693			723.36	0.0081715			623.05	100		
724.32	1.2676			724.32	0.0081529			624.02	100		
725.29	1.2665			725.29	0.0081377			624.98	99.9		
726.25	1.2648			726.25	0.0081235			625.95	99.9		
727.22	1.2669			727.22	0.00030453			626.91	100		
728.18	1.269			728.18	0.0081183			627.87	99.9		
729.15	1.2675			729.15	0.0081008			628.84	99.9		
730.11	1.2667			730.11	0.0080893			629.8	100.1		
731.07	1.2661			731.07	0.0080761			630.77	99.9		
732.04	1.2654			732.04	0.0080633			631.73	100		
733	1.2645			733	0.0080493			632.7	100		
733.97	1.2626			733.97	0.0080288			633.66	99.9		
734.93	1.2636			734.93	0.00027262			634.63	100		
735.9	1.2683			735.9	0.00032214			635.59	100		
736.86	1.2693			736.86	0.0080309			636.55	100		
737.83	1.2673			737.83	0.0080152			637.52	100		
738.79	1.2664			738.79	0.0079975			638.48	100		
739.75	1.2656			739.75	0.0079851			639.45	100		
740.72	1.2647			740.72	0.007971			640.41	100		
741.68	1.2631			741.68	0.0079552			641.38	100		
742.65	1.2651			742.65	0.00029478			642.34	100		
743.61	1.2669			743.61	0.0079552			643.31	99.9		
744.58	1.2648			744.58	0.0079333			644.27	99.9		
745.54	1.2625			745.54	0.00791			645.24	100		
746.51	1.2632			746.51	0.00027415			646.2	99.9		
747.47	1.2673			747.47	0.0003187			647.16	100		
748.43	1.2671			748.43	0.0079064			648.13	99.9		
749.4	1.2676			749.4	0.0003226			649.09	100		
750.36	1.2691			750.36	0.0078997			650.06	99.9		
751.33	1.2672			751.33	0.0078818			651.02	100		
752.29	1.2661			752.29	0.0078671			651.99	99.9		
753.26	1.2644			753.26	0.0078488			652.95	100		
754.22	1.2664			754.22	0.00031278			653.92	99.9		
755.19	1.2685			755.19	0.0078489			654.88	99.9		
756.15	1.2671			756.15	0.0078357			655.84	99.8		
757.11	1.2664			757.11	0.0078203			656.81	99.9		
758.08	1.266			758.08	0.00781			657.77	99.9		
759.04	1.2656			759.04	0.0077969			658.74	99.9		
760.01	1.2653			760.01	0.0077872			659.7	99.9		
760.97	1.2649			760.97	0.0077773			660.67	99.9		
761.94	1.2645			761.94	0.0077632			661.63	100		
762.9	1.2638			762.9	0.0077525			662.6	99.9		
763.87	1.2624			763.87	0.0077329			663.56	100		
764.83	1.2645			764.83	0.00029399			664.53	100		
765.79	1.2665			765.79	0.0077381			665.49	99.9		
766.76	1.2647			766.76	0.007721			666.45	99.9		
767.72	1.2629			767.72	0.0077026			667.42	100		
768.69	1.2648			768.69	0.00029757			668.38	100.1		
769.65	1.2667			769.65	0.0077052			669.35	100		
770.62	1.265			770.62	0.0076872			670.31	100		
771.58	1.2639			771.58	0.0076722			671.28	100		
772.55	1.2621			772.55	0.007652			672.24	100		
773.51	1.2638			773.51	0.0002933			673.21	100		
774.48	1.2653			774.48	0.0076511			674.17	100		
775.44	1.2624			775.44	0.0076265			675.13	100		
776.4	1.2634			776.4	0.00028694			676.1	99.9		
777.37	1.2636			777.37	0.0076143			677.06	99.9		
778.33	1.2628			778.33	0.00028155			678.03	100		
779.3	1.2655			779.3	0.00031172			678.99	100		
780.26	1.2681			780.26	0.00034262			679.96	100		
781.23	1.2673			781.23	0.0076023			680.92	100		
782.19	1.2675			782.19	0.00033715			681.89	100		
783.16	1.2686			783.16	0.0075949			682.85	100		
784.12	1.2663			784.12	0.0075739			683.81	100		
785.09	1.264			785.09	0.0075491			684.78	100		
786.05	1.2646			786.05	0.00030422			685.74	100		
787.01	1.2687			787.01	0.0003535			686.71	99.9		
787.98	1.2694			787.98	0.007555			687.67	99.9		
788.94	1.2674			788.94	0.0075353			688.64	100		
789.91	1.2662			789.91	0.0075205			689.6	99.9		
790.87	1.2644			790.87	0.0074997			690.57	100		
