Reference:	"Hudson et al. (2018)"
DOI:	"doi:doi:10.1016/j.saa.2017.11.055"
Sample Type:	"Ice"
Composition:	"CH3COCH3 (1)"
Temperature:	"125K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/156"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable
A₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"		"Wavenumber (cm⁻¹)"	"k₁"	"Dk₁  (+/-)"		"Wavenumber (cm⁻¹)"	"A₁"	"DA₁  (+/-)"	
499.963243	1.473163312			499.963243	-0.003350431			499.963243	-0.002022		
500.0837742	1.473163312			500.0837742	-0.008405083			500.0837742	-0.004251		
500.2043053	1.472242097			500.2043053	-0.015431376			500.2043053	-0.007059		
500.3248365	1.474743538			500.3248365	-0.023271397			500.3248365	-0.009958		
500.4453677	1.480451098			500.4453677	-0.030307909			500.4453677	-0.012359		
500.5658988	1.489167239			500.5658988	-0.034885449			500.5658988	-0.013749		
500.68643	1.499169361			500.68643	-0.035919246			500.68643	-0.013834		
500.8069611	1.509009669			500.8069611	-0.033132434			500.8069611	-0.012614		
500.9274923	1.5168429			500.9274923	-0.02715686			500.9274923	-0.010363		
501.0480235	1.521865044			501.0480235	-0.019241089			501.0480235	-0.007535		
501.1685546	1.523619704			501.1685546	-0.010884645			501.1685546	-0.004633		
501.2890858	1.522760561			501.2890858	-0.00337155			501.2890858	-0.002092		
501.409617	1.520053724			501.409617	0.002518885			501.409617	-0.000197		
501.5301481	1.516672724			501.5301481	0.006641224			501.5301481	0.000945		
501.6506793	1.513225141			501.6506793	0.009327193			501.6506793	0.001397		
501.7712105	1.51018351			501.7712105	0.011091072			501.7712105	0.001338		
501.8917416	1.507406721			501.8917416	0.012361818			501.8917416	0.001009		
502.0122728	1.504834059			502.0122728	0.0133149			502.0122728	0.000641		
502.1328039	1.502245731			502.1328039	0.01391901			502.1328039	0.000415		
502.2533351	1.499796606			502.2533351	0.014073385			502.2533351	0.000425		
502.3738663	1.497583392			502.3738663	0.013793311			502.3738663	0.000679		
502.4943974	1.495856484			502.4943974	0.013272172			502.4943974	0.001115		
502.6149286	1.494522775			502.6149286	0.012808636			502.6149286	0.001639		
502.7354598	1.493434059			502.7354598	0.012637998			502.7354598	0.002158		
502.8559909	1.492177455			502.8559909	0.012783933			502.8559909	0.002607		
502.9765221	1.490545959			502.9765221	0.013042817			502.9765221	0.002952		
503.0970533	1.488390033			503.0970533	0.013070958			503.0970533	0.003168		
503.2175844	1.485920906			503.2175844	0.012565728			503.2175844	0.00322		
503.3381156	1.483353703			503.3381156	0.011368541			503.3381156	0.003042		
503.4586468	1.481032252			503.4586468	0.00952208			503.4586468	0.002547		
503.5791779	1.479048338			503.5791779	0.007160638			503.5791779	0.001656		
503.6997091	1.477507773			503.6997091	0.004398769			503.6997091	0.000346		
503.8202402	1.476367993			503.8202402	0.001251902			503.8202402	-0.001314		
503.9407714	1.475800253			503.9407714	-0.00232689			503.9407714	-0.003154		
504.0613026	1.476007046			504.0613026	-0.006322311			504.0613026	-0.004924		
504.1818337	1.477372226			504.1818337	-0.010516424			504.1818337	-0.006359		
504.3023649	1.480085349			504.3023649	-0.014440885			504.3023649	-0.007246		
504.4228961	1.484159582			504.4228961	-0.017427202			504.4228961	-0.007482		
504.5434272	1.489089339			504.5434272	-0.018837854			504.5434272	-0.007098		
504.6639584	1.494124798			504.6639584	-0.018337923			504.6639584	-0.006239		
504.7844896	1.498305541			504.7844896	-0.016076689			504.7844896	-0.005111		
504.9050207	1.500968443			504.9050207	-0.012685543			504.9050207	-0.003923		
505.0255519	1.501812992			505.0255519	-0.009073751			505.0255519	-0.002843		
505.146083	1.501150593			505.146083	-0.006109554			505.146083	-0.001975		
505.2666142	1.499593865			505.2666142	-0.004347944			505.2666142	-0.001362		
505.3871454	1.497986194			505.3871454	-0.003881642			505.3871454	-0.000998		
505.5076765	1.496937802			505.5076765	-0.004351191			505.5076765	-0.000838		
505.6282077	1.49675342			505.6282077	-0.00515536			505.6282077	-0.000817		
505.7487389	1.497274746			505.7487389	-0.005757303			505.7487389	-0.000855		
505.86927	1.49819362			505.86927	-0.005831712			505.86927	-0.000875		
505.9898012	1.499053216			505.9898012	-0.005344036			505.9898012	-0.000816		
506.1103324	1.499612058			506.1103324	-0.004491833			506.1103324	-0.000656		
506.2308635	1.499748885			506.2308635	-0.00353296			506.2308635	-0.000415		
506.3513947	1.499577341			506.3513947	-0.002679145			506.3513947	-0.000157		
506.4719258	1.499223038			506.4719258	-0.002007195			506.4719258	3.3E-5		
506.592457	1.498843858			506.592457	-0.001467956			506.592457	8.3E-5		
506.7129882	1.498442638			506.7129882	-0.000952904			506.7129882	-4.1E-5		
506.8335193	1.497979982			506.8335193	-0.000354636			506.8335193	-0.000317		
506.9540505	1.497266597			506.9540505	0.000354622			506.9540505	-0.000674		
