Reference:	"Hudson & Gerakines (2019)"
DOI:	"doi:doi:10.1093/mnras/sty2821"
Sample Type:	"Ice"
Composition:	"C3H2O (1)"
Temperature:	"10K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/157"
n₁ Error Units:	Not Applicable
n₂ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"	"n₂"	"Dn₂  (+/-)"	
479.955	1.4133		0		
480.196	1.4133		-0.000146		
480.437	1.4127		-0.000781		
480.678	1.4125		-0.00161		
480.919	1.4125		-0.00235		
481.16	1.4127		-0.002901		
481.401	1.4128		-0.003358		
481.642	1.4129		-0.003928		
481.884	1.413		-0.004748		
482.125	1.4134		-0.005764		
482.366	1.4144		-0.006705		
482.607	1.4159		-0.007198		
482.848	1.4176		-0.006942		
483.089	1.419		-0.005875		
483.33	1.4196		-0.004231		
483.571	1.4193		-0.002488		
483.812	1.418		-0.00121		
484.053	1.4161		-0.000861		
484.294	1.4142		-0.00165		
484.535	1.4129		-0.003478		
484.776	1.4125		-0.00597		
485.017	1.4134		-0.008576		
485.258	1.4155		-0.010722		
485.499	1.4184		-0.011943		
485.741	1.4218		-0.011959		
485.982	1.425		-0.010702		
486.223	1.4277		-0.008287		
486.464	1.4294		-0.004986		
486.705	1.4299		-0.001196		
486.946	1.429		0.002599		
487.187	1.4268		0.005887		
487.428	1.4235		0.008199		
487.669	1.4196		0.009189		
487.91	1.4157		0.008711		
488.151	1.4122		0.006852		
488.392	1.4098		0.003942		
488.633	1.4087		0.000486		
488.874	1.409		-0.002913		
489.115	1.4104		-0.00569		
489.356	1.4126		-0.007447		
489.598	1.4149		-0.008045		
489.839	1.4168		-0.00765		
490.08	1.4179		-0.00669		
490.321	1.4181		-0.005731		
490.562	1.4176		-0.005295		
490.803	1.417		-0.005664		
491.044	1.4168		-0.00676		
491.285	1.4175		-0.008147		
491.526	1.4191		-0.009205		
491.767	1.4213		-0.009364		
492.008	1.4235		-0.008348		
492.249	1.425		-0.006301		
492.49	1.4253		-0.003754		
492.731	1.4242		-0.001442		
492.972	1.4221		-5.2E-5		
493.213	1.4197		2.3E-5		
493.455	1.4176		-0.001195		
493.696	1.4164		-0.003305		
493.937	1.4164		-0.00569		
494.178	1.4175		-0.007757		
494.419	1.4194		-0.009119		
494.66	1.4215		-0.009646		
494.901	1.4235		-0.009414		
495.142	1.4253		-0.008587		
495.383	1.4268		-0.007316		
495.624	1.4277		-0.005711		
495.865	1.4282		-0.003883		
496.106	1.428		-0.002003		
496.347	1.4272		-0.000345		
496.588	1.4257		0.000771		
496.829	1.424		0.001087		
497.07	1.4226		0.000542		
497.312	1.4217		-0.000647		
497.553	1.4218		-0.002016		
497.794	1.4228		-0.003012		
498.035	1.4242		-0.003193		
498.276	1.4256		-0.002408		
498.517	1.4264		-0.000837		
498.758	1.4263		0.001082		
498.999	1.4253		0.002819		
499.24	1.4234		0.003919		
499.481	1.4213		0.004109		
499.722	1.4192		0.003341		
499.963	1.4176		0.001755		
500.204	1.4167		-0.000384		
500.445	1.4168		-0.002743		
500.686	1.4178		-0.004954		
500.927	1.4197		-0.006646		
501.169	1.4222		-0.007481		
501.41	1.425		-0.007209		
501.651	1.4276		-0.005748		
501.892	1.4295		-0.003238		
502.133	1.4302		-5.6E-5		
502.374	1.4295		0.003239		
502.615	1.4275		0.006038		
502.856	1.4245		0.007831		
503.097	1.4211		0.008335		
503.338	1.4178		0.00755		
503.579	1.4151		0.005722		
503.82	1.4133		0.003227		
504.061	1.4124		0.00045		
504.302	1.4123		-0.002306		
504.543	1.4129		-0.004848		
504.784	1.4141		-0.007059		
505.026	1.4158		-0.008852		
505.267	1.4178		-0.01014		
505.508	1.42		-0.010845		
505.749	1.4222		-0.010938		
505.99	1.4242		-0.01047		
506.231	1.4258		-0.009576		
506.472	1.4271		-0.008439		
506.713	1.428		-0.007228		
506.954	1.4285		-0.006047		
507.195	1.4289		-0.004916		
507.436	1.4291		-0.0038		
507.677	1.4291		-0.00266		
507.918	1.4288		-0.001508		
508.159	1.4282		-0.000437		
508.4	1.4273		0.000397		
508.641	1.426		0.000818		
508.883	1.4247		0.000682		
509.124	1.4235		-6.9E-5		
509.365	1.4226		-0.00139		
509.606	1.4225		-0.00311		
509.847	1.4232		-0.004948		
510.088	1.4248		-0.006526		
510.329	1.4272		-0.007423		
510.57	1.43		-0.007259		
510.811	1.4329		-0.00581		
511.052	1.4352		-0.003109		
511.293	1.4363		0.000506		
511.534	1.4358		0.004432		
511.775	1.4337		0.00791		
512.016	1.4305		0.010227		
512.257	1.4266		0.010929		
512.498	1.4232		0.009995		
512.74	1.4208		0.007875		
512.981	1.4198		0.00536		
513.222	1.4201		0.003281		
513.463	1.4212		0.002188		
513.704	1.4221		0.002171		
513.945	1.4225		0.002871		
514.186	1.4219		0.00368		
514.427	1.4206		0.004005		
514.668	1.419		0.003488		
514.909	1.4176		0.002128		
515.15	1.417		0.000232		
515.391	1.4171		-0.001745		
515.632	1.4179		-0.003409		
515.873	1.4191		-0.004565		
516.114	1.4203		-0.005239		
516.355	1.4214		-0.005594		
516.597	1.4223		-0.005807		
516.838	1.4232		-0.005973		
517.079	1.4241		-0.00608		
517.32	1.4251		-0.006054		
517.561	1.4262		-0.005823		
517.802	1.4271		-0.005366		
518.043	1.428		-0.004722		
518.284	1.4287		-0.00394		
518.525	1.4292		-0.003048		
518.766	1.4296		-0.002031		
519.007	1.4298		-0.000866		
519.248	1.4297		0.00043		
519.489	1.4291		0.001748		
519.73	1.4281		0.002896		
519.971	1.4266		0.003645		
520.212	1.425		0.00382		
520.454	1.4234		0.003372		
520.695	1.4221		0.002402		
520.936	1.4213		0.001122		
521.177	1.4209		-0.000229		
521.418	1.421		-0.001483		
521.659	1.4212		-0.00258		
521.9	1.4216		-0.003551		
522.141	1.4222		-0.004448		
522.382	1.4229		-0.005276		
522.623	1.4239		-0.005955		
522.864	1.425		-0.006361		
523.105	1.4262		-0.006388		
523.346	1.4273		-0.006033		
523.587	1.4281		-0.005413		
523.828	1.4285		-0.004734		
524.069	1.4286		-0.004201		
524.311	1.4285		-0.003934		
524.552	1.4285		-0.003917		
524.793	1.4287		-0.004021		
525.034	1.4292		-0.004072		
525.275	1.4297		-0.003946		
525.516	1.4302		-0.003617		
525.757	1.4305		-0.003164		
525.998	1.4306		-0.002705		
526.239	1.4306		-0.002348		
526.48	1.4306		-0.002121		
526.721	1.4307		-0.001981		
526.962	1.4308		-0.001851		
527.203	1.4309		-0.001671		
527.444	1.431		-0.001436		
527.685	1.4311		-0.001188		
527.926	1.4311		-0.000983		
528.168	1.4311		-0.000845		
528.409	1.4312		-0.000749		
528.65	1.4313		-0.000639		
528.891	1.4314		-0.000475		
529.132	1.4315		-0.000272		
529.373	1.4315		-9.8E-5		
529.614	1.4315		-3.6E-5		
529.855	1.4315		-0.000111		
530.096	1.4318		-0.000247		
530.337	1.4324		-0.000269		
530.578	1.4331		3.2E-5		
530.819	1.4339		0.000796		
531.06	1.4343		0.002008		
531.301	1.4342		0.003478		
531.542	1.4335		0.004896		
531.783	1.4322		0.005942		
532.025	1.4306		0.006408		
532.266	1.4291		0.006261		
532.507	1.4277		0.005628		
532.748	1.4267		0.004706		
532.989	1.4259		0.003645		
533.23	1.4254		0.002471		
533.471	1.425		0.0011		
533.712	1.4249		-0.000566		
533.953	1.4253		-0.002514		
534.194	1.4265		-0.004536		
534.435	1.4285		-0.006244		
534.676	1.4313		-0.007188		
534.917	1.4345		-0.007037		
535.158	1.4374		-0.005709		
535.399	1.4397		-0.003427		
535.64	1.4409		-0.000642		
535.882	1.4411		0.002111		
536.123	1.4406		0.004402		
536.364	1.4397		0.006047		
536.605	1.4389		0.007158		
536.846	1.4383		0.008062		
537.087	1.4381		0.009142		
537.328	1.4378		0.010645		
537.569	1.4371		0.012568		
537.81	1.4357		0.014642		
538.051	1.4333		0.016422		
538.292	1.4302		0.01743		
538.533	1.4268		0.017314		
538.774	1.4235		0.015967		
539.015	1.421		0.013576		
539.256	1.4196		0.010577		
539.497	1.4194		0.00753		
539.739	1.4203		0.004947		
539.98	1.4218		0.003165		
540.221	1.4236		0.002287		
540.462	1.4253		0.00221		
540.703	1.4265		0.00271		
540.944	1.4273		0.00353		
541.185	1.4276		0.004452		
541.426	1.4276		0.00533		
541.667	1.4272		0.006087		
541.908	1.4266		0.006697		
542.149	1.4259		0.007145		
542.39	1.425		0.007424		
542.631	1.424		0.007519		
542.872	1.423		0.00743		
543.113	1.4219		0.007174		
543.354	1.4208		0.006773		
543.595	1.4196		0.006224		
543.837	1.4182		0.005455		
544.078	1.4167		0.00432		
544.319	1.4151		0.002615		
544.56	1.4137		0.000159		
544.801	1.4128		-0.003098		
545.042	1.413		-0.006971		
545.283	1.4145		-0.011018		
545.524	1.4174		-0.014616		
545.765	1.4215		-0.017135		
546.006	1.4262		-0.018137		
546.247	1.4307		-0.017517		
546.488	1.4346		-0.015534		
546.729	1.4372		-0.012717		
546.97	1.4386		-0.009701		
547.211	1.4388		-0.007034		
547.452	1.4385		-0.005033		
547.694	1.4379		-0.003725		
547.935	1.4375		-0.002896		
548.176	1.4374		-0.00224		
548.417	1.4374		-0.001501		
548.658	1.4373		-0.000589		
548.899	1.437		0.000406		
549.14	1.4363		0.001281		
549.381	1.4354		0.00184		
549.622	1.4345		0.001975		
549.863	1.4337		0.001716		
550.104	1.4332		0.001198		
550.345	1.433		0.0006		
550.586	1.4331		6.6E-5		
550.827	1.4334		-0.000325		
551.068	1.4338		-0.000559		
551.309	1.4343		-0.000652		
551.551	1.4348		-0.000617		
551.792	1.4353		-0.000447		
552.033	1.4357		-0.000136		
552.274	1.4361		0.0003		
552.515	1.4363		0.000807		
552.756	1.4364		0.001305		
552.997	1.4363		0.00172		
553.238	1.4362		0.002023		
553.479	1.4361		0.002241		
553.72	1.4361		0.002443		
553.961	1.4362		0.002699		
554.202	1.4362		0.00304		
554.443	1.4362		0.003434		
554.684	1.436		0.003806		
554.925	1.4358		0.004094		
555.166	1.4355		0.004292		
555.408	1.4354		0.004473		
555.649	1.4353		0.004751		
555.89	1.4352		0.005211		
556.131	1.4348		0.005831		
556.372	1.4341		0.006457		
556.613	1.4329		0.006835		
556.854	1.4314		0.006704		
557.095	1.43		0.005902		
557.336	1.4288		0.004448		
557.577	1.4283		0.002541		
557.818	1.4285		0.000502		
558.059	1.4295		-0.001339		
558.3	1.431		-0.002738		
558.541	1.4329		-0.003575		
558.782	1.4349		-0.00384		
559.023	1.4369		-0.003566		
559.265	1.4388		-0.002773		
559.506	1.4405		-0.001452		
559.747	1.4418		0.000403		
559.988	1.4425		0.002723		
560.229	1.4425		0.005312		
560.47	1.4415		0.007838		
560.711	1.4395		0.009885		
