Reference:	"Hudson & Gerakines (2019)"
DOI:	"doi:doi:10.1093/mnras/sty2821"
Sample Type:	"Ice"
Composition:	"C3H2O (1)"
Temperature:	"10K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/157"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"		"Wavenumber (cm⁻¹)"	"k₁"	"Dk₁  (+/-)"	
479.955	1.4133			479.955	0		
480.196	1.4133			480.196	-0.000146		
480.437	1.4127			480.437	-0.000781		
480.678	1.4125			480.678	-0.00161		
480.919	1.4125			480.919	-0.00235		
481.16	1.4127			481.16	-0.002901		
481.401	1.4128			481.401	-0.003358		
481.642	1.4129			481.642	-0.003928		
481.884	1.413			481.884	-0.004748		
482.125	1.4134			482.125	-0.005764		
482.366	1.4144			482.366	-0.006705		
482.607	1.4159			482.607	-0.007198		
482.848	1.4176			482.848	-0.006942		
483.089	1.419			483.089	-0.005875		
483.33	1.4196			483.33	-0.004231		
483.571	1.4193			483.571	-0.002488		
483.812	1.418			483.812	-0.00121		
484.053	1.4161			484.053	-0.000861		
484.294	1.4142			484.294	-0.00165		
484.535	1.4129			484.535	-0.003478		
484.776	1.4125			484.776	-0.00597		
485.017	1.4134			485.017	-0.008576		
485.258	1.4155			485.258	-0.010722		
485.499	1.4184			485.499	-0.011943		
485.741	1.4218			485.741	-0.011959		
485.982	1.425			485.982	-0.010702		
486.223	1.4277			486.223	-0.008287		
486.464	1.4294			486.464	-0.004986		
486.705	1.4299			486.705	-0.001196		
486.946	1.429			486.946	0.002599		
487.187	1.4268			487.187	0.005887		
487.428	1.4235			487.428	0.008199		
487.669	1.4196			487.669	0.009189		
487.91	1.4157			487.91	0.008711		
488.151	1.4122			488.151	0.006852		
488.392	1.4098			488.392	0.003942		
488.633	1.4087			488.633	0.000486		
488.874	1.409			488.874	-0.002913		
489.115	1.4104			489.115	-0.00569		
489.356	1.4126			489.356	-0.007447		
489.598	1.4149			489.598	-0.008045		
489.839	1.4168			489.839	-0.00765		
490.08	1.4179			490.08	-0.00669		
490.321	1.4181			490.321	-0.005731		
490.562	1.4176			490.562	-0.005295		
490.803	1.417			490.803	-0.005664		
491.044	1.4168			491.044	-0.00676		
491.285	1.4175			491.285	-0.008147		
491.526	1.4191			491.526	-0.009205		
491.767	1.4213			491.767	-0.009364		
492.008	1.4235			492.008	-0.008348		
492.249	1.425			492.249	-0.006301		
492.49	1.4253			492.49	-0.003754		
492.731	1.4242			492.731	-0.001442		
492.972	1.4221			492.972	-5.2E-5		
493.213	1.4197			493.213	2.3E-5		
493.455	1.4176			493.455	-0.001195		
493.696	1.4164			493.696	-0.003305		
493.937	1.4164			493.937	-0.00569		
494.178	1.4175			494.178	-0.007757		
494.419	1.4194			494.419	-0.009119		
494.66	1.4215			494.66	-0.009646		
494.901	1.4235			494.901	-0.009414		
495.142	1.4253			495.142	-0.008587		
495.383	1.4268			495.383	-0.007316		
495.624	1.4277			495.624	-0.005711		
495.865	1.4282			495.865	-0.003883		
