Reference:	"Hudson et al. (2020)"
DOI:	"doi:https://doi.org/10.1016/j.saa.2020.118217"
Sample Type:	"Ice"
Composition:	"C2H6O (1)"
Temperature:	"10K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/158"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"	"k₁"	"Dk₁  (+/-)"	
499.9632	1.3635		0		
500.0838	1.3635		0.000334		
500.2043	1.3635		0.000836		
500.3248	1.3632		0.001309		
500.4454	1.3626		0.001562		
500.5659	1.3619		0.001435		
500.6864	1.3611		0.000838		
500.807	1.3606		-0.000223		
500.9275	1.3606		-0.001627		
501.048	1.3612		-0.003134		
501.1686	1.3625		-0.004427		
501.2891	1.3644		-0.005191		
501.4096	1.3665		-0.005217		
501.5302	1.3685		-0.004476		
501.6507	1.3701		-0.003142		
501.7712	1.371		-0.001528		
501.8917	1.3713		2.0E-5		
502.0123	1.3713		0.001252		
502.1328	1.3711		0.002096		
502.2533	1.3712		0.002671		
502.3739	1.3715		0.00323		
502.4944	1.3721		0.004041		
502.6149	1.3728		0.005293		
502.7355	1.3732		0.007016		
502.856	1.3731		0.009094		
502.9765	1.3724		0.0113		
503.0971	1.3711		0.0134		
503.2176	1.3691		0.0151		
503.3381	1.3667		0.0163		
503.4587	1.3641		0.0168		
503.5792	1.3614		0.0167		
503.6997	1.3588		0.0159		
503.8202	1.3565		0.0146		
503.9408	1.3546		0.0127		
504.0613	1.3533		0.0105		
504.1818	1.3526		0.008177		
504.3024	1.3524		0.005814		
504.4229	1.3527		0.003576		
504.5434	1.3534		0.001547		
504.664	1.3544		-0.000245		
504.7845	1.3556		-0.001811		
504.905	1.3571		-0.003168		
505.0256	1.3588		-0.004309		
505.1461	1.3608		-0.005176		
505.2666	1.3631		-0.00566		
505.3871	1.3655		-0.005629		
505.5077	1.368		-0.004965		
505.6282	1.3703		-0.003617		
505.7487	1.3722		-0.001631		
505.8693	1.3735		0.000826		
505.9898	1.3739		0.003475		
506.1103	1.3734		0.005973		
506.2309	1.3723		0.007977		
506.3514	1.3707		0.009245		
506.4719	1.3692		0.009713		
506.5925	1.368		0.009529		
506.713	1.3674		0.009032		
506.8335	1.3676		0.00864		
506.9541	1.3681		0.00872		
507.0746	1.3687		0.009453		
507.1951	1.369		0.0108		
507.3156	1.3686		0.0124		
507.4362	1.3674		0.0138		
507.5567	1.3657		0.0147		
507.6772	1.3638		0.0148		
507.7978	1.3621		0.0141		
507.9183	1.361		0.0129		
508.0388	1.3606		0.0117		
508.1594	1.3607		0.0106		
508.2799	1.3612		0.01		
508.4004	1.3617		0.009893		
508.521	1.362		0.01		
508.6415	1.362		0.0102		
508.762	1.3619		0.0102		
508.8826	1.3618		0.0102		
509.0031	1.3619		0.0101		
509.1236	1.3621		0.0102		
509.2441	1.3622		0.0104		
509.3647	1.3621		0.0108		
509.4852	1.3619		0.0112		
509.6057	1.3614		0.0113		
509.7263	1.3609		0.0112		
509.8468	1.3607		0.0108		
509.9673	1.3609		0.0104		
510.0879	1.3615		0.0103		
510.2084	1.3621		0.0106		
510.3289	1.3626		0.0115		
510.4495	1.3626		0.0128		
510.57	1.3619		0.0141		
510.6905	1.3607		0.0151		
510.8111	1.359		0.0155		
510.9316	1.3573		0.0152		
511.0521	1.356		0.0144		
511.1726	1.3551		0.0133		
