Reference:	"Hudson et al. (2020)"
DOI:	"doi:https://doi.org/10.1016/j.saa.2020.118217"
Sample Type:	"Ice"
Composition:	"C2H6O (1)"
Temperature:	"75K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/159"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"		"Wavenumber (cm⁻¹)"	"k₁"	"Dk₁  (+/-)"	
499.9632	1.461			499.9632	0		
500.0838	1.461			500.0838	-0.000382		
500.2043	1.4595			500.2043	-0.00167		
500.3248	1.4585			500.3248	-0.003705		
500.4454	1.4582			500.4454	-0.006182		
500.5659	1.4589			500.5659	-0.008702		
500.6864	1.4605			500.6864	-0.0109		
500.807	1.4626			500.807	-0.0124		
500.9275	1.4651			500.9275	-0.013		
501.048	1.4675			501.048	-0.0128		
501.1686	1.4696			501.1686	-0.0119		
501.2891	1.4712			501.2891	-0.0105		
501.4096	1.4722			501.4096	-0.008749		
501.5301	1.4725			501.5301	-0.006908		
501.6507	1.4721			501.6507	-0.005166		
501.7712	1.4713			501.7712	-0.0037		
501.8917	1.4699			501.8917	-0.002674		
502.0123	1.4683			502.0123	-0.002236		
502.1328	1.4665			502.1328	-0.002491		
502.2533	1.465			502.2533	-0.003447		
502.3739	1.464			502.3739	-0.004974		
502.4944	1.4636			502.4944	-0.0068		
502.6149	1.464			502.6149	-0.008568		
502.7355	1.465			502.7355	-0.009946		
502.856	1.4663			502.856	-0.0107		
502.9765	1.4676			502.9765	-0.0109		
503.0971	1.4684			503.0971	-0.0108		
503.2176	1.4689			503.2176	-0.0106		
503.3381	1.469			503.3381	-0.0106		
503.4586	1.4691			503.4586	-0.0111		
503.5792	1.4695			503.5792	-0.012		
503.6997	1.4706			503.6997	-0.013		
503.8202	1.4723			503.8202	-0.0138		
503.9408	1.4744			503.9408	-0.0139		
504.0613	1.4766			504.0613	-0.0132		
504.1818	1.4786			504.1818	-0.0118		
504.3024	1.48			504.3024	-0.009756		
504.4229	1.4806			504.4229	-0.007461		
504.5434	1.4806			504.5434	-0.0052		
504.664	1.4799			504.664	-0.003211		
504.7845	1.4789			504.7845	-0.001625		
504.905	1.4776			504.905	-0.000487		
505.0256	1.4762			505.0256	0.000217		
505.1461	1.4748			505.1461	0.000524		
505.2666	1.4736			505.2666	0.000475		
505.3871	1.4726			505.3871	0.000138		
505.5077	1.4719			505.5077	-0.000385		
505.6282	1.4714			505.6282	-0.000966		
505.7487	1.4713			505.7487	-0.001484		
505.8693	1.4713			505.8693	-0.001863		
505.9898	1.4714			505.9898	-0.002087		
506.1103	1.4716			506.1103	-0.002186		
506.2309	1.4717			506.2309	-0.002206		
506.3514	1.4719			506.3514	-0.002163		
506.4719	1.4722			506.4719	-0.002008		
506.5925	1.4725			506.5925	-0.001635		
506.713	1.4728			506.713	-0.00094		
506.8335	1.4728			506.8335	0.000115		
506.9541	1.4723			506.9541	0.001431		
507.0746	1.4712			507.0746	0.002764		
507.1951	1.4693			507.1951	0.003761		
507.3156	1.4669			507.3156	0.004052		
507.4362	1.4643			507.4362	0.003372		
507.5567	1.462			507.5567	0.001665		
507.6772	1.4603			507.6772	-0.000882		
507.7978	1.4597			507.7978	-0.003897		
507.9183	1.4601			507.9183	-0.006929		
508.0388	1.4615			508.0388	-0.009561		
508.1594	1.4636			508.1594	-0.0115		
508.2799	1.466			508.2799	-0.0126		
508.4004	1.4684			508.4004	-0.0128		
508.521	1.4706			508.521	-0.0123		
508.6415	1.4723			508.6415	-0.0113		
508.762	1.4734			508.762	-0.0101		
508.8825	1.4742			508.8825	-0.008773		
509.0031	1.4745			509.0031	-0.007527		
509.1236	1.4745			509.1236	-0.006414		
509.2441	1.4743			509.2441	-0.005457		
509.3647	1.4739			509.3647	-0.004654		
509.4852	1.4734			509.4852	-0.004015		
509.6057	1.4728			509.6057	-0.003573		
509.7263	1.4721			509.7263	-0.003378		
