Reference:	"Hudson et al. (2021)"
DOI:	"doi:https://doi.org/10.1016/j.icarus.2020.114033"
Sample Type:	"Ice"
Composition:	"C3H4 (1)"
Temperature:	"8K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/166"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"	"k₁"	"Dk₁  (+/-)"	
500.0235	1.4248		-0.00199442		
500.0838	1.4248		-0.0022378		
500.144	1.4268		-0.00066452		
500.2043	1.4278		0.00259923		
500.2646	1.426		0.00660675		
500.3248	1.4216		0.0096614		
500.3851	1.4147		0.00990574		
500.4454	1.4074		0.00591497		
500.5056	1.4021		-0.00249098		
500.5659	1.4015		-0.0139075		
500.6261	1.4067		-0.02552746		
500.6864	1.4175		-0.03414643		
500.7467	1.4315		-0.03730284		
500.8069	1.4459		-0.03409269		
500.8672	1.4575		-0.02524694		
500.9275	1.4645		-0.01275953		
500.9877	1.4657		0.00077931		
501.048	1.4619		0.01284001		
501.1083	1.4543		0.02156867		
501.1685	1.4452		0.02612752		
501.2288	1.4365		0.02678116		
501.2891	1.4297		0.02461175		
501.3493	1.4251		0.0210601		
501.4096	1.4228		0.01738774		
501.4699	1.422		0.01435764		
501.5301	1.4218		0.01216532		
501.5904	1.4219		0.01063846		
501.6507	1.422		0.00948617		
501.7109	1.4221		0.00852117		
501.7712	1.4222		0.00770105		
501.8315	1.4224		0.00707339		
501.8917	1.4225		0.00663134		
501.952	1.4223		0.00625645		
502.0123	1.422		0.00571899		
502.0725	1.4215		0.00479742		
502.1328	1.4213		0.00339946		
502.1931	1.4216		0.00165474		
502.2533	1.4227		-9.724E-5		
502.3136	1.4246		-0.0014051		
502.3738	1.4269		-0.00188453		
502.4341	1.4292		-0.00135984		
502.4944	1.431		3.883E-5		
502.5546	1.4319		0.00189617		
502.6149	1.4317		0.00361813		
502.6752	1.4307		0.0046211		
502.7354	1.4295		0.00453004		
502.7957	1.4289		0.00335981		
502.856	1.4294		0.00157301		
502.9162	1.4314		1.358E-5		
502.9765	1.4347		-0.00035004		
503.0368	1.4385		0.00122628		
503.097	1.4416		0.00492339		
503.1573	1.4427		0.01019911		
503.2176	1.4412		0.01587695		
503.2778	1.437		0.02047983		
503.3381	1.431		0.02268999		
503.3984	1.4246		0.02183352		
503.4586	1.4194		0.01816828		
503.5189	1.4168		0.01285313		
503.5792	1.4169		0.00750029		
503.6394	1.4191		0.00351311		
503.6997	1.4221		0.00151551		
503.76	1.4244		0.00115469		
503.8202	1.4253		0.00132761		
503.8805	1.425		0.00072151		
503.9408	1.4246		-0.001541		
504.001	1.4255		-0.00540116		
504.0613	1.4289		-0.00977378		
504.1216	1.4349		-0.01297551		
504.1818	1.4428		-0.0134812		
504.2421	1.4509		-0.01056769		
504.3023	1.4573		-0.00456598		
504.3626	1.4609		0.00331902		
504.4229	1.4613		0.01145424		
504.4831	1.459		0.01833494		
504.5434	1.4551		0.02305659		
504.6037	1.4511		0.0255497		
504.6639	1.4479		0.02647359		
504.7242	1.4459		0.02681633		
504.7845	1.4448		0.02739198		
504.8447	1.444		0.02851585		
504.905	1.4428		0.0299741		
504.9653	1.4412		0.03129185		
505.0255	1.4395		0.03208635		
505.0858	1.4381		0.03236257		
505.1461	1.4374		0.03256206		
505.2063	1.4374		0.03335522		
505.2666	1.4375		0.03526327		
505.3269	1.4368		0.03832668		
505.3871	1.4346		0.04198593		
505.4474	1.4304		0.04524438		
505.5077	1.4247		0.04702639		
505.5679	1.4183		0.04659065		
505.6282	1.4124		0.04379839		
505.6885	1.4079		0.03914304		
505.7487	1.4057		0.03355984		
505.809	1.4057		0.02813871		
505.8693	1.4075		0.02383253		
505.9295	1.4104		0.02124249		
505.9898	1.4132		0.02047382		
506.05	1.4152		0.0211461		
506.1103	1.4159		0.02252484		
506.1706	1.4151		0.02374927		
506.2308	1.4133		0.02405719		
506.2911	1.4111		0.02299454		
506.3514	1.4094		0.02052807		
506.4116	1.4089		0.0170667		
506.4719	1.41		0.01335694		
506.5322	1.4127		0.01026981		
506.5924	1.4166		0.00853393		
506.6527	1.4207		0.00850586		
506.713	1.4244		0.01005785		
506.7732	1.4269		0.01265352		
506.8335	1.4281		0.01555891		
506.8938	1.4283		0.01812996		
506.954	1.4279		0.02004317		
507.0143	1.4275		0.02139911		
507.0746	1.4276		0.02263494		
507.1348	1.4278		0.02428052		
507.1951	1.4278		0.026647		
507.2554	1.4269		0.02962254		
507.3156	1.4246		0.03264222		
507.3759	1.4209		0.0348729		
507.4362	1.4161		0.03550519		
507.4964	1.4113		0.0340873		
507.5567	1.4074		0.03073281		
507.617	1.4053		0.02612814		
507.6772	1.4053		0.02129624		
507.7375	1.4073		0.0172449		
507.7978	1.4105		0.01466493		
507.858	1.4141		0.01379775		
507.9183	1.4173		0.01446062		
507.9785	1.4196		0.01619309		
508.0388	1.4207		0.01841736		
508.0991	1.4207		0.02056936		
508.1593	1.4199		0.02217854		
508.2196	1.4185		0.02293785		
508.2799	1.4172		0.0227595		
508.3401	1.4165		0.0218254		
508.4004	1.4166		0.0205432		
508.4607	1.4177		0.0194301		
508.5209	1.4196		0.0189542		
508.5812	1.4218		0.01942478		
508.6415	1.424		0.02095544		
508.7017	1.4258		0.02347521		
508.762	1.4267		0.02675258		
508.8223	1.4265		0.03043739		
508.8825	1.4253		0.03412637		
508.9428	1.4229		0.0374363		
509.0031	1.4198		0.04006862		
509.0633	1.416		0.04184045		
509.1236	1.412		0.04268382		
509.1839	1.408		0.04263899		
509.2441	1.4042		0.04182219		
509.3044	1.4008		0.04039758		
509.3647	1.3978		0.03852841		
509.4249	1.3951		0.03632812		
509.4852	1.3927		0.03382516		
509.5455	1.3905		0.03094732		
509.6057	1.3887		0.02756184		
509.666	1.3874		0.02354972		
509.7262	1.3869		0.01892151		
509.7865	1.3878		0.01392642		
509.8468	1.3903		0.00909132		
509.907	1.3944		0.00513611		
509.9673	1.3998		0.00278871		
510.0276	1.4057		0.00254827		
510.0878	1.4112		0.0045078		
510.1481	1.4154		0.00831001		
510.2084	1.4176		0.01323153		
510.2686	1.4178		0.01836301		
510.3289	1.416		0.02283024		
510.3892	1.4129		0.02598796		
510.4494	1.4092		0.02753567		
510.5097	1.4056		0.02753942		
510.57	1.4027		0.02633972		
510.6302	1.4007		0.02444913		
510.6905	1.3999		0.02234882		
510.7508	1.3999		0.02047074		
510.811	1.4007		0.01914536		
510.8713	1.4018		0.01860236		
510.9316	1.403		0.01895441		
510.9918	1.4039		0.02016742		
511.0521	1.4039		0.02202396		
511.1124	1.4029		0.02413997		
511.1726	1.4008		0.02602888		
511.2329	1.3977		0.02721205		
511.2932	1.394		0.02732711		
511.3534	1.3901		0.02619454		
511.4137	1.3865		0.02383683		
511.474	1.3835		0.02043707		
511.5342	1.3815		0.01626757		
511.5945	1.3805		0.01162524		
511.6547	1.3807		0.0068021		
511.715	1.3821		0.00209421		
511.7753	1.3847		-0.00217723		
511.8355	1.3883		-0.00566472		
511.8958	1.3927		-0.0080362		
511.9561	1.3975		-0.00904631		
512.0163	1.4023		-0.00860351		
512.0766	1.4066		-0.00680139		
512.1369	1.4098		-0.00389754		
512.1971	1.4119		-0.00026883		
512.2574	1.4125		0.00363767		
512.3177	1.4117		0.00733237		
512.3779	1.4095		0.01029784		
512.4382	1.4062		0.01200723		
512.4985	1.4025		0.01200661		
512.5587	1.399		0.01006293		
512.619	1.3968		0.00635063		
512.6793	1.3967		0.00158487		
512.7395	1.3993		-0.00303332		
512.7998	1.4042		-0.00609698		
512.8601	1.4106		-0.00643509		
512.9203	1.4169		-0.00352415		
512.9806	1.4214		0.00229386		
513.0409	1.4228		0.00987742		
513.1011	1.4207		0.01758569		
513.1614	1.4154		0.02372464		
513.2217	1.408		0.0270093		
513.2819	1.4001		0.02691952		
513.3422	1.3933		0.02382173		
513.4024	1.3886		0.01877656		
513.4627	1.3864		0.01309325		
513.523	1.3862		0.00782991		
513.5832	1.3872		0.00349076		
513.6435	1.3888		4.608E-5		
513.7038	1.3907		-0.00280686		
513.764	1.3929		-0.00532035		
513.8243	1.3957		-0.00746816		
513.8846	1.3992		-0.00891164		
513.9448	1.4032		-0.0091693		
514.0051	1.4072		-0.00787835		
514.0654	1.4104		-0.00502932		
514.1256	1.4122		-0.0010319		
514.1859	1.4121		0.00337509		
514.2462	1.4101		0.00734032		
514.3064	1.4066		0.010128		
514.3667	1.4023		0.01129866		
514.427	1.3979		0.01077538		
514.4872	1.3941		0.00880626		
514.5475	1.3911		0.00583363		
514.6078	1.3891		0.00232173		
514.668	1.388		-0.00138447		
514.7283	1.3876		-0.00513503		
514.7886	1.3877		-0.00894714		
514.8488	1.3885		-0.01290167		
514.9091	1.39		-0.01699619		
514.9694	1.3927		-0.02100827		
515.0296	1.3966		-0.0244479		
515.0899	1.4017		-0.02664726		
515.1502	1.4073		-0.0269707		
515.2104	1.4126		-0.0250985		
515.2707	1.4163		-0.02126821		
515.3309	1.4174		-0.01639675		
515.3912	1.4155		-0.01199099		
515.4515	1.4108		-0.00983668		
515.5117	1.4048		-0.01146674		
515.572	1.3998		-0.01753406		
515.6323	1.3983		-0.02729691		
515.6925	1.4023		-0.038544		
515.7528	1.4122		-0.04817226		
515.8131	1.4265		-0.05326035		
515.8733	1.4427		-0.05206981		
515.9336	1.4575		-0.04450935		
515.9939	1.4683		-0.03201873		
516.0541	1.4735		-0.01703098		
516.1144	1.473		-0.00227903		
516.1747	1.4679		0.00990507		
516.2349	1.4601		0.01813255		
516.2952	1.4519		0.02220823		
516.3555	1.445		0.02302498		
516.4157	1.4405		0.02211916		
516.476	1.4384		0.02108282		
516.5363	1.4378		0.02105709		
516.5965	1.4377		0.02249439		
516.6568	1.437		0.02520811		
516.7171	1.4353		0.02861055		
516.7773	1.4321		0.03198414		
516.8376	1.4278		0.03468866		
516.8979	1.4226		0.03626619		
516.9581	1.417		0.03646551		
517.0184	1.4115		0.03523294		
517.0786	1.4067		0.03270231		
517.1389	1.4029		0.02918497		
517.1992	1.4003		0.025125		
517.2594	1.3989		0.02101288		
517.3197	1.3985		0.01725966		
517.38	1.3989		0.01409498		
517.4402	1.3995		0.01152939		
517.5005	1.4002		0.00940624		
517.5608	1.401		0.00751427		
517.621	1.4017		0.00570328		
517.6813	1.4028		0.00395934		
517.7416	1.4041		0.00240179		
517.8018	1.4057		0.00120395		
517.8621	1.4074		0.00048982		
517.9224	1.409		0.00025358		
517.9826	1.4103		0.00035426		
518.0429	1.4112		0.00058162		
518.1032	1.4119		0.00074578		
518.1634	1.4124		0.00073009		
518.2237	1.4128		0.0004899		
518.284	1.4134		1.762E-5		
518.3442	1.4142		-0.00067181		
518.4045	1.4154		-0.00151221		
518.4648	1.4173		-0.00232593		
518.525	1.4199		-0.00277408		
518.5853	1.4232		-0.00238212		
518.6456	1.427		-0.0006511		
518.7058	1.4305		0.00275224		
518.7661	1.433		0.00781051		
