Reference:	"Hudson et al. (2021)"
DOI:	"doi:https://doi.org/10.1016/j.icarus.2020.114033"
Sample Type:	"Ice"
Composition:	"C3H4 (1)"
Temperature:	"80K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/167"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"		"Wavenumber (cm⁻¹)"	"k₁"	"Dk₁  (+/-)"	
500.0235	1.6812			500.0235	-0.00315979		
500.0838	1.6812			500.0838	0.00374208		
500.144	1.6788			500.144	0.007478		
500.2043	1.6777			500.2043	0.00804334		
500.2646	1.6755			500.2646	0.00524891		
500.3248	1.677			500.3248	-0.00086857		
500.3851	1.6826			500.3851	-0.00864175		
500.4454	1.695			500.4454	-0.01494295		
500.5056	1.7115			500.5056	-0.01626781		
500.5659	1.7305			500.5659	-0.01039342		
500.6261	1.7472			500.6261	0.00301121		
500.6864	1.7593			500.6864	0.02246404		
500.7467	1.7637			500.7467	0.0452296		
500.8069	1.7606			500.8069	0.06773743		
500.8672	1.75			500.8672	0.08654327		
500.9275	1.7355			500.9275	0.09886542		
500.9877	1.7202			500.9877	0.10381382		
501.048	1.7085			501.048	0.10260035		
501.1083	1.7023			501.1083	0.09855881		
501.1685	1.702			501.1685	0.09570185		
501.2288	1.7048			501.2288	0.09723853		
501.2891	1.7073			501.2891	0.10400405		
501.3493	1.7057			501.3493	0.11448813		
501.4096	1.6985			501.4096	0.12540766		
501.4699	1.686			501.4699	0.13318587		
501.5301	1.6707			501.5301	0.13498626		
501.5904	1.6561			501.5904	0.12983143		
501.6507	1.6462			501.6507	0.11877949		
501.7109	1.643			501.7109	0.10477362		
501.7712	1.6478			501.7712	0.09152684		
501.8315	1.6588			501.8315	0.08251354		
501.8917	1.6739			501.8917	0.08003673		
501.952	1.6899			501.952	0.08508815		
502.0123	1.704			502.0123	0.0974083		
502.0725	1.7134			502.0725	0.11586743		
502.1328	1.7163			502.1328	0.13855124		
502.1931	1.7113			502.1931	0.16302708		
502.2533	1.6981			502.2533	0.18637073		
502.3136	1.677			502.3136	0.20558811		
502.3738	1.6501			502.3738	0.21786024		
502.4341	1.62			502.4341	0.2212402		
502.4944	1.5905			502.4944	0.2149988		
502.5546	1.5653			502.5546	0.20014745		
502.6149	1.5473			502.6149	0.17924055		
502.6752	1.5378			502.6752	0.15590061		
502.7354	1.5365			502.7354	0.13370897		
502.7957	1.5413			502.7957	0.11536447		
