Reference:	"Hudson and Yarnall (2022)"
DOI:	"doi:https://doi.org/10.1021/acsearthspacechem.1c00339"
Sample Type:	"Ice"
Composition:	"C3H4 (1)"
Temperature:	"80K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/169"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"	"k₁"	"Dk₁  (+/-)"	
700.045	1.60877		0.0027		
700.105	1.60877		0.00284		
700.165	1.60788		0.00251		
700.225	1.60658		0.00169		
700.285	1.60618		0.00049		
700.345	1.606		-0.00088		
700.405	1.60668		-0.0021		
700.465	1.60755		-0.003		
700.525	1.60889		-0.00341		
700.585	1.61002		-0.00329		
700.645	1.61112		-0.00274		
700.705	1.61172		-0.00193		
700.765	1.61207		-0.00102		
700.825	1.61195		-0.00019		
700.885	1.6117		0.00044		
700.945	1.61124		0.00084		
701.005	1.61088		0.00101		
701.065	1.61054		0.00099		
701.125	1.61046		0.00088		
701.185	1.61049		0.00079		
701.245	1.61078		0.00085		
701.305	1.61106		0.00114		
701.365	1.61136		0.00173		
701.425	1.61135		0.0026		
701.485	1.61101		0.00362		
701.545	1.61012		0.00457		
701.605	1.60883		0.00525		
701.665	1.60715		0.0054		
701.725	1.60548		0.00488		
701.785	1.604		0.00372		
701.845	1.60311		0.00207		
701.905	1.60289		0.00022		
701.965	1.60345		-0.00149		
702.025	1.60451		-0.00273		
702.085	1.60589		-0.00335		
702.145	1.60719		-0.00332		
702.205	1.60821		-0.00275		
702.265	1.60869		-0.0019		
702.325	1.60867		-0.00101		
702.385	1.60814		-0.00034		
702.445	1.60736		-8.0E-5		
702.505	1.60649		-0.00028		
702.565	1.6058		-0.00089		
702.625	1.60542		-0.00178		
702.685	1.60546		-0.00274		
702.745	1.60581		-0.00361		
702.805	1.60646		-0.00424		
702.865	1.60716		-0.00455		
702.925	1.60781		-0.00458		
702.985	1.60824		-0.00447		
703.045	1.60849		-0.00434		
703.105	1.60856		-0.00434		
703.165	1.60867		-0.00453		
703.225	1.6089		-0.00486		
703.285	1.60942		-0.0052		
703.345	1.61014		-0.00535		
703.405	1.61101		-0.00515		
703.465	1.61175		-0.00454		
703.525	1.61214		-0.0036		
703.585	1.61199		-0.00257		
703.645	1.61132		-0.00173		
703.705	1.6102		-0.00136		
