Reference:	"Hudson and Yarnall (2022)"
DOI:	"doi:https://doi.org/10.1021/acsearthspacechem.1c00339"
Sample Type:	"Ice"
Composition:	"C3H4 (1)"
Temperature:	"80K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/169"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"		"Wavenumber (cm⁻¹)"	"k₁"	"Dk₁  (+/-)"	
700.045	1.60877			700.045	0.0027		
700.105	1.60877			700.105	0.00284		
700.165	1.60788			700.165	0.00251		
700.225	1.60658			700.225	0.00169		
700.285	1.60618			700.285	0.00049		
700.345	1.606			700.345	-0.00088		
700.405	1.60668			700.405	-0.0021		
700.465	1.60755			700.465	-0.003		
700.525	1.60889			700.525	-0.00341		
700.585	1.61002			700.585	-0.00329		
700.645	1.61112			700.645	-0.00274		
700.705	1.61172			700.705	-0.00193		
700.765	1.61207			700.765	-0.00102		
700.825	1.61195			700.825	-0.00019		
700.885	1.6117			700.885	0.00044		
700.945	1.61124			700.945	0.00084		
701.005	1.61088			701.005	0.00101		
701.065	1.61054			701.065	0.00099		
701.125	1.61046			701.125	0.00088		
701.185	1.61049			701.185	0.00079		
701.245	1.61078			701.245	0.00085		
701.305	1.61106			701.305	0.00114		
701.365	1.61136			701.365	0.00173		
701.425	1.61135			701.425	0.0026		
701.485	1.61101			701.485	0.00362		
701.545	1.61012			701.545	0.00457		
701.605	1.60883			701.605	0.00525		
701.665	1.60715			701.665	0.0054		
701.725	1.60548			701.725	0.00488		
701.785	1.604			701.785	0.00372		
701.845	1.60311			701.845	0.00207		
701.905	1.60289			701.905	0.00022		
701.965	1.60345			701.965	-0.00149		
702.025	1.60451			702.025	-0.00273		
702.085	1.60589			702.085	-0.00335		
702.145	1.60719			702.145	-0.00332		
702.205	1.60821			702.205	-0.00275		
702.265	1.60869			702.265	-0.0019		
702.325	1.60867			702.325	-0.00101		
702.385	1.60814			702.385	-0.00034		
702.445	1.60736			702.445	-8.0E-5		
702.505	1.60649			702.505	-0.00028		
702.565	1.6058			702.565	-0.00089		
702.625	1.60542			702.625	-0.00178		
702.685	1.60546			702.685	-0.00274		
702.745	1.60581			702.745	-0.00361		
702.805	1.60646			702.805	-0.00424		
702.865	1.60716			702.865	-0.00455		
702.925	1.60781			702.925	-0.00458		
702.985	1.60824			702.985	-0.00447		
703.045	1.60849			703.045	-0.00434		
703.105	1.60856			703.105	-0.00434		
703.165	1.60867			703.165	-0.00453		
703.225	1.6089			703.225	-0.00486		
703.285	1.60942			703.285	-0.0052		
703.345	1.61014			703.345	-0.00535		
703.405	1.61101			703.405	-0.00515		
703.465	1.61175			703.465	-0.00454		
703.525	1.61214			703.525	-0.0036		
703.585	1.61199			703.585	-0.00257		
703.645	1.61132			703.645	-0.00173		
703.705	1.6102			703.705	-0.00136		
703.765	1.609			703.765	-0.00167		
703.825	1.60799			703.825	-0.00264		
703.885	1.60752			703.885	-0.00412		
703.945	1.60775			703.945	-0.00583		
704.005	1.60876			704.005	-0.00743		
704.065	1.61038			704.065	-0.00859		
704.125	1.61242			704.125	-0.00916		
704.185	1.61461			704.185	-0.00901		
704.245	1.61674			704.245	-0.00817		
704.305	1.61855			704.305	-0.00667		
704.365	1.6199			704.365	-0.00464		
704.425	1.62056			704.425	-0.00223		
704.4851	1.62047			704.4851	0.00029		
704.5451	1.61958			704.5451	0.00269		
704.6051	1.61796			704.6051	0.00466		
704.6651	1.61579			704.6651	0.00593		
704.7251	1.61345			704.7251	0.00631		
704.7851	1.61128			704.7851	0.00584		
704.8451	1.60966			704.8451	0.00469		
704.9051	1.60878			704.9051	0.00321		
704.9651	1.60866			704.9651	0.00182		
705.0251	1.60906			705.0251	0.0008		
705.0851	1.60973			705.0851	0.00034		
705.1451	1.61028			705.1451	0.0004		
705.2051	1.61052			705.2051	0.00078		
705.2651	1.61032			705.2651	0.00123		
705.3251	1.6098			705.3251	0.00148		
705.3851	1.60912			705.3851	0.00138		
705.4451	1.60853			705.4451	0.00094		
705.5051	1.60819			705.5051	0.00025		
705.5651	1.6082			705.5651	-0.0005		
705.6251	1.6085			705.6251	-0.00112		
705.6851	1.60901			705.6851	-0.0015		
705.7451	1.60954			705.7451	-0.0016		
705.8051	1.61			705.8051	-0.00144		
705.8651	1.61028			705.8651	-0.00112		
705.9251	1.61036			705.9251	-0.00073		
705.9851	1.61022			705.9851	-0.00036		
706.0451	1.60993			706.0451	-7.0E-5		
706.1051	1.60951			706.1051	6.0E-5		
706.1651	1.60905			706.1651	4.0E-5		
706.2251	1.6086			706.2251	-0.00016		
706.2851	1.60823			706.2851	-0.00051		
706.3451	1.60798			706.3451	-0.00095		
706.4051	1.60788			706.4051	-0.00144		
706.4651	1.60791			706.4651	-0.00191		
706.5251	1.60805			706.5251	-0.00231		
706.5851	1.60821			706.5851	-0.00263		
706.6451	1.6084			706.6451	-0.0029		
706.7051	1.60857			706.7051	-0.00314		
706.7651	1.60876			706.7651	-0.00338		
706.8251	1.60897			706.8251	-0.00364		
706.8851	1.60927			706.8851	-0.00388		
706.9451	1.60964			706.9451	-0.00407		
707.0051	1.61009			707.0051	-0.00415		
707.0651	1.61055			707.0651	-0.00409		
707.1251	1.61099			707.1251	-0.00388		
707.1851	1.61131			707.1851	-0.00353		
707.2451	1.6115			707.2451	-0.00307		
707.3051	1.61148			707.3051	-0.00257		
707.3651	1.61125			707.3651	-0.00209		
707.4251	1.6108			707.4251	-0.00173		
707.4851	1.61019			707.4851	-0.00157		
707.5451	1.60948			707.5451	-0.0017		
707.6051	1.60882			707.6051	-0.00215		
707.6651	1.60834			707.6651	-0.00292		
707.7251	1.60821			707.7251	-0.0039		
707.7851	1.60849			707.7851	-0.00495		
707.8451	1.60923			707.8451	-0.00583		
707.9051	1.61027			707.9051	-0.00634		
707.9651	1.61145			707.9651	-0.00637		
708.0251	1.61248			708.0251	-0.00593		
708.0851	1.61319			708.0851	-0.00513		
708.1451	1.61343			708.1451	-0.00419		
708.2051	1.61326			708.2051	-0.00335		
708.2651	1.61277			708.2651	-0.00279		
708.3251	1.6122			708.3251	-0.0026		
708.3851	1.61172			708.3851	-0.00271		
708.4451	1.61149			708.4451	-0.00299		
708.5051	1.6115			708.5051	-0.00325		
708.5651	1.61166			708.5651	-0.00334		
708.6251	1.61179			708.6251	-0.00322		
708.6851	1.61177			708.6851	-0.00295		
708.7451	1.61148			708.7451	-0.00267		
708.8051	1.61098			708.8051	-0.00256		
708.8651	1.61034			708.8651	-0.00274		
708.9251	1.60977			708.9251	-0.00327		
708.9851	1.60943			708.9851	-0.00408		
709.0451	1.60945			709.0451	-0.00503		
709.1051	1.60984			709.1051	-0.00595		
709.1651	1.61057			709.1651	-0.00667		
709.2251	1.61148			709.2251	-0.00705		
709.2851	1.61242			709.2851	-0.00708		
709.3451	1.61322			709.3451	-0.0068		
709.4051	1.6138			709.4051	-0.00631		
709.4651	1.6141			709.4651	-0.00575		
709.5251	1.61415			709.5251	-0.00525		
709.5851	1.61401			709.5851	-0.00489		
