Reference:	"Dello Russo and Khanna (1996)"
DOI:	"doi:https://doi.org/10.1006/icar.1996.0165"
Sample Type:	"Ice"
Composition:	"CH3CN (1)"
Temperature:	"95K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/16"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"		"Wavenumber (cm⁻¹)"	"k₁"	"Dk₁  (+/-)"	
80	2.229			80	0.129		
85	2.368			85	0.322		
90	2.239			90	0.989		
91	2.018			91	1.08		
92	1.778			92	1.04		
93	1.6			93	0.9		
94	1.521			94	0.721		
95	1.522			95	0.564		
96	1.568			96	0.449		
100	1.845			100	0.256		
105	2.144			105	0.409		
110	2.353			110	0.64		
115	2.446			115	1.24		
120	1.893			120	1.92		
121	1.704			121	1.98		
122	1.522			122	2		
123	1.347			123	2		
124	1.169			124	1.99		
125	0.984			125	1.96		
126	0.795			126	1.89		
127	0.617			127	1.79		
128	0.47			128	1.63		
129	0.369			129	1.45		
130	0.316			130	1.28		
135	0.419			135	0.665		
140	0.623			140	0.433		
141	0.651			141	0.408		
142	0.676			142	0.385		
143	0.698			143	0.363		
144	0.72			144	0.341		
145	0.742			145	0.321		
150	0.83			150	0.255		
155	0.904			155	0.223		
160	0.941			160	0.194		
165	0.962			165	0.179		
166	0.963			166	0.172		
167	0.965			167	0.164		
168	0.967			168	0.156		
169	0.97			169	0.148		
170	0.972			170	0.139		
175	1.003			175	0.093		
180	1.049			180	0.0709		
190	1.1			190	0.0495		
380	1.351			380	0.00888		
381	1.357			381	0.0109		
382	1.366			382	0.0159		
383	1.375			383	0.0281		
384	1.379			384	0.0489		
385	1.368			385	0.0727		
386	1.346			386	0.0874		
387	1.321			387	0.0844		
388	1.307			388	0.0687		
389	1.308			389	0.0543		
390	1.317			390	0.052		
391	1.321			391	0.0626		
392	1.313			392	0.0781		
393	1.292			393	0.0861		
394	1.269			394	0.0788		
395	1.253			395	0.0594		
396	1.249			396	0.0375		
397	1.254			397	0.0199		
398	1.262			398	0.00888		
399	1.271			399	0.00313		
400	1.279			400	0.0007		
770	1.375			770	0.00905		
771	1.379			771	0.016		
772	1.381			772	0.0283		
773	1.376			773	0.0413		
774	1.359			774	0.057		
775	1.332			775	0.0486		
776	1.326			776	0.0309		
777	1.328			777	0.0208		
778	1.331			778	0.0152		
779	1.333			779	0.012		
780	1.334			780	0.0104		
781	1.336			781	0.00861		
782	1.337			782	0.00731		
783	1.338			783	0.0066		
784	1.338			784	0.00634		
785	1.339			785	0.00554		
786	1.339			786	0.00464		
787	1.339			787	0.00363		
788	1.34			788	0.00306		
789	1.341			789	0.00248		
790	1.341			790	0.00172		
