Reference:	"Hudson et al. (2022)"
DOI:	"doi:https://doi.org/10.3847/1538-4357/ac3e74"
Sample Type:	"Ice"
Composition:	"NH3 (1)"
Temperature:	"10K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/170"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"	"k₁"	"Dk₁  (+/-)"	
630.02	1.36424		-0.00542		
630.14	1.36424		-0.00534		
630.26	1.36427		-0.00526		
630.38	1.36614		-0.00514		
630.5	1.36621		-0.00498		
630.62	1.36912		-0.00473		
630.74	1.36916		-0.00443		
630.86	1.3694		-0.00413		
630.98	1.36809		-0.00391		
631.1	1.36694		-0.00384		
631.22	1.36685		-0.00392		
631.34	1.36695		-0.00412		
631.46	1.36695		-0.00435		
631.58	1.36711		-0.00452		
631.7	1.36838		-0.00456		
631.82	1.36846		-0.0045		
631.94	1.36835		-0.00437		
632.06	1.36827		-0.00425		
632.18	1.36932		-0.0042		
632.3	1.36923		-0.00426		
632.42	1.36912		-0.0044		
632.54	1.36919		-0.00452		
632.66	1.36925		-0.0046		
632.78	1.36943		-0.00455		
632.9	1.36952		-0.00439		
633.02	1.36964		-0.00417		
633.14	1.36963		-0.00394		
633.26	1.36964		-0.00373		
633.38	1.36957		-0.00357		
633.5	1.36956		-0.00346		
633.62	1.3695		-0.00337		
633.74	1.3695		-0.0033		
633.86	1.36945		-0.00326		
633.98	1.3682		-0.00328		
634.1	1.36691		-0.0034		
634.22	1.36694		-0.0036		
634.34	1.36697		-0.00388		
634.46	1.36708		-0.00416		
634.58	1.36717		-0.00441		
634.7	1.3673		-0.00459		
634.82	1.36859		-0.00473		
634.94	1.36863		-0.00489		
635.06	1.36858		-0.00512		
635.18	1.36857		-0.00542		
635.3	1.36857		-0.0058		
635.42	1.36867		-0.00616		
635.54	1.36881		-0.00642		
635.66	1.36902		-0.00649		
635.78	1.37043		-0.00637		
635.9	1.37058		-0.0061		
636.02	1.37061		-0.00578		
636.14	1.3706		-0.0055		
636.26	1.37054		-0.00536		
636.38	1.37052		-0.00533		
636.5	1.37052		-0.00535		
636.62	1.37061		-0.00536		
636.74	1.37068		-0.00527		
636.86	1.37202		-0.00508		
636.98	1.37202		-0.00482		
637.1	1.37197		-0.00457		
637.22	1.37184		-0.00444		
637.34	1.3717		-0.00447		
637.46	1.37155		-0.00468		
637.58	1.37149		-0.00501		
637.7	1.37148		-0.0054		
637.82	1.37157		-0.00574		
637.94	1.3717		-0.00601		
638.06	1.37065		-0.00616		
638.18	1.37084		-0.00619		
638.3	1.37105		-0.00608		
638.42	1.37247		-0.00585		
638.54	1.37262		-0.0055		
638.66	1.37268		-0.00504		
638.78	1.37269		-0.0045		
638.9	1.37259		-0.00399		
639.02	1.37245		-0.00355		
639.14	1.37226		-0.00328		
639.26	1.37085		-0.00319		
639.38	1.37198		-0.0033		
639.5	1.37196		-0.00352		
639.62	1.37201		-0.00377		
639.74	1.37215		-0.00397		
639.86	1.37233		-0.00407		
639.98	1.37255		-0.00402		
640.1	1.37275		-0.00385		
640.22	1.37294		-0.00357		
640.34	1.37306		-0.00319		
640.46	1.37314		-0.00273		
640.58	1.37312		-0.00221		
640.7	1.37301		-0.00167		
640.82	1.37279		-0.00117		
640.94	1.37249		-0.00078		
641.06	1.37213		-0.00057		
641.18	1.37178		-0.00059		
641.3	1.37147		-0.00082		
641.42	1.37		-0.00121		
641.54	1.36987		-0.00166		
641.66	1.36982		-0.00207		
641.78	1.36981		-0.00236		
641.9	1.36981		-0.00253		
642.02	1.36977		-0.0026		
642.14	1.36972		-0.00262		
642.26	1.36962		-0.00268		
642.38	1.36952		-0.00283		
642.5	1.36816		-0.00311		
642.62	1.3681		-0.00351		
642.74	1.36681		-0.00402		
642.86	1.36685		-0.00461		
642.98	1.36692		-0.00523		
643.1	1.36707		-0.00581		
643.22	1.3685		-0.00631		
