Reference:	"Hudson et al. (2022)"
DOI:	"doi:https://doi.org/10.3847/1538-4357/ac3e74"
Sample Type:	"Ice"
Composition:	"NH3 (1)"
Temperature:	"10K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/170"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"		"Wavenumber (cm⁻¹)"	"k₁"	"Dk₁  (+/-)"	
630.02	1.36424			630.02	-0.00542		
630.14	1.36424			630.14	-0.00534		
630.26	1.36427			630.26	-0.00526		
630.38	1.36614			630.38	-0.00514		
630.5	1.36621			630.5	-0.00498		
630.62	1.36912			630.62	-0.00473		
630.74	1.36916			630.74	-0.00443		
630.86	1.3694			630.86	-0.00413		
630.98	1.36809			630.98	-0.00391		
631.1	1.36694			631.1	-0.00384		
631.22	1.36685			631.22	-0.00392		
631.34	1.36695			631.34	-0.00412		
631.46	1.36695			631.46	-0.00435		
631.58	1.36711			631.58	-0.00452		
631.7	1.36838			631.7	-0.00456		
631.82	1.36846			631.82	-0.0045		
631.94	1.36835			631.94	-0.00437		
632.06	1.36827			632.06	-0.00425		
632.18	1.36932			632.18	-0.0042		
632.3	1.36923			632.3	-0.00426		
632.42	1.36912			632.42	-0.0044		
632.54	1.36919			632.54	-0.00452		
632.66	1.36925			632.66	-0.0046		
632.78	1.36943			632.78	-0.00455		
632.9	1.36952			632.9	-0.00439		
633.02	1.36964			633.02	-0.00417		
633.14	1.36963			633.14	-0.00394		
633.26	1.36964			633.26	-0.00373		
633.38	1.36957			633.38	-0.00357		
633.5	1.36956			633.5	-0.00346		
633.62	1.3695			633.62	-0.00337		
633.74	1.3695			633.74	-0.0033		
633.86	1.36945			633.86	-0.00326		
633.98	1.3682			633.98	-0.00328		
634.1	1.36691			634.1	-0.0034		
634.22	1.36694			634.22	-0.0036		
634.34	1.36697			634.34	-0.00388		
634.46	1.36708			634.46	-0.00416		
634.58	1.36717			634.58	-0.00441		
634.7	1.3673			634.7	-0.00459		
634.82	1.36859			634.82	-0.00473		
634.94	1.36863			634.94	-0.00489		
635.06	1.36858			635.06	-0.00512		
635.18	1.36857			635.18	-0.00542		
635.3	1.36857			635.3	-0.0058		
635.42	1.36867			635.42	-0.00616		
635.54	1.36881			635.54	-0.00642		
635.66	1.36902			635.66	-0.00649		
635.78	1.37043			635.78	-0.00637		
635.9	1.37058			635.9	-0.0061		
636.02	1.37061			636.02	-0.00578		
636.14	1.3706			636.14	-0.0055		
636.26	1.37054			636.26	-0.00536		
636.38	1.37052			636.38	-0.00533		
636.5	1.37052			636.5	-0.00535		
636.62	1.37061			636.62	-0.00536		
636.74	1.37068			636.74	-0.00527		
636.86	1.37202			636.86	-0.00508		
636.98	1.37202			636.98	-0.00482		
637.1	1.37197			637.1	-0.00457		
637.22	1.37184			637.22	-0.00444		
637.34	1.3717			637.34	-0.00447		
637.46	1.37155			637.46	-0.00468		
637.58	1.37149			637.58	-0.00501		
637.7	1.37148			637.7	-0.0054		
637.82	1.37157			637.82	-0.00574		
637.94	1.3717			637.94	-0.00601		
638.06	1.37065			638.06	-0.00616		
638.18	1.37084			638.18	-0.00619		
