Reference:	"Hudson et al. (2022)"
DOI:	"doi:DOI: 10.1089/ast.2021.0138"
Sample Type:	"Ice"
Composition:	"CH3NH2 (1)"
Temperature:	"110K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/173"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"	"k₁"	"Dk₁  (+/-)"	
432.1	1.61603		0.00705		
432.22	1.61603		0.01187		
432.34	1.61456		0.0159		
432.46	1.61057		0.01958		
432.58	1.60604		0.02146		
432.7	1.60061		0.02163		
432.82	1.59591		0.01971		
432.94	1.59208		0.01627		
433.06	1.59017		0.01184		
433.18	1.58987		0.00729		
433.3	1.59136		0.00334		
433.42	1.59374		0.00053		
433.54	1.59672		-0.00094		
433.66	1.59931		-0.00121		
433.78	1.60141		-0.00068		
433.9	1.60255		0.00014		
434.02	1.60318		0.00077		
434.14	1.60338		0.00094		
434.26	1.60385		0.00063		
434.38	1.60468		0.00014		
434.5	1.60617		-0.00013		
434.62	1.60788		0.00025		
434.74	1.60959		0.00142		
434.86	1.61059		0.00332		
434.98	1.61066		0.00546		
435.1	1.60962		0.00722		
435.22	1.60797		0.00801		
435.34	1.60628		0.00755		
435.46	1.60548		0.00603		
435.58	1.606		0.00414		
435.7	1.60802		0.00279		
435.82	1.61098		0.00282		
435.94	1.61408		0.00469		
436.06	1.61625		0.00839		
436.18	1.61656		0.01341		
436.3	1.61431		0.01875		
436.42	1.60935		0.02307		
436.54	1.60233		0.02494		
436.66	1.59455		0.02342		
436.78	1.58809		0.01831		
436.9	1.58427		0.01119		
437.02	1.58346		0.00285		
437.14	1.5863		-0.00489		
437.26	1.59155		-0.01051		
437.38	1.59806		-0.01345		
437.5	1.60439		-0.01382		
437.62	1.60984		-0.0122		
437.74	1.61378		-0.00929		
437.86	1.61627		-0.00581		
437.98	1.61726		-0.0023		
438.1	1.61712		0.0008		
438.22	1.61601		0.00322		
438.34	1.61437		0.00471		
438.46	1.61248		0.00519		
438.58	1.61087		0.00467		
438.7	1.60984		0.00334		
438.82	1.60981		0.00157		
438.94	1.6108		-0.00012		
439.06	1.61267		-0.00116		
439.18	1.61492		-0.00136		
439.3	1.61726		-0.00054		
439.42	1.61906		0.00117		
439.54	1.62015		0.00341		
439.66	1.62033		0.00579		
439.78	1.61984		0.00802		
439.9	1.61872		0.00995		
440.02	1.61722		0.01152		
440.14	1.61525		0.01273		
440.26	1.61289		0.01343		
440.38	1.61009		0.01341		
440.5	1.60719		0.01239		
440.62	1.60452		0.01023		
440.74	1.60274		0.00706		
440.86	1.60216		0.00331		
440.98	1.60302		-0.00037		
441.1	1.60496		-0.00335		
441.22	1.60753		-0.00529		
441.34	1.60996		-0.00619		
441.46	1.61193		-0.00655		
441.58	1.61335		-0.00684		
441.7	1.61454		-0.0075		
441.82	1.61595		-0.00861		
441.94	1.61812		-0.00991		
442.06	1.62112		-0.01082		
442.18	1.62478		-0.01079		
442.3	1.62844		-0.00952		
442.42	1.63155		-0.00716		
442.54	1.63364		-0.00415		
442.66	1.63473		-0.00107		
442.78	1.63503		0.00166		
442.9	1.63505		0.00393		
443.02	1.63505		0.00592		
443.14	1.63516		0.008		
443.26	1.63507		0.01044		
443.38	1.63446		0.01324		
443.5	1.63288		0.01612		
443.62	1.63038		0.01849		
443.74	1.62715		0.02006		
443.86	1.62352		0.02052		
443.98	1.61998		0.01972		
444.1	1.6171		0.01786		
444.22	1.61519		0.01537		
444.34	1.61432		0.01278		
444.46	1.61419		0.01054		
444.58	1.61446		0.00877		
444.7	1.61475		0.00737		
444.82	1.61501		0.00609		
444.94	1.61527		0.00479		
445.06	1.61572		0.00346		
445.18	1.61635		0.00223		
445.3	1.61714		0.00122		
445.42	1.61785		0.00044		
445.54	1.61841		-0.00023		
445.66	1.61871		-0.00098		
445.78	1.61893		-0.00199		
445.9	1.61919		-0.00329		
446.02	1.61959		-0.00486		
446.14	1.62025		-0.00672		
446.26	1.62129		-0.00876		
446.38	1.62264		-0.01098		
446.5	1.62451		-0.01345		
446.62	1.62707		-0.01615		
446.74	1.63075		-0.01888		
446.86	1.63576		-0.02115		
446.98	1.64218		-0.02227		
447.1	1.64956		-0.02145		
447.22	1.65713		-0.01812		
447.34	1.66368		-0.01216		
447.46	1.66809		-0.00404		
447.58	1.66945		0.00517		
447.7	1.66758		0.01406		
447.82	1.66291		0.02129		
447.94	1.65656		0.02592		
448.06	1.64981		0.02768		
448.18	1.64398		0.02704		
448.3	1.63954		0.0249		
448.42	1.63678		0.02196		
448.54	1.63559		0.01915		
448.66	1.63533		0.01696		
448.78	1.63542		0.01546		
448.9	1.63545		0.0144		
449.02	1.63524		0.01341		
