Reference:	"Hudson et al. (2022)"
DOI:	"doi:DOI: 10.1089/ast.2021.0138"
Sample Type:	"Ice"
Composition:	"CH3NH2 (1)"
Temperature:	"110K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/173"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"		"Wavenumber (cm⁻¹)"	"k₁"	"Dk₁  (+/-)"	
432.1	1.61603			432.1	0.00705		
432.22	1.61603			432.22	0.01187		
432.34	1.61456			432.34	0.0159		
432.46	1.61057			432.46	0.01958		
432.58	1.60604			432.58	0.02146		
432.7	1.60061			432.7	0.02163		
432.82	1.59591			432.82	0.01971		
432.94	1.59208			432.94	0.01627		
433.06	1.59017			433.06	0.01184		
433.18	1.58987			433.18	0.00729		
433.3	1.59136			433.3	0.00334		
433.42	1.59374			433.42	0.00053		
433.54	1.59672			433.54	-0.00094		
433.66	1.59931			433.66	-0.00121		
433.78	1.60141			433.78	-0.00068		
433.9	1.60255			433.9	0.00014		
434.02	1.60318			434.02	0.00077		
434.14	1.60338			434.14	0.00094		
434.26	1.60385			434.26	0.00063		
434.38	1.60468			434.38	0.00014		
434.5	1.60617			434.5	-0.00013		
434.62	1.60788			434.62	0.00025		
434.74	1.60959			434.74	0.00142		
434.86	1.61059			434.86	0.00332		
434.98	1.61066			434.98	0.00546		
435.1	1.60962			435.1	0.00722		
435.22	1.60797			435.22	0.00801		
435.34	1.60628			435.34	0.00755		
435.46	1.60548			435.46	0.00603		
435.58	1.606			435.58	0.00414		
435.7	1.60802			435.7	0.00279		
435.82	1.61098			435.82	0.00282		
435.94	1.61408			435.94	0.00469		
436.06	1.61625			436.06	0.00839		
436.18	1.61656			436.18	0.01341		
436.3	1.61431			436.3	0.01875		
436.42	1.60935			436.42	0.02307		
436.54	1.60233			436.54	0.02494		
436.66	1.59455			436.66	0.02342		
436.78	1.58809			436.78	0.01831		
436.9	1.58427			436.9	0.01119		
437.02	1.58346			437.02	0.00285		
437.14	1.5863			437.14	-0.00489		
437.26	1.59155			437.26	-0.01051		
437.38	1.59806			437.38	-0.01345		
437.5	1.60439			437.5	-0.01382		
437.62	1.60984			437.62	-0.0122		
437.74	1.61378			437.74	-0.00929		
437.86	1.61627			437.86	-0.00581		
437.98	1.61726			437.98	-0.0023		
438.1	1.61712			438.1	0.0008		
438.22	1.61601			438.22	0.00322		
438.34	1.61437			438.34	0.00471		
438.46	1.61248			438.46	0.00519		
438.58	1.61087			438.58	0.00467		
438.7	1.60984			438.7	0.00334		
438.82	1.60981			438.82	0.00157		
438.94	1.6108			438.94	-0.00012		
439.06	1.61267			439.06	-0.00116		
439.18	1.61492			439.18	-0.00136		
439.3	1.61726			439.3	-0.00054		
439.42	1.61906			439.42	0.00117		
439.54	1.62015			439.54	0.00341		
439.66	1.62033			439.66	0.00579		
439.78	1.61984			439.78	0.00802		
439.9	1.61872			439.9	0.00995		
440.02	1.61722			440.02	0.01152		
440.14	1.61525			440.14	0.01273		
440.26	1.61289			440.26	0.01343		
440.38	1.61009			440.38	0.01341		
440.5	1.60719			440.5	0.01239		
440.62	1.60452			440.62	0.01023		
440.74	1.60274			440.74	0.00706		
440.86	1.60216			440.86	0.00331		
440.98	1.60302			440.98	-0.00037		
441.1	1.60496			441.1	-0.00335		
441.22	1.60753			441.22	-0.00529		
441.34	1.60996			441.34	-0.00619		
441.46	1.61193			441.46	-0.00655		
441.58	1.61335			441.58	-0.00684		
441.7	1.61454			441.7	-0.0075		
441.82	1.61595			441.82	-0.00861		
441.94	1.61812			441.94	-0.00991		
442.06	1.62112			442.06	-0.01082		
442.18	1.62478			442.18	-0.01079		
442.3	1.62844			442.3	-0.00952		
442.42	1.63155			442.42	-0.00716		
442.54	1.63364			442.54	-0.00415		
442.66	1.63473			442.66	-0.00107		
442.78	1.63503			442.78	0.00166		
442.9	1.63505			442.9	0.00393		
443.02	1.63505			443.02	0.00592		
443.14	1.63516			443.14	0.008		
443.26	1.63507			443.26	0.01044		
443.38	1.63446			443.38	0.01324		
443.5	1.63288			443.5	0.01612		
443.62	1.63038			443.62	0.01849		
443.74	1.62715			443.74	0.02006		
443.86	1.62352			443.86	0.02052		
443.98	1.61998			443.98	0.01972		
444.1	1.6171			444.1	0.01786		
444.22	1.61519			444.22	0.01537		
444.34	1.61432			444.34	0.01278		
444.46	1.61419			444.46	0.01054		
444.58	1.61446			444.58	0.00877		
444.7	1.61475			444.7	0.00737		
444.82	1.61501			444.82	0.00609		
444.94	1.61527			444.94	0.00479		
445.06	1.61572			445.06	0.00346		
445.18	1.61635			445.18	0.00223		
445.3	1.61714			445.3	0.00122		
445.42	1.61785			445.42	0.00044		
445.54	1.61841			445.54	-0.00023		
445.66	1.61871			445.66	-0.00098		
445.78	1.61893			445.78	-0.00199		
445.9	1.61919			445.9	-0.00329		
