Reference:	"Hudson et al. (2022)"
DOI:	"doi:DOI: 10.1089/ast.2021.0138"
Sample Type:	"Ice"
Composition:	"CH3CH2NH2 (1)"
Temperature:	"10K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/174"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"		"Wavenumber (cm⁻¹)"	"k₁"	"Dk₁  (+/-)"	
597.59	1.3806			597.59	-0.00012523		
597.71	1.3806			597.71	-1.3394E-5		
597.83	1.3805			597.83	3.7764E-5		
597.95	1.3805			597.95	3.0314E-5		
598.07	1.3804			598.07	-2.1031E-5		
598.19	1.3804			598.19	-0.00011475		
598.31	1.3805			598.31	-0.00023564		
598.43	1.3806			598.43	-0.00035201		
598.55	1.3808			598.55	-0.00042167		
598.67	1.381			598.67	-0.00040597		
598.79	1.3813			598.79	-0.00028729		
598.91	1.3815			598.91	-4.4794E-5		
599.03	1.3817			599.03	0.00029958		
599.15	1.3817			599.15	0.00068686		
599.27	1.3815			599.27	0.0010491		
599.39	1.3812			599.39	0.0013192		
599.51	1.3808			599.51	0.0014477		
599.63	1.3805			599.63	0.0014276		
599.75	1.3802			599.75	0.0012846		
599.87	1.38			599.87	0.001068		
599.99	1.3799			599.99	0.00083999		
600.11	1.3799			600.11	0.00064747		
600.23	1.3799			600.23	0.0005268		
600.35	1.38			600.35	0.00045958		
600.47	1.38			600.47	0.00042932		
600.59	1.38			600.59	0.00041305		
600.71	1.38			600.71	0.00037974		
600.83	1.38			600.83	0.0003197		
600.95	1.3799			600.95	0.00023876		
601.07	1.38			601.07	0.00015438		
601.19	1.38			601.19	8.4873E-5		
601.31	1.38			601.31	4.3823E-5		
601.43	1.3801			601.43	2.6214E-5		
601.55	1.3801			601.55	1.368E-5		
601.67	1.38			601.67	-1.857E-5		
601.79	1.38			601.79	-9.6986E-5		
601.91	1.38			601.91	-0.00022489		
602.03	1.38			602.03	-0.00038725		
602.15	1.3802			602.15	-0.00055236		
602.27	1.3804			602.27	-0.00067712		
602.39	1.3806			602.39	-0.00072173		
602.51	1.3809			602.51	-0.00066387		
602.63	1.3811			602.63	-0.00050402		
602.75	1.3813			602.75	-0.00025865		
602.87	1.3813			602.87	2.9141E-5		
602.99	1.3812			602.99	0.000307		
603.11	1.3811			603.11	0.00052279		
603.23	1.3808			603.23	0.00063936		
603.35	1.3806			603.35	0.00064583		
603.47	1.3804			603.47	0.00054761		
603.59	1.3802			603.59	0.00037514		
603.71	1.3802			603.71	0.00017165		
603.83	1.3802			603.83	-1.8624E-5		
603.95	1.3803			603.95	-0.00016252		
604.07	1.3804			604.07	-0.00023913		
604.19	1.3806			604.19	-0.0002474		
604.31	1.3807			604.31	-0.00020773		
604.43	1.3807			604.43	-0.00014694		
604.55	1.3807			604.55	-9.0274E-5		
604.67	1.3807			604.67	-6.0907E-5		
604.79	1.3807			604.79	-6.627E-5		
604.91	1.3806			604.91	-9.7156E-5		
605.03	1.3807			605.03	-0.00014257		
605.15	1.3807			605.15	-0.00018146		
605.27	1.3808			605.27	-0.00019805		
605.39	1.3808			605.39	-0.00019038		
605.51	1.3808			605.51	-0.00016509		
605.63	1.3809			605.63	-0.00014147		
605.75	1.3809			605.75	-0.00013279		
605.87	1.3809			605.87	-0.0001465		
605.99	1.3809			605.99	-0.0001761		
606.11	1.3809			606.11	-0.00020381		
606.23	1.381			606.23	-0.00020986		
606.35	1.3811			606.35	-0.00017735		
606.47	1.3812			606.47	-0.00010097		
606.59	1.3812			606.59	6.629E-6		
606.71	1.3812			606.71	0.00012775		
606.83	1.3811			606.83	0.00022956		
606.95	1.381			606.95	0.00028558		
607.07	1.3808			607.07	0.0002808		
607.19	1.3807			607.19	0.00021492		
607.31	1.3806			607.31	9.1857E-5		
607.43	1.3806			607.43	-6.5E-5		
