Reference:	"Hudson et al. (2022)"
DOI:	"doi:DOI: 10.1089/ast.2021.0138"
Sample Type:	"Ice"
Composition:	"CH3CH2NH2 (1)"
Temperature:	"100K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/175"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"	"k₁"	"Dk₁  (+/-)"	
597.59	1.54448		-0.00161		
597.71	1.54448		-0.00168		
597.83	1.54445		-0.00175		
597.95	1.54479		-0.00185		
598.07	1.54481		-0.00193		
598.19	1.54506		-0.00203		
598.31	1.54513		-0.00211		
598.43	1.54537		-0.00219		
598.55	1.5455		-0.00224		
598.67	1.54575		-0.00224		
598.79	1.54589		-0.00219		
598.91	1.54607		-0.00211		
599.03	1.54611		-0.00201		
599.15	1.54618		-0.00193		
599.27	1.54614		-0.00188		
599.39	1.54616		-0.0019		
599.51	1.54615		-0.00196		
599.63	1.54624		-0.00204		
599.75	1.54633		-0.0021		
599.87	1.54651		-0.00213		
599.99	1.54666		-0.0021		
600.11	1.54683		-0.00201		
600.23	1.54692		-0.0019		
600.35	1.54701		-0.00176		
600.47	1.54701		-0.00162		
600.59	1.547		-0.00151		
600.71	1.54693		-0.00143		
600.83	1.54688		-0.00139		
600.95	1.5468		-0.0014		
601.07	1.54677		-0.00144		
601.19	1.54675		-0.00151		
601.31	1.5468		-0.0016		
601.43	1.54688		-0.00167		
601.55	1.54703		-0.00173		
601.67	1.54719		-0.00173		
601.79	1.54739		-0.00167		
601.91	1.54757		-0.00154		
602.03	1.54775		-0.00134		
602.15	1.54785		-0.00106		
602.27	1.54789		-0.00073		
602.39	1.54779		-0.00036		
602.51	1.54758		-3.0E-5		
602.63	1.54724		0.00025		
602.75	1.5468		0.00042		
602.87	1.54627		0.00043		
602.99	1.54577		0.00025		
603.11	1.54533		-0.00011		
603.23	1.54506		-0.0006		
603.35	1.54495		-0.00115		
603.47	1.54505		-0.00168		
603.59	1.54528		-0.00213		
603.71	1.54563		-0.00245		
603.83	1.546		-0.00265		
603.95	1.54638		-0.00273		
604.07	1.54671		-0.00272		
604.19	1.54701		-0.00266		
604.31	1.54725		-0.00255		
604.43	1.54746		-0.00242		
604.55	1.54761		-0.00226		
604.67	1.54774		-0.00211		
604.79	1.54782		-0.00196		
604.91	1.54789		-0.00181		
605.03	1.54793		-0.00167		
605.15	1.54798		-0.00154		
605.27	1.54801		-0.0014		
605.39	1.54805		-0.00125		
605.51	1.54805		-0.00106		
605.63	1.54802		-0.00086		
605.75	1.54792		-0.00065		
605.87	1.54776		-0.00047		
