Reference:	"Hudson and Yarnall (2022)"
DOI:	"doi:https://doi.org/10.1016/j.icarus.2022.114899"
Sample Type:	"Ice"
Composition:	"C6H6 (1)"
Temperature:	"10K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/176"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"	"k₁"	"Dk₁  (+/-)"	
547.03	1.4398		0.0072393		
547.09	1.4399		0.0074378		
547.15	1.4396		0.007556		
547.21	1.4376		0.0075436		
547.27	1.4372		0.0073317		
547.33	1.436		0.0070761		
547.39	1.4358		0.0068633		
547.45	1.4349		0.0067646		
547.51	1.4344		0.0066998		
547.57	1.4331		0.0065015		
547.63	1.4322		0.0059035		
547.69	1.4309		0.0047919		
547.75	1.4304		0.0031547		
547.81	1.4302		0.0012566		
547.87	1.4312		-0.00050758		
547.93	1.4325		-0.0017394		
547.99	1.4344		-0.0021764		
548.05	1.4358		-0.0018654		
548.11	1.4371		-0.001015		
548.17	1.4375		0.00011877		
548.23	1.4374		0.0011666		
548.29	1.4368		0.0018273		
548.35	1.4362		0.0019935		
548.41	1.4355		0.0017309		
548.47	1.4353		0.0012314		
548.53	1.4353		0.00069988		
548.59	1.4356		0.00026485		
548.65	1.436		3.0488E-5		
548.71	1.4365		-5.2763E-5		
548.77	1.4369		5.487E-6		
548.83	1.4374		0.00021006		
548.89	1.4378		0.00054596		
548.95	1.4381		0.0010459		
549.01	1.4382		0.001708		
549.07	1.4382		0.0024872		
549.13	1.4377		0.0032525		
549.19	1.4369		0.0038377		
549.25	1.4358		0.0040759		
549.31	1.4347		0.0038401		
549.37	1.4335		0.0030827		
549.43	1.4329		0.0019015		
549.49	1.4327		0.00045797		
549.55	1.4332		-0.00097022		
549.61	1.4341		-0.0021121		
549.67	1.4356		-0.0027196		
549.73	1.4371		-0.0026557		
549.79	1.4384		-0.0019613		
549.85	1.4392		-0.00081567		
549.91	1.4394		0.00051268		
549.97	1.439		0.0017298		
550.03	1.4382		0.0025826		
550.09	1.4372		0.0029732		
550.15	1.4362		0.0029043		
550.21	1.4353		0.0024918		
