Reference:	"Hudson and Yarnall (2022)"
DOI:	"doi:https://doi.org/10.1016/j.icarus.2022.114899"
Sample Type:	"Ice"
Composition:	"C6H6 (1)"
Temperature:	"10K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/176"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"		"Wavenumber (cm⁻¹)"	"k₁"	"Dk₁  (+/-)"	
547.03	1.4398			547.03	0.0072393		
547.09	1.4399			547.09	0.0074378		
547.15	1.4396			547.15	0.007556		
547.21	1.4376			547.21	0.0075436		
547.27	1.4372			547.27	0.0073317		
547.33	1.436			547.33	0.0070761		
547.39	1.4358			547.39	0.0068633		
547.45	1.4349			547.45	0.0067646		
547.51	1.4344			547.51	0.0066998		
547.57	1.4331			547.57	0.0065015		
547.63	1.4322			547.63	0.0059035		
547.69	1.4309			547.69	0.0047919		
547.75	1.4304			547.75	0.0031547		
547.81	1.4302			547.81	0.0012566		
547.87	1.4312			547.87	-0.00050758		
547.93	1.4325			547.93	-0.0017394		
547.99	1.4344			547.99	-0.0021764		
548.05	1.4358			548.05	-0.0018654		
548.11	1.4371			548.11	-0.001015		
548.17	1.4375			548.17	0.00011877		
548.23	1.4374			548.23	0.0011666		
548.29	1.4368			548.29	0.0018273		
548.35	1.4362			548.35	0.0019935		
548.41	1.4355			548.41	0.0017309		
548.47	1.4353			548.47	0.0012314		
548.53	1.4353			548.53	0.00069988		
548.59	1.4356			548.59	0.00026485		
548.65	1.436			548.65	3.0488E-5		
548.71	1.4365			548.71	-5.2763E-5		
548.77	1.4369			548.77	5.487E-6		
548.83	1.4374			548.83	0.00021006		
548.89	1.4378			548.89	0.00054596		
548.95	1.4381			548.95	0.0010459		
549.01	1.4382			549.01	0.001708		
549.07	1.4382			549.07	0.0024872		
549.13	1.4377			549.13	0.0032525		
549.19	1.4369			549.19	0.0038377		
549.25	1.4358			549.25	0.0040759		
549.31	1.4347			549.31	0.0038401		
549.37	1.4335			549.37	0.0030827		
549.43	1.4329			549.43	0.0019015		
549.49	1.4327			549.49	0.00045797		
549.55	1.4332			549.55	-0.00097022		
549.61	1.4341			549.61	-0.0021121		
549.67	1.4356			549.67	-0.0027196		
549.73	1.4371			549.73	-0.0026557		
549.79	1.4384			549.79	-0.0019613		
549.85	1.4392			549.85	-0.00081567		
549.91	1.4394			549.91	0.00051268		
549.97	1.439			549.97	0.0017298		
550.03	1.4382			550.03	0.0025826		
550.09	1.4372			550.09	0.0029732		
550.15	1.4362			550.15	0.0029043		
550.21	1.4353			550.21	0.0024918		
550.27	1.4348			550.27	0.0019658		
550.33	1.4342			550.33	0.0013226		
550.39	1.434			550.39	0.00058966		
550.45	1.4337			550.45	-0.00023535		
550.51	1.4337			550.51	-0.0011909		
550.57	1.4339			550.57	-0.0022776		
550.63	1.4345			550.63	-0.0034046		
550.69	1.4354			550.69	-0.004416		
550.75	1.4368			550.75	-0.0051027		
550.81	1.4384			550.81	-0.0053075		
550.87	1.4401			550.87	-0.0049635		
550.93	1.4414			550.93	-0.004116		
550.99	1.4424			550.99	-0.0029317		
551.05	1.443			551.05	-0.0015973		
551.11	1.4431			551.11	-0.00029551		
551.17	1.443			551.17	0.0008921		
551.23	1.4426			551.23	0.0019582		
551.29	1.442			551.29	0.0029232		
551.35	1.4413			551.35	0.0037461		
551.41	1.4402			551.41	0.0043617		
551.47	1.4389			551.47	0.0046211		
551.53	1.4376			551.53	0.004373		
551.59	1.4364			551.59	0.0035831		
551.65	1.4356			551.65	0.0023231		
551.71	1.4354			551.71	0.00080152		
551.77	1.4359			551.77	-0.00067152		
551.83	1.437			551.83	-0.0018075		
551.89	1.4384			551.89	-0.0024123		
551.95	1.4399			551.95	-0.0024217		
552.01	1.4413			552.01	-0.0018889		
552.07	1.4424			552.07	-0.00092406		
552.13	1.443			552.13	0.00031562		
552.19	1.4433			552.19	0.0016589		
552.25	1.443			552.25	0.0029689		
552.31	1.4424			552.31	0.0040791		
552.37	1.4414			552.37	0.004845		
552.43	1.4404			552.43	0.0051581		
552.49	1.4394			552.49	0.0050067		
552.55	1.4387			552.55	0.0045245		
552.61	1.4383			552.61	0.0038412		
552.67	1.4384			552.67	0.0031031		
552.73	1.4389			552.73	0.0025941		
552.79	1.4396			552.79	0.0024807		
552.85	1.4404			552.85	0.0028167		
552.91	1.4409			552.91	0.0035285		
552.97	1.4412			552.97	0.0044783		
553.03	1.4411			553.03	0.0055095		
553.09	1.4407			553.09	0.0064719		
553.15	1.4401			553.15	0.0073205		
553.21	1.4393			553.21	0.0080741		
