Reference:	"Hudson and Yarnall (2022)"
DOI:	"doi:https://doi.org/10.1016/j.icarus.2022.114899"
Sample Type:	"Ice"
Composition:	"C5H5N (1)"
Temperature:	"10K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/178"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"		"Wavenumber (cm⁻¹)"	"k₁"	"Dk₁  (+/-)"	
550.04	1.4041			550.04	0.0066552		
550.1	1.4041			550.1	0.0068892		
550.16	1.4032			550.16	0.0065045		
550.22	1.4014			550.22	0.0055889		
550.28	1.4013			550.28	0.0045172		
550.34	1.4008			550.34	0.003226		
550.4	1.4019			550.4	0.0020903		
550.46	1.4029			550.46	0.0013956		
550.52	1.4048			550.52	0.0013716		
550.58	1.4063			550.58	0.0021932		
550.64	1.4079			550.64	0.0038574		
550.7	1.4084			550.7	0.0061883		
550.76	1.4083			550.76	0.0088269		
550.82	1.4069			550.82	0.0113		
550.88	1.4048			550.88	0.0132		
550.94	1.4018			550.94	0.0141		
551	1.3991			551	0.0138		
551.06	1.3966			551.06	0.0126		
551.12	1.3952			551.12	0.0107		
551.18	1.3945			551.18	0.0088431		
551.24	1.3948			551.24	0.0073182		
551.3	1.3951			551.3	0.0064192		
551.36	1.3955			551.36	0.0060799		
551.42	1.3953			551.42	0.0059616		
551.48	1.3949			551.48	0.0056822		
551.54	1.3941			551.54	0.0049298		
551.6	1.3936			551.6	0.0036018		
551.66	1.3936			551.66	0.0018483		
551.72	1.3945			551.72	3.8323E-5		
551.78	1.396			551.78	-0.0013993		
551.84	1.3981			551.84	-0.0021068		
551.9	1.4003			551.9	-0.0019318		
551.96	1.4023			551.96	-0.00090058		
552.02	1.4035			552.02	0.00075192		
552.08	1.4041			552.08	0.0026563		
552.14	1.4037			552.14	0.0044336		
552.2	1.4028			552.2	0.0057611		
552.26	1.4015			552.26	0.0064435		
552.32	1.4003			552.32	0.0064016		
552.38	1.3993			552.38	0.0057742		
552.44	1.3991			552.44	0.0048179		
552.5	1.3995			552.5	0.0038984		
552.56	1.4005			552.56	0.0034443		
552.62	1.4016			552.62	0.0035237		
552.68	1.4029			552.68	0.0043497		
552.74	1.4037			552.74	0.0058614		
552.8	1.4039			552.8	0.0078203		
552.86	1.4032			552.86	0.009848		
552.92	1.4017			552.92	0.0115		
552.98	1.3996			552.98	0.0126		
553.04	1.3974			553.04	0.0129		
553.1	1.3951			553.1	0.0124		
553.16	1.3933			553.16	0.0112		
553.22	1.3919			553.22	0.0097081		
553.28	1.3912			553.28	0.0080297		
553.34	1.3909			553.34	0.0063581		
553.4	1.3911			553.4	0.0048075		
553.46	1.3916			553.46	0.0034433		
553.52	1.3924			553.52	0.0023688		
553.58	1.3934			553.58	0.001654		
553.64	1.3945			553.64	0.0013685		
553.7	1.3955			553.7	0.0015163		
553.76	1.3962			553.76	0.0019987		
553.82	1.3964			553.82	0.0026096		
553.88	1.3963			553.88	0.0031532		
553.94	1.3958			553.94	0.0034304		
554	1.3954			554	0.003384		
554.06	1.395			554.06	0.0030242		
554.12	1.3948			554.12	0.0024786		
554.18	1.3949			554.18	0.0019042		
554.24	1.3953			554.24	0.0014378		
554.3	1.3958			554.3	0.001173		
554.36	1.3964			554.36	0.0011508		
554.42	1.3969			554.42	0.001368		
554.48	1.3973			554.48	0.0018148		
554.54	1.3975			554.54	0.002455		
554.6	1.3973			554.6	0.0032295		
554.66	1.3967			554.66	0.0039631		
554.72	1.3957			554.72	0.0044193		
554.78	1.3944			554.78	0.0043618		
554.84	1.3931			554.84	0.00372		
554.9	1.392			554.9	0.0025018		
554.96	1.3915			554.96	0.00074983		
555.02	1.3917			555.02	-0.001088		
555.08	1.3927			555.08	-0.0026092		
555.14	1.3941			555.14	-0.0035212		
555.2	1.3956			555.2	-0.0037441		
555.26	1.3966			555.26	-0.00346		
555.32	1.3972			555.32	-0.0030056		
555.38	1.3974			555.38	-0.002717		
555.44	1.3975			555.44	-0.002766		
555.5	1.3976			555.5	-0.0031346		
555.56	1.3982			555.56	-0.003607		
555.62	1.399			555.62	-0.0039284		
555.68	1.4			555.68	-0.0039166		
555.74	1.4008			555.74	-0.0035645		
555.8	1.4015			555.8	-0.0030247		
555.86	1.4019			555.86	-0.0024953		
555.92	1.4022			555.92	-0.0021356		
555.98	1.4026			555.98	-0.0019398		
556.04	1.4032			556.04	-0.0017122		
556.1	1.404			556.1	-0.0011999		
556.16	1.4049			556.16	-0.00021607		
556.22	1.4054			556.22	0.0012446		
556.28	1.4053			556.28	0.0029651		
556.34	1.4044			556.34	0.0045828		
556.4	1.403			556.4	0.0057336		
556.46	1.4013			556.46	0.0061875		
556.52	1.3997			556.52	0.0059325		
556.58	1.3984			556.58	0.0051734		
556.64	1.3977			556.64	0.0041986		
556.7	1.3973			556.7	0.0032446		
556.76	1.3972			556.76	0.0024202		
556.82	1.3971			556.82	0.0016754		
556.88	1.3971			556.88	0.00088545		
556.94	1.3972			556.94	-3.1496E-5		
557	1.3976			557	-0.0010384		
557.06	1.3984			557.06	-0.0019116		
557.12	1.3995			557.12	-0.0025457		
557.18	1.4008			557.18	-0.0028287		
557.24	1.4022			557.24	-0.002616		
557.3	1.4033			557.3	-0.002013		
557.36	1.4041			557.36	-0.001206		
557.42	1.4046			557.42	-0.00036578		
557.48	1.4049			557.48	0.00040713		
557.54	1.4051			557.54	0.001116		
557.6	1.4054			557.6	0.0018502		
557.66	1.4056			557.66	0.0026936		
557.72	1.4056			557.72	0.0036549		
557.78	1.4054			557.78	0.0046629		
557.84	1.4049			557.84	0.0055865		
557.9	1.4041			557.9	0.0062937		
557.96	1.4033			557.96	0.006701		
558.02	1.4026			558.02	0.0068742		
558.08	1.402			558.08	0.0069329		
558.14	1.4015			558.14	0.0069853		
558.2	1.4011			558.2	0.0071464		
558.26	1.4005			558.26	0.0073625		
558.32	1.3998			558.32	0.0075082		
558.38	1.3989			558.38	0.0074277		
558.44	1.3979			558.44	0.0069966		
558.5	1.3972			558.5	0.0062113		
558.56	1.3968			558.56	0.0051878		
558.62	1.3968			558.62	0.004125		
558.68	1.3973			558.68	0.0032652		
558.74	1.398			558.74	0.0027759		
558.8	1.3988			558.8	0.002696		
558.86	1.3994			558.86	0.0029577		
558.92	1.3998			558.92	0.0034552		
558.98	1.3998			558.98	0.0040352		
559.04	1.3996			559.04	0.0046074		
559.1	1.3991			559.1	0.0050573		
559.16	1.3984			559.16	0.0052774		
559.22	1.3975			559.22	0.005171		
559.28	1.3968			559.28	0.0046935		
559.34	1.3962			559.34	0.003919		
559.4	1.3959			559.4	0.0030013		
559.46	1.3959			559.46	0.0018753		
559.52	1.3964			559.52	0.00086164		
559.58	1.3972			559.58	0.00012793		
559.64	1.3983			559.64	-0.00019958		
559.7	1.3992			559.7	-0.00010762		
559.76	1.4			559.76	0.00029746		
559.82	1.4005			559.82	0.00089244		
559.88	1.4007			559.88	0.0015723		
559.94	1.4005			559.94	0.0021818		
560	1.4002			560	0.0026369		
560.06	1.3996			560.06	0.0028506		
560.12	1.3989			560.12	0.0027321		
560.18	1.3982			560.18	0.002193		
560.24	1.3979			560.24	0.0012705		
560.3	1.3979			560.3	5.9179E-5		
560.36	1.3986			560.36	-0.0011557		
560.42	1.3998			560.42	-0.0021471		
560.48	1.4016			560.48	-0.0026045		
560.54	1.4034			560.54	-0.0023669		
560.6	1.4052			560.6	-0.0014351		
560.66	1.4065			560.66	6.5986E-5		
560.72	1.4073			560.72	0.0019041		
560.78	1.4075			560.78	0.0038196		
560.84	1.4072			560.84	0.0056432		
560.9	1.4065			560.9	0.0072734		
560.96	1.4055			560.96	0.0086856		
561.02	1.4042			561.02	0.0098754		
561.08	1.4028			561.08	0.0108		
561.14	1.401			561.14	0.0115		
561.2	1.3991			561.2	0.0117		
561.26	1.3972			561.26	0.0114		
561.32	1.3954			561.32	0.0106		
561.38	1.3939			561.38	0.0094391		
561.44	1.3929			561.44	0.0080387		
561.5	1.3923			561.5	0.0066084		
561.56	1.392			561.56	0.0052754		
561.62	1.3919			561.62	0.0040891		
561.68	1.3918			561.68	0.0031044		
561.74	1.3915			561.74	0.0019238		
561.8	1.3915			561.8	0.00063361		
561.86	1.3916			561.86	-0.00077499		
561.92	1.392			561.92	-0.002298		
