Reference:	"Hudson and Yarnall (2022)"
DOI:	"doi:https://doi.org/10.1016/j.icarus.2022.114899"
Sample Type:	"Ice"
Composition:	"C5H5N (1)"
Temperature:	"130K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/179"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"	"k₁"	"Dk₁  (+/-)"	
550.04	1.6391		-0.0035073		
550.1	1.6391		-0.00088838		
550.16	1.6389		0.0016211		
550.22	1.639		0.0036619		
550.28	1.6377		0.0049592		
550.34	1.6371		0.0059684		
550.4	1.6358		0.006658		
550.46	1.6349		0.0070194		
550.52	1.6336		0.0070882		
550.58	1.6327		0.0068022		
550.64	1.6316		0.0061222		
550.7	1.6312		0.005049		
550.76	1.6311		0.0038331		
550.82	1.632		0.0027672		
550.88	1.6332		0.0022513		
550.94	1.6348		0.0025279		
551	1.6359		0.0035703		
551.06	1.6366		0.0051408		
551.12	1.6364		0.0068451		
551.18	1.6357		0.0083109		
551.24	1.6344		0.0092791		
551.3	1.6333		0.0097398		
551.36	1.6321		0.0098661		
551.42	1.6312		0.0098549		
551.48	1.6302		0.009842		
551.54	1.6292		0.0097535		
551.6	1.6279		0.0094006		
551.66	1.6266		0.0085142		
551.72	1.6255		0.0069919		
551.78	1.6252		0.0049338		
551.84	1.6257		0.0027276		
551.9	1.6274		0.00092428		
551.96	1.6298		7.9204E-5		
552.02	1.6326		0.00050114		
552.08	1.6348		0.0022026		
552.14	1.6361		0.0048248		
552.2	1.636		0.0078267		
552.26	1.6347		0.0105		
552.32	1.6323		0.0125		
552.38	1.6295		0.0132		
552.44	1.6265		0.0128		
552.5	1.6243		0.0114		
552.56	1.6227		0.0095383		
552.62	1.6218		0.0073075		
552.68	1.6217		0.0050227		
552.74	1.6224		0.0030746		
552.8	1.6235		0.0016019		
552.86	1.6248		0.00061357		
552.92	1.6262		4.2656E-5		
552.98	1.6276		-0.00014707		
553.04	1.629		3.4273E-5		
553.1	1.6303		0.00059574		
553.16	1.6314		0.0015433		
553.22	1.6323		0.0028907		
553.28	1.6327		0.0045532		
553.34	1.6324		0.0063703		
553.4	1.6314		0.0080888		
553.46	1.6298		0.0094102		
553.52	1.6277		0.0101		
553.58	1.6255		0.0098926		
553.64	1.6233		0.0088825		
553.7	1.6218		0.0072017		
553.76	1.6209		0.0051379		
553.82	1.6208		0.0029945		
553.88	1.6213		0.0010376		
553.94	1.6223		-0.00056732		
554	1.6236		-0.0017662		
554.06	1.6251		-0.0026106		
554.12	1.6266		-0.0030937		
554.18	1.6283		-0.003207		
554.24	1.63		-0.0028959		
554.3	1.6317		-0.00207		
554.36	1.633		-0.00072702		
554.42	1.6339		0.0010458		
554.48	1.6341		0.0030243		
554.54	1.6336		0.0049029		
554.6	1.6325		0.0063923		
554.66	1.6311		0.0072783		
554.72	1.6297		0.0075558		
554.78	1.6286		0.007329		
554.84	1.6278		0.0069471		
554.9	1.6275		0.0066001		
554.96	1.6274		0.0064755		
555.02	1.6273		0.0067157		
555.08	1.627		0.0072624		
555.14	1.6263		0.0079439		
555.2	1.6251		0.0085265		
555.26	1.6236		0.0087665		
555.32	1.6217		0.0084844		
555.38	1.6199		0.0075747		
555.44	1.6182		0.0060177		
555.5	1.617		0.0038867		
555.56	1.6165		0.001382		
555.62	1.6168		-0.0012109		
555.68	1.6179		-0.0035694		
555.74	1.6196		-0.0053842		
555.8	1.6217		-0.0064449		
555.86	1.6239		-0.0067016		
555.92	1.6257		-0.0062695		
555.98	1.627		-0.0053898		
556.04	1.6277		-0.0043668		
556.1	1.6278		-0.0034849		
556.16	1.6277		-0.0029228		
556.22	1.6274		-0.002729		
556.28	1.6272		-0.002831		
556.34	1.6271		-0.0031101		
556.4	1.6272		-0.00346		
556.46	1.6275		-0.0038341		
556.52	1.6279		-0.0042107		
556.58	1.6284		-0.0045947		
556.64	1.6291		-0.0049459		
556.7	1.63		-0.005157		
556.76	1.6312		-0.0051001		
556.82	1.6324		-0.0046543		
556.88	1.6335		-0.0037564		
556.94	1.6343		-0.002458		
557	1.6347		-0.00092239		
557.06	1.6345		0.00054415		
557.12	1.634		0.0018644		
557.18	1.6331		0.0030619		
557.24	1.632		0.0039337		
557.3	1.6306		0.0044572		
557.36	1.6292		0.0046379		
557.42	1.6277		0.0044417		
557.48	1.6263		0.0038135		
557.54	1.625		0.0027142		
557.6	1.6241		0.0011482		
557.66	1.6237		-0.0007661		
557.72	1.6241		-0.0027782		
557.78	1.6253		-0.0045738		
557.84	1.6271		-0.005844		
557.9	1.6293		-0.0063247		
557.96	1.6314		-0.0059164		
558.02	1.6333		-0.0047017		
558.08	1.6345		-0.002863		
558.14	1.635		-0.00069712		
558.2	1.6345		0.0014373		
558.26	1.6332		0.0032003		
558.32	1.6314		0.0043354		
558.38	1.6292		0.0046453		
558.44	1.6271		0.0040661		
558.5	1.6254		0.0026968		
558.56	1.6243		0.00076922		
558.62	1.6241		-0.0013798		
558.68	1.6247		-0.0033968		
558.74	1.6259		-0.0049735		
558.8	1.6275		-0.005963		
558.86	1.6292		-0.0063654		
558.92	1.6308		-0.0062816		
558.98	1.6323		-0.0058407		
559.04	1.6335		-0.0051304		
559.1	1.6347		-0.0041378		
559.16	1.6356		-0.0027944		
559.22	1.6363		-0.0010486		
559.28	1.6362		0.0010441		
559.34	1.6354		0.0031317		
559.4	1.6338		0.004873		
559.46	1.6315		0.0061681		
559.52	1.6285		0.0063357		
559.58	1.6256		0.0051904		
559.64	1.6233		0.0028176		
559.7	1.6223		-0.00032616		
559.76	1.6227		-0.0035494		
559.82	1.6243		-0.0062147		
559.88	1.6268		-0.0078447		
559.94	1.6294		-0.0083085		
560	1.6317		-0.0077775		
560.06	1.6334		-0.0065634		
560.12	1.6342		-0.005061		
560.18	1.6344		-0.0036007		
560.24	1.6341		-0.0024277		
560.3	1.6333		-0.00168		
560.36	1.6324		-0.0014362		
560.42	1.6315		-0.00174		
560.48	1.6308		-0.0025627		
560.54	1.6307		-0.0037825		
560.6	1.6311		-0.0051745		
560.66	1.6323		-0.006395		
560.72	1.6341		-0.0071129		
560.78	1.6362		-0.0070774		
560.84	1.6382		-0.0062144		
560.9	1.6399		-0.0046717		
560.96	1.6408		-0.0027365		
561.02	1.6411		-0.0007405		
561.08	1.6408		0.0010455		
561.14	1.6403		0.002507		
561.2	1.6396		0.0036932		
561.26	1.6389		0.0046993		
561.32	1.6382		0.0056983		
561.38	1.6373		0.0066948		
561.44	1.6361		0.0076155		
561.5	1.6347		0.0082976		
561.56	1.6331		0.0085968		
561.62	1.6315		0.0084244		
561.68	1.63		0.0079454		
561.74	1.6288		0.0070897		
561.8	1.6279		0.0060726		
561.86	1.6273		0.0050521		
561.92	1.627		0.0041365		
561.98	1.6268		0.0032856		
562.04	1.6266		0.0024675		
562.1	1.6266		0.0016532		
562.16	1.6266		0.00084192		
562.22	1.6268		6.9461E-5		
562.28	1.6271		-0.00057773		
562.34	1.6275		-0.0011138		
562.4	1.6278		-0.0015918		
562.46	1.6282		-0.0020186		
562.52	1.6286		-0.0024544		
562.58	1.6291		-0.0028834		
562.64	1.6297		-0.0032189		
562.7	1.6304		-0.0033732		
562.76	1.6311		-0.0032824		
562.82	1.6316		-0.0030053		
562.88	1.6319		-0.0026456		
562.94	1.632		-0.0024107		
563	1.632		-0.0023918		
563.06	1.6321		-0.0025993		
563.12	1.6325		-0.0028871		
563.18	1.6332		-0.0030212		
563.24	1.6341		-0.0027467		
563.3	1.6349		-0.0020064		
563.36	1.6354		-0.00085246		
563.42	1.6353		0.00042256		
563.48	1.6346		0.0015417		
563.54	1.6334		0.0021787		
563.6	1.6323		0.0022501		
563.66	1.6313		0.0018399		
563.72	1.6307		0.0011774		
563.78	1.6305		0.00055344		
563.84	1.6305		0.00013024		
563.9	1.6304		-5.8842E-5		
563.96	1.6301		-0.00025427		
564.02	1.6297		-0.00060543		
564.08	1.6292		-0.0013003		
564.14	1.629		-0.0023677		
564.2	1.6291		-0.0037076		
564.26	1.63		-0.0050161		
564.32	1.6313		-0.0059528		
564.38	1.633		-0.0063094		
564.44	1.6346		-0.0059969		
564.5	1.636		-0.0051366		
564.56	1.6369		-0.0039298		
564.62	1.6372		-0.0026177		
564.68	1.6371		-0.0014383		
564.74	1.6368		-0.00048317		
564.8	1.6362		0.00020193		
564.86	1.6356		0.0006565		
564.92	1.6349		0.00092617		
564.98	1.6342		0.0010157		
565.04	1.6336		0.00091126		
565.1	1.633		0.00057186		
565.16	1.6325		1.8327E-5		
565.22	1.6323		-0.00068612		
565.28	1.6324		-0.0014094		
565.34	1.6328		-0.0020201		
565.4	1.6333		-0.0023969		
565.46	1.6339		-0.0025437		
565.52	1.6344		-0.0024439		
565.58	1.6348		-0.0021828		
565.64	1.635		-0.0018502		
565.7	1.6349		-0.0015548		
565.76	1.6347		-0.0014038		
565.82	1.6344		-0.0014621		
565.88	1.6341		-0.0017784		
565.94	1.6339		-0.002374		
566	1.6339		-0.0032337		
566.06	1.6344		-0.0042286		
566.12	1.6354		-0.005172		
566.18	1.6368		-0.0057706		
566.24	1.6386		-0.0059539		
566.3	1.6405		-0.0054933		
566.36	1.6423		-0.0042864		
566.42	1.6437		-0.0024791		
566.48	1.6444		-0.00033116		
566.54	1.6443		0.0018604		
566.6	1.6436		0.0038074		
566.66	1.6425		0.0053153		
566.72	1.6412		0.006334		
566.78	1.6399		0.0069451		
566.84	1.6387		0.0072655		
566.9	1.6376		0.0073828		
566.96	1.6365		0.0073209		
567.02	1.6355		0.0070419		
567.08	1.6346		0.0065094		
567.14	1.6339		0.0057238		
567.2	1.6337		0.0048162		
567.26	1.6339		0.0040068		
567.32	1.6345		0.0035343		
567.38	1.6351		0.0035498		
567.44	1.6356		0.0040283		
567.5	1.6356		0.0047528		
567.56	1.6351		0.0054087		
567.62	1.6342		0.005679		
567.68	1.6333		0.0054123		
567.74	1.6327		0.0046447		
567.8	1.6326		0.0036594		
567.86	1.6332		0.0028625		
567.92	1.6341		0.0025654		
567.98	1.6351		0.0029164		
568.04	1.6357		0.0037782		
568.1	1.6357		0.0048358		
568.16	1.6351		0.00573		
568.22	1.6343		0.0062139		
568.28	1.6335		0.0062317		
568.34	1.6329		0.0059538		
568.4	1.6328		0.0056976		
568.46	1.6328		0.0057258		
568.52	1.6328		0.0060864		
568.58	1.6325		0.0067595		
568.64	1.6315		0.007438		
568.7	1.6301		0.0077262		
568.76	1.6284		0.0073216		
568.82	1.6269		0.0061191		
568.88	1.626		0.0042911		
568.94	1.6259		0.0022551		
569	1.6267		0.00047598		
569.06	1.6281		-0.0006967		
569.12	1.6296		-0.0011247		
569.18	1.6309		-0.00089778		
569.24	1.6318		-0.00023828		
569.3	1.6323		0.00058151		
569.36	1.6323		0.0013392		
569.42	1.6321		0.0019451		
569.48	1.6317		0.0024062		
569.54	1.6312		0.0027573		
569.6	1.6306		0.003		
569.66	1.6298		0.0030852		
569.72	1.6288		0.0028932		
569.78	1.6278		0.0022952		
569.84	1.627		0.0012617		
569.9	1.6266		-0.00011834		
569.96	1.6266		-0.0016319		
570.02	1.6273		-0.0030296		
570.08	1.6283		-0.0040813		
570.14	1.6295		-0.0046702		
570.2	1.6306		-0.0048389		
570.26	1.6315		-0.0047236		
570.32	1.6321		-0.0045162		
570.38	1.6325		-0.0043896		
570.44	1.6329		-0.0044096		
570.5	1.6334		-0.004534		
570.56	1.6341		-0.0046237		
570.62	1.6349		-0.0045053		
570.68	1.6357		-0.0041051		
570.74	1.6365		-0.0034338		
570.8	1.6369		-0.0024346		
