Reference:	"Dello Russo and Khanna (1996)"
DOI:	"doi:https://doi.org/10.1006/icar.1996.0165"
Sample Type:	"Ice"
Composition:	"CH3CH2CN (1)"
Temperature:	"35K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/17"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"		"Wavenumber (cm⁻¹)"	"k₁"	"Dk₁  (+/-)"	
75	1.737			75	0.057		
80	1.759			80	0.193		
82	1.735			82	0.259		
84	1.685			84	0.314		
85	1.649			85	0.327		
86	1.615			86	0.326		
87	1.59			87	0.316		
88	1.573			88	0.303		
90	1.561			90	0.275		
92	1.581			92	0.26		
93	1.597			93	0.268		
94	1.609			94	0.287		
95	1.613			95	0.311		
96	1.609			96	0.336		
100	1.544			100	0.427		
101	1.516			101	0.442		
102	1.485			102	0.452		
103	1.454			103	0.457		
104	1.422			104	0.457		
105	1.392			105	0.451		
106	1.363			106	0.44		
107	1.339			107	0.425		
108	1.32			108	0.407		
109	1.307			109	0.389		
110	1.298			110	0.374		
115	1.269			115	0.322		
116	1.266			116	0.314		
117	1.263			117	0.31		
118	1.258			118	0.308		
119	1.252			119	0.307		
120	1.242			120	0.305		
121	1.232			121	0.301		
122	1.219			122	0.298		
123	1.206			123	0.292		
124	1.19			124	0.283		
125	1.175			125	0.27		
130	1.146			130	0.186		
140	1.186			140	0.0638		
150	1.246			150	0.0181		
160	1.286			160	0.0067		
210	1.41			210	0.0124		
220	1.534			220	0.0988		
222	1.56			222	0.198		
223	1.549			223	0.272		
224	1.499			224	0.354		
225	1.403			225	0.421		
226	1.274			226	0.428		
227	1.166			227	0.365		
228	1.107			228	0.272		
229	1.095			229	0.186		
230	1.109			230	0.12		
231	1.147			231	0.0992		
233	1.176			233	0.0714		
235	1.197			235	0.0549		
541	1.411			541	0.00999		
542	1.419			542	0.0136		
543	1.438			543	0.0421		
544	1.394			544	0.0542		
545	1.426			545	0.0405		
546	1.4			546	0.151		
547	1.288			547	0.0541		
548	1.331			548	0.013		
549	1.356			549	0.00459		
760	1.399			760	0.0118		
761	1.398			761	0.0135		
762	1.398			762	0.0147		
763	1.398			763	0.0135		
764	1.398			764	0.0134		
765	1.399			765	0.013		
770	1.417			770	0.0165		
775	1.455			775	0.0336		
776	1.477			776	0.0434		
777	1.515			777	0.0746		
778	1.56			778	0.133		
779	1.522			779	0.353		
780	1.257			780	0.354		
781	1.149			781	0.206		
782	1.169			782	0.0707		
783	1.231			783	0.0266		
784	1.264			784	0.0176		
785	1.282			785	0.0124		
787	1.305			787	0.00566		
789	1.319			789	0.00454		
