Reference:	"Hudson et al. (2023)"
DOI:	"doi:https://doi.org/10.1016/j.icarus.2023.115499"
Sample Type:	"Ice"
Composition:	"c-C3H6 (1)"
Temperature:	"10K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/180"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"		"Wavenumber (cm⁻¹)"	"k₁"	"Dk₁  (+/-)"	
500.08	1.4158			500.08	0.00264		
500.2	1.4145			500.2	0.0018		
500.32	1.415			500.32	0.00075		
500.45	1.4175			500.45	-0.00046		
500.57	1.4173			500.57	-0.00166		
500.69	1.4177			500.69	-0.00262		
500.81	1.4185			500.81	-0.00315		
500.93	1.4196			500.93	-0.00316		
501.05	1.4207			501.05	-0.00268		
501.17	1.4216			501.17	-0.00185		
501.29	1.4222			501.29	-0.00088		
501.41	1.4223			501.41	1.0E-5		
501.53	1.422			501.53	0.00063		
501.65	1.4215			501.65	0.00088		
501.77	1.4192			501.77	0.00071		
501.89	1.4186			501.89	0.0002		
502.01	1.4181			502.01	-0.00056		
502.13	1.4179			502.13	-0.00144		
502.25	1.4195			502.25	-0.00229		
502.37	1.4197			502.37	-0.003		
502.49	1.4201			502.49	-0.00353		
502.61	1.4206			502.61	-0.00383		
502.74	1.4229			502.74	-0.00392		
502.86	1.4235			502.86	-0.00382		
502.98	1.4242			502.98	-0.00354		
503.1	1.4249			503.1	-0.00312		
503.22	1.4255			503.22	-0.00256		
503.34	1.4258			503.34	-0.00191		
503.46	1.4259			503.46	-0.00121		
503.58	1.4257			503.58	-0.00056		
503.7	1.4252			503.7	-3.0E-5		
503.82	1.4246			503.82	0.00031		
503.94	1.4239			503.94	0.00042		
504.06	1.4234			504.06	0.00034		
504.18	1.423			504.18	0.00015		
504.3	1.4229			504.3	-5.0E-5		
504.42	1.423			504.42	-0.00016		
504.54	1.4232			504.54	-0.00014		
504.66	1.425			504.66	1.0E-5		
504.78	1.4252			504.78	0.00021		
504.9	1.4252			504.9	0.00036		
505.03	1.4236			505.03	0.00039		
505.15	1.4236			505.15	0.00027		
505.27	1.4238			505.27	3.0E-5		
505.39	1.4223			505.39	-0.00026		
505.51	1.4224			505.51	-0.00054		
505.63	1.4225			505.63	-0.00077		
505.75	1.4225			505.75	-0.00095		
505.87	1.4222			505.87	-0.00112		
505.99	1.4234			505.99	-0.00128		
506.11	1.4245			506.11	-0.00142		
506.23	1.4239			506.23	-0.00143		
506.35	1.4234			506.35	-0.00123		
506.47	1.4264			506.47	-0.00065		
506.59	1.4296			506.59	0.00033		
506.71	1.4296			506.71	0.00165		
506.83	1.4264			506.83	0.00314		
506.95	1.4266			506.95	0.0045		
507.07	1.4267			507.07	0.00547		
507.2	1.4251			507.2	0.00581		
507.32	1.4218			507.32	0.00541		
507.44	1.4186			507.44	0.00437		
507.56	1.4187			507.56	0.00287		
507.68	1.419			507.68	0.00117		
507.8	1.4193			507.8	-0.00048		
507.92	1.418			507.92	-0.00188		
508.04	1.4217			508.04	-0.00292		
508.16	1.4221			508.16	-0.00355		
508.28	1.4257			508.28	-0.00377		
508.4	1.4258			508.4	-0.00357		
508.52	1.4259			508.52	-0.00294		
508.64	1.4274			508.64	-0.00192		
508.76	1.4272			508.76	-0.00059		
508.88	1.427			508.88	0.0009		
509	1.4267			509	0.00233		
509.12	1.4264			509.12	0.00347		
509.24	1.4245			509.24	0.00414		
509.36	1.4243			509.36	0.00427		
509.49	1.4226			509.49	0.0039		
509.61	1.4226			509.61	0.00323		
509.73	1.4226			509.73	0.00249		
509.85	1.4227			509.85	0.00191		
509.97	1.4229			509.97	0.00161		
510.09	1.423			510.09	0.00161		
510.21	1.4232			510.21	0.00183		
510.33	1.4233			510.33	0.00211		
510.45	1.4234			510.45	0.0023		
510.57	1.4217			510.57	0.0023		
510.69	1.4199			510.69	0.0021		
510.81	1.4196			510.81	0.00174		
510.93	1.4209			510.93	0.00127		
511.05	1.4205			511.05	0.00076		
511.17	1.4202			511.17	0.00021		
511.29	1.4201			511.29	-0.00038		
511.41	1.4203			511.41	-0.00105		
511.53	1.4207			511.53	-0.00181		
511.65	1.4196			511.65	-0.00263		
511.78	1.4185			511.78	-0.00347		
511.9	1.419			511.9	-0.00427		
512.02	1.421			512.02	-0.00494		
512.14	1.4228			512.14	-0.00544		
512.26	1.4245			512.26	-0.00572		
512.38	1.4244			512.38	-0.00578		
512.5	1.4259			512.5	-0.00561		
512.62	1.4275			512.62	-0.00522		
512.74	1.4292			512.74	-0.00456		
512.86	1.4292			512.86	-0.00366		
512.98	1.4291			512.98	-0.00253		
513.1	1.429			513.1	-0.00123		
513.22	1.4287			513.22	0.00011		
513.34	1.4284			513.34	0.00138		
513.46	1.428			513.46	0.00242		
513.58	1.426			513.58	0.0031		
513.7	1.4257			513.7	0.00337		
513.82	1.4238			513.82	0.00321		
513.94	1.4237			513.94	0.00272		
514.07	1.4237			514.07	0.00201		
514.19	1.4238			514.19	0.00125		
514.31	1.424			514.31	0.00057		
514.43	1.4242			514.43	4.0E-5		
514.55	1.4245			514.55	-0.00033		
514.67	1.4248			514.67	-0.00061		
514.79	1.4234			514.79	-0.0009		
514.91	1.4236			514.91	-0.00128		
515.03	1.4239			515.03	-0.00175		
515.15	1.4241			515.15	-0.00222		
515.27	1.4261			515.27	-0.00251		
515.39	1.4264			515.39	-0.00244		
515.51	1.4285			515.51	-0.00189		
515.63	1.4289			515.63	-0.00085		
515.75	1.4292			515.75	0.00052		
515.87	1.4293			515.87	0.00194		
515.99	1.4291			515.99	0.00309		
516.11	1.4271			516.11	0.00372		
516.23	1.4265			516.23	0.00371		
516.36	1.4242			516.36	0.00313		
516.48	1.4219			516.48	0.0022		
516.6	1.4233			516.6	0.00119		
516.72	1.4233			516.72	0.00036		
516.84	1.4234			516.84	-0.00017		
516.96	1.4238			516.96	-0.0004		
517.08	1.4241			517.08	-0.00042		
517.2	1.4242			517.2	-0.00038		
517.32	1.4242			517.32	-0.00038		
517.44	1.4223			517.44	-0.00047		
517.56	1.422			517.56	-0.00062		
517.68	1.4232			517.68	-0.00074		
517.8	1.4245			517.8	-0.0008		
517.92	1.4242			517.92	-0.00081		
518.04	1.4241			518.04	-0.00076		
518.16	1.4241			518.16	-0.00072		
