Reference:	"Hudson et al. (2023)"
DOI:	"doi:https://doi.org/10.1016/j.icarus.2023.115499"
Sample Type:	"Ice"
Composition:	"c-C3H6 (1)"
Temperature:	"80K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/181"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"	"k₁"	"Dk₁  (+/-)"	
500.08	1.5267		-0.00197		
500.2	1.5267		-0.00204		
500.32	1.5269		-0.00201		
500.45	1.5277		-0.00186		
500.57	1.5279		-0.00157		
500.69	1.5283		-0.00116		
500.81	1.5283		-0.0007		
500.93	1.5283		-0.00028		
501.05	1.528		2.0E-5		
501.17	1.5278		0.00017		
501.29	1.5275		0.00018		
501.41	1.5274		0.00011		
501.53	1.5272		4.0E-5		
501.65	1.5272		-2.0E-5		
501.77	1.527		-7.0E-5		
501.89	1.5269		-0.00018		
502.01	1.5268		-0.00038		
502.13	1.5268		-0.00069		
502.25	1.5269		-0.00104		
502.37	1.5273		-0.00131		
502.49	1.5278		-0.00138		
502.61	1.5283		-0.0012		
502.74	1.5287		-0.00077		
502.86	1.5289		-0.00019		
502.98	1.5288		0.00041		
503.1	1.5285		0.0009		
503.22	1.528		0.0012		
503.34	1.5275		0.00129		
503.46	1.527		0.0012		
503.58	1.5266		0.00097		
503.7	1.5262		0.00064		
503.82	1.526		0.00022		
503.94	1.5259		-0.00029		
504.06	1.526		-0.00085		
504.18	1.5263		-0.00139		
504.3	1.5269		-0.0018		
504.42	1.5276		-0.00196		
504.54	1.5283		-0.00181		
504.66	1.5289		-0.00136		
504.78	1.5293		-0.00069		
504.9	1.5293		3.0E-5		
505.03	1.5291		0.00063		
505.15	1.5287		0.00101		
505.27	1.5283		0.00114		
505.39	1.528		0.00107		
505.51	1.5279		0.00096		
505.63	1.5279		0.00093		
505.75	1.528		0.00108		
505.87	1.5281		0.00143		
505.99	1.5279		0.00188		
506.11	1.5275		0.00231		
506.23	1.5268		0.00255		
506.35	1.526		0.0025		
506.47	1.5253		0.00212		
506.59	1.5248		0.00148		
506.71	1.5247		0.00072		
506.83	1.5249		4.0E-5		
506.95	1.5254		-0.0004		
507.07	1.5259		-0.0005		
507.2	1.5263		-0.00028		
507.32	1.5265		0.00014		
507.44	1.5263		0.0006		
507.56	1.5259		0.00089		
507.68	1.5253		0.0009		
507.8	1.5246		0.0006		
507.92	1.5242		6.0E-5		
508.04	1.5241		-0.0006		
508.16	1.5241		-0.00123		
508.28	1.5243		-0.00174		
508.4	1.5246		-0.00212		
508.52	1.5249		-0.00242		
508.64	1.5251		-0.00269		
508.76	1.5254		-0.00299		
508.88	1.5258		-0.00329		
509	1.5262		-0.00353		
509.12	1.5268		-0.00362		
509.24	1.5274		-0.00352		
509.36	1.5278		-0.00325		
509.49	1.5281		-0.0029		
509.61	1.5281		-0.00261		
509.73	1.5281		-0.00245		
509.85	1.5281		-0.00246		
509.97	1.5283		-0.00256		
510.09	1.5286		-0.00264		
510.21	1.5291		-0.00255		
510.33	1.5296		-0.00222		
510.45	1.5299		-0.00166		
