Reference:	"Hudson et al. (2023)"
DOI:	"doi:https://doi.org/10.1016/j.icarus.2023.115499"
Sample Type:	"Ice"
Composition:	"c-C2H4O (1)"
Temperature:	"10K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/182"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"	"k₁"	"Dk₁  (+/-)"	
699.92	1.3977		0.00107		
700.04	1.3977		0.00097		
700.16	1.3977		0.00087		
700.28	1.3975		0.00079		
700.4	1.3976		0.00073		
700.52	1.3975		0.0007		
700.64	1.3975		0.00066		
700.76	1.3975		0.0006		
700.88	1.3975		0.00052		
701	1.3975		0.00041		
701.12	1.3976		0.00031		
701.24	1.3977		0.00022		
701.36	1.3979		0.00018		
701.48	1.398		0.00019		
701.6	1.3982		0.00025		
701.72	1.3983		0.00033		
701.84	1.3984		0.00043		
701.96	1.3985		0.00052		
702.08	1.3985		0.0006		
702.2	1.3985		0.00067		
702.32	1.3986		0.00075		
702.44	1.3986		0.00084		
702.56	1.3986		0.00094		
702.68	1.3986		0.00103		
702.8	1.3986		0.0011		
702.92	1.3985		0.00113		
703.04	1.3984		0.00112		
703.16	1.3984		0.00108		
703.28	1.3984		0.00103		
703.4	1.3985		0.001		
703.52	1.3986		0.001		
703.64	1.3986		0.00105		
703.76	1.3987		0.00113		
703.88	1.3986		0.00121		
704	1.3986		0.00127		
704.12	1.3985		0.00128		
704.24	1.3985		0.00125		
704.36	1.3985		0.00119		
704.48	1.3985		0.00114		
704.6	1.3986		0.00111		
704.72	1.3986		0.00112		
704.84	1.3987		0.00117		
704.96	1.3987		0.00124		
705.08	1.3987		0.00128		
705.2	1.3986		0.00129		
705.32	1.3986		0.00125		
705.44	1.3986		0.00118		
705.56	1.3986		0.00112		
705.68	1.3987		0.0011		
705.8	1.3987		0.00112		
705.92	1.3988		0.00119		
706.04	1.3988		0.00127		
706.16	1.3987		0.00131		
706.28	1.3986		0.0013		
706.4	1.3985		0.00122		
706.52	1.3984		0.00108		
706.64	1.3984		0.00092		
706.76	1.3985		0.00077		
706.88	1.3986		0.00066		
707	1.3987		0.00059		
707.12	1.3989		0.00056		
707.24	1.399		0.00054		
707.36	1.3991		0.00053		
707.48	1.3992		0.00052		
707.6	1.3993		0.00052		
707.72	1.3994		0.00054		
707.84	1.3995		0.0006		
707.96	1.3995		0.00067		
708.08	1.3996		0.00074		
708.2	1.3995		0.00078		
708.32	1.3995		0.00077		
708.44	1.3995		0.00071		
708.56	1.3995		0.00062		
708.68	1.3996		0.00053		
708.8	1.3998		0.00048		
708.92	1.4		0.00049		
709.04	1.4001		0.00055		
709.16	1.4002		0.00066		
709.28	1.4003		0.00078		
709.4	1.4003		0.00089		
709.52	1.4003		0.00098		
709.64	1.4003		0.00105		
709.76	1.4003		0.00111		
709.88	1.4003		0.00117		
710	1.4003		0.00123		
710.12	1.4003		0.00128		
710.24	1.4002		0.00131		
710.36	1.4001		0.0013		
710.48	1.4		0.00124		
710.6	1.4		0.00114		
710.72	1.4		0.00101		
710.84	1.4		0.00088		
710.96	1.4001		0.00077		
711.08	1.4003		0.00071		
711.2	1.4004		0.0007		
711.32	1.4006		0.00074		
