Reference:	"Hudson et al. (2023)"
DOI:	"doi:https://doi.org/10.1016/j.icarus.2023.115499"
Sample Type:	"Ice"
Composition:	"c-C2H4O (1)"
Temperature:	"100K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/183"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"		"Wavenumber (cm⁻¹)"	"k₁"	"Dk₁  (+/-)"	
699.92	1.5179			699.92	-0.00182		
700.04	1.5179			700.04	-0.00182		
700.16	1.5179			700.16	-0.00187		
700.28	1.5183			700.28	-0.00196		
700.4	1.5184			700.4	-0.00205		
700.52	1.5187			700.52	-0.00212		
700.64	1.5188			700.64	-0.00216		
700.76	1.519			700.76	-0.00218		
700.88	1.5191			700.88	-0.00217		
701	1.5193			701	-0.00216		
701.12	1.5193			701.12	-0.00216		
701.24	1.5194			701.24	-0.0022		
701.36	1.5194			701.36	-0.00226		
701.48	1.5195			701.48	-0.00236		
701.6	1.5196			701.6	-0.00248		
701.72	1.5198			701.72	-0.00259		
701.84	1.52			701.84	-0.00266		
701.96	1.5203			701.96	-0.00267		
702.08	1.5205			702.08	-0.00259		
702.2	1.5208			702.2	-0.00244		
702.32	1.5209			702.32	-0.00224		
702.44	1.5209			702.44	-0.00205		
702.56	1.5208			702.56	-0.0019		
702.68	1.5207			702.68	-0.00184		
702.8	1.5206			702.8	-0.00186		
702.92	1.5206			702.92	-0.00196		
703.04	1.5206			703.04	-0.00209		
703.16	1.5207			703.16	-0.0022		
703.28	1.5207			703.28	-0.00228		
703.4	1.5209			703.4	-0.00232		
703.52	1.5209			703.52	-0.00232		
703.64	1.521			703.64	-0.00232		
703.76	1.521			703.76	-0.00235		
703.88	1.5211			703.88	-0.00241		
704	1.5211			704	-0.00251		
704.12	1.5212			704.12	-0.00265		
704.24	1.5213			704.24	-0.00278		
704.36	1.5215			704.36	-0.0029		
704.48	1.5217			704.48	-0.00296		
704.6	1.522			704.6	-0.00296		
704.72	1.5222			704.72	-0.0029		
704.84	1.5224			704.84	-0.00278		
704.96	1.5225			704.96	-0.00262		
705.08	1.5226			705.08	-0.00247		
705.2	1.5225			705.2	-0.00234		
705.32	1.5225			705.32	-0.00227		
705.44	1.5224			705.44	-0.00226		
705.56	1.5224			705.56	-0.00232		
705.68	1.5224			705.68	-0.00243		
705.8	1.5225			705.8	-0.00254		
705.92	1.5226			705.92	-0.00264		
706.04	1.5228			706.04	-0.0027		
706.16	1.5229			706.16	-0.00272		
706.28	1.5231			706.28	-0.00271		
706.4	1.5232			706.4	-0.00267		
706.52	1.5234			706.52	-0.00262		
706.64	1.5235			706.64	-0.00256		
706.76	1.5236			706.76	-0.00249		
706.88	1.5237			706.88	-0.0024		
707	1.5238			707	-0.00228		
707.12	1.5239			707.12	-0.00215		
707.24	1.5239			707.24	-0.00204		
707.36	1.5239			707.36	-0.00194		
707.48	1.5238			707.48	-0.00189		
707.6	1.5238			707.6	-0.00188		
707.72	1.5237			707.72	-0.00191		
707.84	1.5237			707.84	-0.00196		
707.96	1.5237			707.96	-0.00202		
708.08	1.5238			708.08	-0.0021		
708.2	1.5238			708.2	-0.00219		
708.32	1.5239			708.32	-0.0023		
708.44	1.5241			708.44	-0.0024		
708.56	1.5243			708.56	-0.00246		
708.68	1.5246			708.68	-0.00245		
708.8	1.5248			708.8	-0.00232		
708.92	1.5251			708.92	-0.00207		
709.04	1.5252			709.04	-0.00174		
709.16	1.5251			709.16	-0.00137		
709.28	1.5249			709.28	-0.00107		
709.4	1.5246			709.4	-0.0009		
709.52	1.5242			709.52	-0.00091		
709.64	1.5239			709.64	-0.00109		
709.76	1.5237			709.76	-0.00139		
709.88	1.5237			709.88	-0.00175		
710	1.5237			710	-0.00209		
710.12	1.5239			710.12	-0.00235		
710.24	1.5242			710.24	-0.00252		
710.36	1.5245			710.36	-0.0026		
710.48	1.5247			710.48	-0.00261		
710.6	1.5249			710.6	-0.00257		
710.72	1.5251			710.72	-0.00249		
710.84	1.5252			710.84	-0.00239		
710.96	1.5253			710.96	-0.00228		
711.08	1.5253			711.08	-0.00217		
711.2	1.5253			711.2	-0.00209		
711.32	1.5253			711.32	-0.00206		
711.44	1.5253			711.44	-0.00207		
711.56	1.5253			711.56	-0.00214		
711.68	1.5253			711.68	-0.00223		
711.8	1.5254			711.8	-0.00233		
711.92	1.5255			711.92	-0.00241		
712.04	1.5256			712.04	-0.00245		
712.16	1.5258			712.16	-0.00246		
712.28	1.5259			712.28	-0.00243		
712.4	1.5261			712.4	-0.00239		
712.52	1.5262			712.52	-0.00232		
712.64	1.5263			712.64	-0.00223		
712.76	1.5264			712.76	-0.0021		
712.88	1.5264			712.88	-0.00195		
713	1.5264			713	-0.0018		
713.12	1.5263			713.12	-0.00168		
713.24	1.5261			713.24	-0.00163		
713.36	1.526			713.36	-0.00168		
713.48	1.5259			713.48	-0.00181		
713.6	1.5258			713.6	-0.00199		
713.72	1.5259			713.72	-0.00219		
713.84	1.526			713.84	-0.00234		
713.96	1.5261			713.96	-0.00244		
714.08	1.5262			714.08	-0.00248		
714.2	1.5263			714.2	-0.00249		
714.32	1.5264			714.32	-0.00251		
714.44	1.5264			714.44	-0.00257		
714.56	1.5265			714.56	-0.00266		
714.68	1.5266			714.68	-0.00276		
714.8	1.5268			714.8	-0.00285		
714.92	1.527			714.92	-0.00289		
715.04	1.5271			715.04	-0.00287		
715.16	1.5273			715.16	-0.00281		
715.28	1.5274			715.28	-0.00274		
715.4	1.5274			715.4	-0.00268		
715.52	1.5275			715.52	-0.00267		
715.64	1.5275			715.64	-0.0027		
715.76	1.5276			715.76	-0.00273		
715.88	1.5278			715.88	-0.00275		
716	1.5279			716	-0.00272		
716.12	1.528			716.12	-0.00264		
716.24	1.5281			716.24	-0.00253		
716.36	1.5282			716.36	-0.00241		
716.48	1.5281			716.48	-0.00231		
716.6	1.5281			716.6	-0.00225		
716.72	1.528			716.72	-0.00224		
716.84	1.5279			716.84	-0.00228		
716.96	1.5279			716.96	-0.00237		
717.08	1.5278			717.08	-0.0025		
717.2	1.5278			717.2	-0.00267		
717.32	1.5279			717.32	-0.00285		
717.44	1.528			717.44	-0.00305		
717.56	1.5282			717.56	-0.00322		
717.68	1.5284			717.68	-0.00336		
