Reference:	"Jovanović et al. (2021)"
DOI:	"doi:https://doi.org/10.1016/j.icarus.2021.114398"
Sample Type:	"Gas Tholin"
Composition:	"N2:CH4:CO (99.45:0.5:0.05)"
Temperature:	"300K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/184"
n₁ Error Units:	2σ error bars calculated based on the uncertainties of ellipsometric parameters Is and Ic at different wavelengths.
k₁ Error Units:	2σ error bars calculated based on the uncertainties of ellipsometric parameters Is and Ic at different wavelengths.

"Wavelength (µm)"	"n₁"	"Dn₁  (+/-)"	"k₁"	"Dk₁  (+/-)"	
2.1	1.614	0.003	0.001068	0.004	
2.095	1.615		0.00063		
2.09	1.616		0.000603		
2.085	1.617		0.000589		
2.08	1.618		0.000577		
2.075	1.619		0.000561		
2.07	1.619		0.000509		
2.065	1.619		0.000512		
2.06	1.62		0.000511		
2.055	1.62		0.000559		
2.05	1.62		0.00061		
2.045	1.621		0.000648		
2.04	1.621		0.000668		
2.035	1.621		0.000712		
2.03	1.621		0.000796		
2.025	1.62		0.00092		
2.02	1.62		0.001022		
2.015	1.62		0.001083		
2.01	1.62		0.001111		
2.005	1.62		0.001172		
2	1.621	0.001	0.001254	0.001	
1.995	1.621		0.001339		
1.99	1.621		0.0014		
1.985	1.622		0.001428		
1.98	1.622		0.001441		
1.975	1.622		0.001443		
1.97	1.622		0.001454		
1.965	1.623		0.001451		
1.96	1.623		0.00143		
1.955	1.623		0.001364		
1.95	1.623		0.001265		
1.945	1.624		0.001184		
1.94	1.624		0.001145		
1.935	1.624		0.001145		
1.93	1.625		0.001128		
1.925	1.625		0.001104		
1.92	1.625		0.001052		
1.915	1.625		0.001012		
1.91	1.625		0.000991		
1.905	1.625		0.000995		
1.9	1.625	0.002	0.001006	0.004	
1.895	1.625		0.001024		
1.89	1.626		0.00105		
1.885	1.626		0.001087		
1.88	1.626		0.001139		
1.875	1.626		0.001187		
1.87	1.627		0.001238		
1.865	1.627		0.001298		
1.86	1.627		0.001362		
1.855	1.627		0.001415		
1.85	1.628		0.001438		
1.845	1.628		0.001471		
1.84	1.628		0.001501		
1.835	1.628		0.001522		
1.83	1.629		0.001552		
1.825	1.629		0.00159		
1.82	1.629		0.001641		
1.815	1.629		0.001685		
1.81	1.63		0.001727		
1.805	1.63		0.00175		
1.8	1.63	0.001	0.001762	0.001	
1.795	1.63		0.001755		
1.79	1.63		0.001751		
1.785	1.631		0.001753		
1.78	1.631		0.001789		
1.775	1.631		0.00185		
1.77	1.631		0.001923		
1.765	1.631		0.001977		
1.76	1.632		0.002017		
1.755	1.632		0.002023		
1.75	1.632		0.002026		
1.745	1.632		0.002019		
1.74	1.632		0.002035		
1.735	1.632		0.002047		
1.73	1.633		0.002081		
1.725	1.633		0.00213		
1.72	1.633		0.002189		
1.715	1.633		0.002234		
1.71	1.633		0.002246		
1.705	1.633		0.002217		
1.7	1.633	0.002	0.002172	0.001	
1.695	1.634		0.002141		
1.69	1.634		0.002145		
1.685	1.634		0.002176		
1.68	1.634		0.0022		
1.675	1.634		0.002206		
1.67	1.634		0.002201		
1.665	1.635		0.002187		
1.66	1.635		0.002179		
1.655	1.635		0.002166		
1.65	1.635		0.002154		
1.645	1.635		0.002142		
1.64	1.635		0.002137		
1.635	1.635		0.002146		
1.63	1.636		0.002185		
1.625	1.636		0.002227		
1.62	1.636		0.002261		
1.615	1.636		0.002257		
1.61	1.637		0.002238		
1.605	1.637		0.002225		
1.6	1.637	0.002	0.002228	0.004	
1.595	1.637		0.002242		
1.59	1.637		0.002254		
1.585	1.638		0.002252		
1.58	1.638		0.00224		
1.575	1.638		0.002215		
1.57	1.638		0.002189		
1.565	1.638		0.002163		
1.56	1.638		0.002142		
1.555	1.638		0.002116		
1.55	1.638		0.002104		
1.545	1.639		0.002092		
1.54	1.639		0.00209		
1.535	1.639		0.002091		
1.53	1.639		0.002103		
1.525	1.639		0.002096		
1.52	1.639		0.002076		
1.515	1.639		0.002055		
1.51	1.639		0.002015		
1.505	1.639		0.001977		
1.5	1.639	0.003	0.001945	0.003	
1.495	1.639		0.001938		
1.49	1.64		0.001943		
1.485	1.64		0.00197		
1.48	1.64		0.001998		
1.475	1.64		0.002025		
1.47	1.64		0.00205		
1.465	1.64		0.002073		
1.46	1.64		0.002102		
1.455	1.64		0.00213		
1.45	1.64		0.002168		
1.445	1.64		0.00221		
1.44	1.64		0.002249		
1.435	1.64		0.002304		
1.43	1.64		0.002356		
1.425	1.641		0.002425		
1.42	1.641		0.00249		
1.415	1.641		0.002548		
1.41	1.641	0.003	0.002565	0.002	
1.405	1.641		0.002559		
1.4	1.641		0.002536		
1.395	1.641		0.002518		
1.39	1.641		0.002515		
1.385	1.641		0.002512		
1.38	1.641		0.002518		
1.375	1.641		0.002537		
1.37	1.641		0.00257		
1.365	1.641		0.002607		
1.36	1.641		0.002658		
1.355	1.641		0.002722		
1.35	1.641		0.00278		
1.345	1.641		0.002823		
1.34	1.641		0.002867		
1.335	1.641		0.002937		
1.33	1.641		0.00303		
1.325	1.641		0.003134		
1.32	1.641		0.003228		
1.315	1.641		0.003331		
1.31	1.641		0.003448		
1.305	1.641		0.003569		
1.3	1.64	0.004	0.003674	0.001	
1.295	1.64		0.00377		
1.29	1.64		0.003857		
1.285	1.64		0.003914		
1.28	1.64		0.00392		
1.275	1.64		0.003892		
1.27	1.64		0.003839		
1.265	1.64		0.003785		
1.26	1.64		0.003701		
1.255	1.64		0.003598		
1.25	1.64		0.003487		
1.245	1.64		0.003381		
1.24	1.64		0.00327		
1.235	1.64		0.003187		
1.23	1.64		0.003163		
1.225	1.639		0.003232		
1.22	1.639		0.003395		
1.215	1.639		0.003591		
1.21	1.639		0.003785		
1.205	1.638		0.00396		
1.2	1.638	0.004	0.004131	0.001	
1.195	1.638		0.004315		
1.19	1.637		0.004499		
1.185	1.637		0.004722		
1.18	1.636		0.004981		
1.175	1.636		0.005259		
