Reference:	"Jovanović et al. (2021)"
DOI:	"doi:https://doi.org/10.1016/j.icarus.2021.114398"
Sample Type:	"Gas Tholin"
Composition:	"N2:CH4:CO (98.95:1:0.05)"
Temperature:	"300K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/185"
n₁ Error Units:	2σ error bars calculated based on the uncertainties of ellipsometric parameters Is and Ic at different wavelengths.
k₁ Error Units:	2σ error bars calculated based on the uncertainties of ellipsometric parameters Is and Ic at different wavelengths.

"Wavelength (µm)"	"n₁"	"Dn₁  (+/-)"		"Wavelength (µm)"	"k₁"	"Dk₁  (+/-)"	
2.1	1.625	0.004		2.1	0.000897	0.005	
2.095	1.625			2.095	0.00059		
2.09	1.625			2.09	0.000685		
2.085	1.626			2.085	0.000753		
2.08	1.627			2.08	0.000867		
2.075	1.627			2.075	0.001039		
2.07	1.628			2.07	0.001143		
2.065	1.628			2.065	0.001255		
2.06	1.628			2.06	0.001351		
2.055	1.629			2.055	0.001493		
2.05	1.629			2.05	0.001633		
2.045	1.629			2.045	0.001752		
2.04	1.63			2.04	0.001855		
2.035	1.63			2.035	0.001972		
2.03	1.63			2.03	0.002142		
2.025	1.63			2.025	0.002365		
2.02	1.63			2.02	0.002531		
2.015	1.63			2.015	0.002612		
2.01	1.63			2.01	0.002627		
2.005	1.63			2.005	0.002683		
2	1.63	0.001		2	0.002787	0.001	
1.995	1.63			1.995	0.002887		
1.99	1.631			1.99	0.002958		
1.985	1.631			1.985	0.002995		
1.98	1.631			1.98	0.003029		
1.975	1.631			1.975	0.003037		
1.97	1.631			1.97	0.003036		
1.965	1.631			1.965	0.003037		
1.96	1.632			1.96	0.003027		
1.955	1.632			1.955	0.002949		
1.95	1.632			1.95	0.002807		
1.945	1.632			1.945	0.00269		
1.94	1.633			1.94	0.002634		
1.935	1.633			1.935	0.002641		
1.93	1.633			1.93	0.002618		
1.925	1.633			1.925	0.002576		
1.92	1.633			1.92	0.002522		
1.915	1.633			1.915	0.002484		
1.91	1.633			1.91	0.002465		
1.905	1.633			1.905	0.002461		
1.9	1.633	0.001		1.9	0.002498	0.003	
1.895	1.633			1.895	0.002552		
1.89	1.634			1.89	0.002615		
1.885	1.634			1.885	0.002653		
1.88	1.634			1.88	0.002702		
1.875	1.634			1.875	0.002763		
1.87	1.634			1.87	0.002841		
1.865	1.635			1.865	0.002918		
1.86	1.635			1.86	0.002986		
1.855	1.635			1.855	0.003048		
1.85	1.635			1.85	0.003086		
1.845	1.635			1.845	0.003131		
1.84	1.635			1.84	0.003163		
1.835	1.636			1.835	0.003212		
1.83	1.636			1.83	0.003244		
1.825	1.636			1.825	0.003265		
1.82	1.636			1.82	0.003287		
1.815	1.636			1.815	0.003325		
1.81	1.636			1.81	0.00338		
1.805	1.637			1.805	0.00343		
1.8	1.637	0.001		1.8	0.003458	0.001	
1.795	1.637			1.795	0.003477		
1.79	1.637			1.79	0.003511		
1.785	1.637			1.785	0.003551		
1.78	1.637			1.78	0.003607		
1.775	1.637			1.775	0.003664		
1.77	1.638			1.77	0.003717		
1.765	1.638			1.765	0.003771		
1.76	1.638			1.76	0.003795		
1.755	1.638			1.755	0.003828		
1.75	1.638			1.75	0.00383		
1.745	1.638			1.745	0.003845		
1.74	1.638			1.74	0.003848		
1.735	1.638			1.735	0.003871		
1.73	1.639			1.73	0.003903		
1.725	1.639			1.725	0.003971		
1.72	1.639			1.72	0.004037		
1.715	1.639			1.715	0.00408		
1.71	1.639			1.71	0.004076		
1.705	1.639			1.705	0.00405		
1.7	1.639	0.001		1.7	0.004021	0.001	
1.695	1.639			1.695	0.004013		
1.69	1.64			1.69	0.004023		
1.685	1.64			1.685	0.004054		
1.68	1.64			1.68	0.004073		
1.675	1.64			1.675	0.004093		
1.67	1.64			1.67	0.004091		
1.665	1.64			1.665	0.004076		
1.66	1.641			1.66	0.004053		
1.655	1.641			1.655	0.00404		
1.65	1.641			1.65	0.004012		
1.645	1.641			1.645	0.003989		
