Reference:	"Jovanović et al. (2021)"
DOI:	"doi:https://doi.org/10.1016/j.icarus.2021.114398"
Sample Type:	"Gas Tholin"
Composition:	"N2:CH4:CO (94.95:5:0.05)"
Temperature:	"300K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/186"
n₁ Error Units:	2σ error bars calculated based on the uncertainties of ellipsometric parameters Is and Ic at different wavelengths.
k₁ Error Units:	2σ error bars calculated based on the uncertainties of ellipsometric parameters Is and Ic at different wavelengths.

"Wavelength (µm)"	"n₁"	"Dn₁  (+/-)"	"k₁"	"Dk₁  (+/-)"	
2.1	1.595	0.003	0.002559	0.003	
2.095	1.596		0.002325		
2.09	1.596		0.002333		
2.085	1.597		0.002428		
2.08	1.597		0.002531		
2.075	1.597		0.002617		
2.07	1.597		0.002682		
2.065	1.598		0.002768		
2.06	1.598		0.002833		
2.055	1.598		0.002915		
2.05	1.598		0.003004		
2.045	1.598		0.003081		
2.04	1.598		0.003144		
2.035	1.598		0.003212		
2.03	1.598		0.003299		
2.025	1.598		0.003406		
2.02	1.598		0.003481		
2.015	1.598		0.003544		
2.01	1.598		0.003582		
2.005	1.598		0.003651		
2	1.599	0.001	0.003725	0.004	
1.995	1.599		0.00381		
1.99	1.599		0.003874		
1.985	1.599		0.003924		
1.98	1.599		0.003963		
1.975	1.599		0.004		
1.97	1.599		0.004039		
1.965	1.6		0.004068		
1.96	1.6		0.00408		
1.955	1.6		0.004074		
1.95	1.6		0.004051		
1.945	1.601		0.004046		
1.94	1.601		0.004049		
1.935	1.601		0.004054		
1.93	1.601		0.004032		
1.925	1.602		0.003995		
1.92	1.602		0.003946		
1.915	1.602		0.003898		
1.91	1.602		0.00386		
1.905	1.602		0.003846		
1.9	1.602	0.002	0.003846	0.004	
1.895	1.602		0.003851		
1.89	1.602		0.003866		
1.885	1.603		0.003878		
1.88	1.603		0.003894		
1.875	1.603		0.003907		
1.87	1.603		0.003938		
1.865	1.603		0.00396		
1.86	1.603		0.003993		
1.855	1.603		0.00402		
1.85	1.604		0.004053		
1.845	1.604		0.004066		
1.84	1.604		0.004082		
1.835	1.604		0.004095		
1.83	1.604		0.004109		
1.825	1.604		0.004115		
1.82	1.604		0.004125		
1.815	1.605		0.004129		
1.81	1.605		0.004141		
1.805	1.605		0.004129		
1.8	1.605	0.002	0.00411	0.003	
1.795	1.605		0.00407		
1.79	1.605		0.004058		
1.785	1.605		0.004055		
1.78	1.606		0.004068		
1.775	1.606		0.004068		
1.77	1.606		0.004077		
1.765	1.606		0.004073		
1.76	1.606		0.004067		
1.755	1.606		0.004053		
1.75	1.606		0.004041		
1.745	1.606		0.004017		
1.74	1.606		0.003997		
1.735	1.606		0.003979		
1.73	1.606		0.003987		
1.725	1.607		0.003997		
1.72	1.607		0.004005		
1.715	1.607		0.003991		
1.71	1.607		0.003964		
1.705	1.607		0.003926		
1.7	1.607	0.003	0.003883	0.003	
1.695	1.607		0.003853		
1.69	1.607		0.003836		
1.685	1.607		0.003837		
1.68	1.607		0.003834		
1.675	1.607		0.003831		
1.67	1.607		0.003815		
1.665	1.608		0.003788		
1.66	1.608		0.003756		
1.655	1.608		0.003718		
1.65	1.608		0.003673		
1.645	1.608		0.003627		
1.64	1.608		0.003589		
1.635	1.608		0.00356		
1.63	1.608		0.003538		
1.625	1.608		0.003525		
1.62	1.608		0.003516		
