Reference:	"Khare et al. (1984)"
DOI:	"doi:https://doi.org/10.1016/0019-1035(84)90142-8"
Sample Type:	"Gas Tholin"
Composition:	"N2:CH4 (90:10)"
Temperature:	"300K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/187"
n₁ Error Units:	The accuracy of the n index is estimated at ± 3%.
k₁ Error Units:	The accuracy of the k index is estimated at ± 30%.

"Wavelength (µm)"	"n₁"	"Dn₁  (+/-)"		"Wavelength (µm)"	"k₁"	"Dk₁  (+/-)"	
920	2.17			920	0.003		
850	2.17			850	0.01		
774.9	2.16			774.9	0.029		
688.8	2.16			688.8	0.047		
563.5	2.15			563.5	0.07		
387.4	2.12			387.4	0.1		
229.6	2.07			229.6	0.14		
172.2	2.04			172.2	0.16		
140.9	2.03			140.9	0.16		
121.5	2.02			121.5	0.19		
81.57	1.93			81.57	0.21		
56.35	1.86			56.35	0.19		
36.46	1.81			36.46	0.15		
31	1.81			31	0.14		
22.14	1.8			22.14	0.18		
18.23	1.76			18.23	0.21		
17.71	1.74			17.71	0.21		
14.42	1.67			14.42	0.17		
12.91	1.67			12.91	0.14		
11.7	1.64			11.7	0.097		
11.07	1.66			11.07	0.079		
10.51	1.67			10.51	0.075		
8.731	1.71			8.731	0.092		
7.653	1.72			7.653	0.13		
7.044	1.69			7.044	0.17		
6.666	1.69			6.666	0.22		
6.457	1.64			6.457	0.26		
6.326	1.58			6.326	0.28		
5.961	1.43			5.961	0.15		
5.848	1.44			5.848	0.07		
5.74	1.48			5.74	0.029		
5.438	1.55			5.438	0.011		
5.253	1.58			5.253	0.0087		
5.166	1.58			5.166	0.0076		
4.881	1.61			4.881	0.01		
4.626	1.62			4.626	0.027		
4.592	1.61			4.592	0.028		
4.492	1.61			4.492	0.014		
4.428	1.61			4.428	0.011		
4.217	1.63			4.217	0.01		
3.948	1.64			3.948	0.013		
3.668	1.65			3.668	0.021		
3.463	1.65			3.463	0.035		
3.246	1.65			3.246	0.056		
3.009	1.61			3.009	0.075		
2.938	1.59			2.938	0.06		
2.818	1.58			2.818	0.024		
2.743	1.59			2.743	0.011		
2.695	1.6			2.695	0.0041		
2.422	1.62			2.422	0.0012		
2.403	1.62			2.403	0.00085		
2.393	1.62			2.393	0.0008		
2.214	1.63			2.214	0.00089		
2.019	1.63			2.019	0.00072		
1.873	1.63			1.873	0.00052		
1.823	1.64			1.823	0.00044		
1.813	1.64			1.813	0.00042		
1.802	1.64			1.802	0.0004		
1.381	1.64			1.381	0.00041		
1.357	1.64			1.357	0.00042		
1.192	1.65			1.192	0.00052		
1.148	1.65			1.148	0.00064		
1.016	1.65			1.016	0.001		
0.8731	1.66			0.8731	0.0024		
0.6888	1.68			0.6888	0.0088		
0.5635	1.7			0.5635	0.023		
0.4428	1.72			0.4428	0.06		
0.4133	1.69			0.4133	0.076		
0.3874	1.66			0.3874	0.091		
0.3542	1.63			0.3542	0.11		
0.3263	1.64			0.3263	0.13		
0.2952	1.66			0.2952	0.15		
0.2638	1.68			0.2638	0.18		
0.2384	1.68			0.2384	0.21		
0.1968	1.66			0.1968	0.22		
0.1631	1.65			0.1631	0.24		
0.1362	1.7			0.1362	0.27		
0.1215	1.74			0.1215	0.37		
0.1181	1.75			0.1181	0.4		
0.1159	1.75			0.1159	0.43		
0.1097	1.72			0.1097	0.5		
0.1016	1.67			0.1016	0.58		
0.0925	1.58			0.0925	0.67		
0.08	1.37			0.08	0.77		
0.0785	1.33			0.0785	0.77		
0.0588	0.963			0.0588	0.62		
0.0449	0.812			0.0449	0.38		
0.0415	0.802			0.0415	0.31		
0.0312	0.85			0.0312	0.14		
0.0207	0.92			0.0207	0.049		
