Reference:	"Khare et al. (1987)"
Sample Type:	"Gas Tholin"
Composition:	"CH4 (1)"
Temperature:	"300K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/189"
k₁ Error Units:	Not Applicable

"Wavelength (µm)"	"k₁"	"Dk₁  (+/-)"	
2	0.00166		
1.75	0.00146		
1.5	0.00125		
1.25	0.00106		
1	0.00087		
0.95	0.00083		
0.9	0.00078		
0.85	0.00075		
0.8	0.00072		
0.75	0.00068		
0.7	0.00065		
0.65	0.00066		
0.6	0.00069		
0.55	0.00078		
0.5	0.00108		
0.45	0.0022		
0.4	0.0054		
0.35	0.009		
