Reference:	"Dello Russo and Khanna (1996)"
DOI:	"doi:https://doi.org/10.1006/icar.1996.0165"
Sample Type:	"Ice"
Composition:	"CH3CH2CN (1)"
Temperature:	"95K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/18"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"	"k₁"	"Dk₁  (+/-)"	
75	1.732		0.0348		
80	1.77		0.212		
82	1.726		0.294		
84	1.653		0.325		
85	1.618		0.327		
86	1.588		0.316		
87	1.572		0.297		
88	1.571		0.28		
90	1.592		0.283		
92	1.586		0.325		
93	1.569		0.342		
94	1.549		0.35		
95	1.533		0.352		
96	1.521		0.354		
100	1.475		0.394		
101	1.449		0.403		
102	1.419		0.403		
103	1.395		0.394		
104	1.378		0.382		
105	1.367		0.373		
106	1.355		0.368		
107	1.343		0.364		
108	1.328		0.359		
109	1.315		0.351		
110	1.303		0.343		
115	1.253		0.3		
116	1.246		0.294		
117	1.236		0.288		
118	1.223		0.28		
119	1.211		0.268		
120	1.201		0.252		
121	1.195		0.235		
122	1.192		0.22		
123	1.191		0.207		
124	1.19		0.194		
125	1.189		0.183		
130	1.194		0.127		
140	1.235		0.0639		
150	1.266		0.022		
160	1.299		0.0101		
210	1.416		0.0184		
220	1.525		0.118		
222	1.534		0.213		
223	1.512		0.278		
224	1.457		0.342		
225	1.368		0.384		
226	1.264		0.375		
227	1.181		0.319		
228	1.137		0.243		
229	1.127		0.174		
230	1.137		0.119		
231	1.152		0.0954		
233	1.178		0.0717		
235	1.199		0.0582		
541	1.409		0.00954		
542	1.415		0.0162		
543	1.424		0.0356		
544	1.403		0.053		
545	1.413		0.0492		
546	1.386		0.116		
547	1.305		0.0638		
548	1.328		0.0189		
549	1.348		0.0066		
760	1.398		0.011		
761	1.398		0.0126		
762	1.398		0.0146		
763	1.397		0.0148		
764	1.396		0.0151		
765	1.397		0.0139		
770	1.408		0.0142		
775	1.451		0.024		
776	1.473		0.0343		
777	1.509		0.0608		
778	1.549		0.121		
779	1.536		0.311		
780	1.268		0.348		
781	1.17		0.191		
782	1.192		0.0753		
783	1.241		0.0328		
784	1.269		0.0211		
785	1.286		0.0147		
787	1.308		0.00765		
789	1.321		0.00521		
