Reference:	"Khare et al. (1987)"
Sample Type:	"Gas Tholin"
Composition:	"CH4 (1)"
Temperature:	"300K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/190"
k₁ Error Units:	Not Applicable

"Wavelength (µm)"	"k₁"	"Dk₁  (+/-)"	
2.5	0.017		
2.25	0.014		
2	0.0118		
1.75	0.0095		
1.5	0.0079		
1.25	0.0064		
1	0.0052		
0.95	0.0049		
0.9	0.00475		
0.85	0.0046		
0.8	0.00435		
0.75	0.0042		
0.7	0.0039		
0.65	0.0038		
0.6	0.0037		
0.55	0.00365		
0.5	0.00375		
0.45	0.0042		
0.4	0.0053		
0.35	0.009		
