Reference:	"Khare et al. (1990)"
Sample Type:	"Ice"
Composition:	"CH4 (1)"
Temperature:	"33K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/199"
k₁ Error Units:	The accuracy of k is estimated at ± 5%.

"Wavelength (µm)"	"k₁"	"Dk₁  (+/-)"	
2.608	0		
2.6	0.0011		
2.589	0		
2.439	0		
2.431	0.00014		
2.419	0		
2.393	0		
2.383	0.0013		
2.38	0.009		
2.374	0.00096		
2.353	0		
2.335	0.00095		
2.323	0.0064		
2.299	0.00084		
2.254	0		
2.22	0		
2.207	0.00079		
2.191	0		
1.83	0		
1.806	0		
1.803	2.0E-5		
1.799	8.0E-5		
1.796	0.00018		
1.792	8.0E-5		
1.789	6.0E-5		
1.785	8.0E-5		
1.778	4.0E-5		
1.773	2.0E-5		
1.766	0		
1.735	0		
1.731	1.0E-5		
1.728	4.0E-5		
1.723	0.00025		
1.719	7.0E-5		
1.717	5.0E-5		
1.706	1.0E-5		
1.694	1.0E-5		
1.69	1.0E-5		
1.687	3.0E-5		
1.683	1.0E-5		
1.675	4.0E-5		
1.672	0.00028		
1.669	0.0005		
1.664	0.00017		
1.66	0.00011		
1.655	0.00012		
1.652	8.0E-5		
1.646	3.0E-5		
1.629	0		
1.418	0		
1.415	2.0E-5		
1.41	2.0E-5		
1.407	2.0E-5		
1.405	2.0E-5		
1.402	4.0E-5		
1.394	0		
1.387	0		
1.383	1.0E-5		
1.378	0		
1.365	2.0E-5		
1.364	1.0E-5		
1.359	3.0E-5		
1.355	0		
1.341	0		
1.336	5.0E-5		
1.333	2.0E-5		
1.33	0		
1.173	0		
1.171	1.0E-5		
1.169	1.0E-5		
1.164	5.0E-5		
1.163	5.0E-5		
1.162	2.0E-5		
1.156	0		
1.143	0		
1.138	2.0E-5		
1.133	0		
