Reference:	"Kitta and Krätschmer (1983)"
Sample Type:	"Ice"
Composition:	"H2O (1)"
Temperature:	"23K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/199"
n₁ Error Units:	The accuracy of n values is about 5%.
k₁ Error Units:	The accuracy of n values is about 5%.

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"		"Wavenumber (cm⁻¹)"	"k₁"	"Dk₁  (+/-)"	
650	1.52			650	0.28		
700	1.49			700	0.36		
750	1.39			750	0.4		
775	1.33			775	0.41		
800	1.27			800	0.4		
850	1.17			850	0.32		
900	1.11			900	0.22		
950	1.13			950	0.1		
1000	1.2			1000	0.04		
1100	1.27			1100	0.03		
1200	1.3			1200	0.03		
1300	1.32			1300	0.04		
1400	1.33			1400	0.04		
1500	1.33			1500	0.05		
1600	1.34			1600	0.06		
1650	1.33			1650	0.08		
1675	1.31			1675	0.08		
1700	1.29			1700	0.07		
1725	1.28			1725	0.05		
1750	1.29			1750	0.03		
1800	1.3			1800	0.02		
1900	1.33			1900	0.01		
2000	1.34			2000	0.01		
2100	1.35			2100	0.01		
2200	1.35			2200	0.02		
2300	1.35			2300	0.02		
2400	1.36			2400	0.01		
2500	1.36			2500	0.01		
2600	1.38			2600	0.01		
2700	1.39			2700	0		
2800	1.41			2800	0		
2900	1.45			2900	0		
3000	1.51			3000	0.02		
3100	1.63			3100	0.14		
3140	1.64			3140	0.24		
3200	1.56			3200	0.38		
3220	1.51			3220	0.42		
3240	1.46			3240	0.45		
3260	1.4			3260	0.46		
3280	1.34			3280	0.47		
3300	1.29			3300	0.46		
3320	1.24			3320	0.45		
3340	1.2			3340	0.43		
3400	1.08			3400	0.34		
3440	1.03			3440	0.26		
3500	1.03			3500	0.12		
3600	1.13			3600	0.02		
3700	1.19			3700	0		
3800	1.22			3800	0		
3900	1.24			3900	0		
4000	1.25			4000	0		
