Reference:	"Dello Russo and Khanna (1996)"
DOI:	"doi:https://doi.org/10.1006/icar.1996.0165"
Sample Type:	"Ice"
Composition:	"CH2CHCN (1)"
Temperature:	"35K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/19"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"		"Wavenumber (cm⁻¹)"	"k₁"	"Dk₁  (+/-)"	
87	2.061			87	0.133		
88	2.046			88	0.288		
89	1.951			89	0.391		
90	1.843			90	0.418		
91	1.762			91	0.396		
92	1.719			92	0.366		
93	1.691			93	0.344		
94	1.668			94	0.325		
95	1.647			95	0.3		
100	1.687			100	0.147		
105	2.015			105	0.221		
106	2.061			106	0.317		
107	2.076			107	0.423		
108	2.065			108	0.527		
109	2.035			109	0.625		
110	1.987			110	0.719		
111	1.92			111	0.806		
112	1.832			112	0.883		
113	1.725			113	0.939		
114	1.607			114	0.969		
115	1.487			115	0.971		
116	1.374			116	0.947		
117	1.272			117	0.901		
118	1.189			118	0.838		
119	1.126			119	0.765		
120	1.084			120	0.691		
125	1.007			125	0.368		
130	1.168			130	0.157		
135	1.292			135	0.103		
140	1.478			140	0.189		
145	1.452			145	0.372		
147	1.386			147	0.443		
148	1.338			148	0.465		
149	1.284			149	0.476		
150	1.226			150	0.475		
151	1.168			151	0.456		
152	1.119			152	0.421		
153	1.084			153	0.375		
155	1.058			155	0.284		
160	1.079			160	0.132		
220	1.41			220	0.00564		
230	1.464			230	0.0405		
236	1.469			236	0.0646		
238	1.484			238	0.0667		
240	1.511			240	0.0726		
245	1.662			245	0.242		
246	1.664			246	0.345		
247	1.615			247	0.467		
248	1.502			248	0.576		
249	1.336			249	0.623		
250	1.168			250	0.58		
251	1.047			251	0.473		
252	0.989			252	0.346		
253	0.984			253	0.231		
254	1.011			254	0.141		
260	1.205			260	0.00863		
265	1.259			265	0.00013		
360	1.382			360	0.00671		
365	1.396			365	0.0208		
366	1.394			366	0.0293		
367	1.389			367	0.0378		
368	1.38			368	0.0439		
369	1.369			369	0.0456		
370	1.358			370	0.0422		
371	1.35			371	0.0348		
372	1.347			372	0.0259		
373	1.347			373	0.0178		
374	1.349			374	0.012		
375	1.351			375	0.00819		
380	1.363			380	0.00125		
680	1.457			680	0.00596		
685	1.477			685	0.0202		
690	1.511			690	0.0431		
691	1.531			691	0.0549		
692	1.567			692	0.0828		
693	1.611			693	0.172		
694	1.521			694	0.35		
695	1.289			695	0.317		
696	1.232			696	0.169		
697	1.259			697	0.0859		
698	1.29			698	0.0469		
699	1.318			699	0.0295		
700	1.336			700	0.022		
