Reference:	"Baratta and Palumbo (1998)"
DOI:	"doi:https://doi.org/10.1364/JOSAA.15.003076"
Sample Type:	"Ice"
Composition:	"CO (1)"
Temperature:	"12.5K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/1"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"	"k₁"	"Dk₁  (+/-)"	
1800	1.268227		0.004416		
1801	1.268293		0.004689		
1802	1.268212		0.004801		
1803	1.268072		0.004884		
1804	1.267869		0.004803		
1805	1.267875		0.004427		
1806	1.268137		0.004286		
1807	1.268338		0.004406		
1808	1.268376		0.004516		
1809	1.268437		0.004474		
1810	1.268562		0.004572		
1811	1.268525		0.004817		
1812	1.268294		0.004874		
1813	1.268211		0.004575		
1814	1.26838		0.004435		
1815	1.268579		0.004487		
1816	1.268628		0.004719		
1817	1.268427		0.004885		
1818	1.268207		0.004685		
1819	1.26823		0.004362		
1820	1.268438		0.004183		
1821	1.268661		0.004154		
1822	1.268888		0.004135		
1823	1.269185		0.004207		
1824	1.269478		0.004517		
1825	1.269389		0.00519		
1826	1.268781		0.005499		
1827	1.268347		0.004963		
1828	1.268537		0.00445		
1829	1.268961		0.004481		
1830	1.269011		0.004976		
1831	1.268613		0.005136		
1832	1.268354		0.004712		
1833	1.26853		0.004324		
1834	1.26876		0.004364		
1835	1.268855		0.004341		
1836	1.269026		0.004272		
1837	1.269169		0.004442		
1838	1.269135		0.004574		
1839	1.26909		0.004508		
1840	1.269166		0.004416		
1841	1.269351		0.004385		
1842	1.269525		0.004545		
1843	1.269678		0.004702		
1844	1.269708		0.005159		
1845	1.269187		0.005724		
1846	1.268504		0.005367		
1847	1.268393		0.004659		
1848	1.268707		0.00434		
1849	1.268921		0.004437		
1850	1.268941		0.004442		
1851	1.268884		0.004408		
1852	1.268949		0.004106		
1853	1.269237		0.003995		
1854	1.269423		0.004184		
1855	1.269466		0.004253		
1856	1.269442		0.004364		
1857	1.269364		0.004316		
1858	1.269411		0.004151		
1859	1.269502		0.004151		
1860	1.269629		0.004034		
1861	1.269776		0.004134		
1862	1.269793		0.00421		
1863	1.269813		0.004145		
1864	1.270001		0.004045		
1865	1.270161		0.004271		
1866	1.270121		0.004425		
1867	1.270123		0.00438		
1868	1.27023		0.004463		
1869	1.270194		0.004741		
1870	1.269884		0.004904		
1871	1.269588		0.004615		
1872	1.269666		0.004163		
1873	1.269949		0.004071		
1874	1.270141		0.004132		
1875	1.270245		0.004205		
1876	1.270297		0.004276		
1877	1.270348		0.004309		
1878	1.270339		0.004437		
1879	1.270244		0.004441		
1880	1.27022		0.004313		
1881	1.270277		0.004245		
1882	1.270356		0.004189		
1883	1.270446		0.004178		
1884	1.270491		0.004202		
1885	1.270577		0.004116		
1886	1.270714		0.004165		
1887	1.270745		0.004289		
1888	1.270731		0.00427		
1889	1.270803		0.00423		
1890	1.270846		0.004331		
1891	1.270813		0.004335		
1892	1.270796		0.004282		
1893	1.270868		0.004149		
1894	1.271075		0.004093		
1895	1.271201		0.004307		
1896	1.271162		0.004402		
1897	1.271162		0.004375		
1898	1.27119		0.004435		
1899	1.27117		0.004483		
1900	1.271082		0.004516		
1901	1.271045		0.004346		
1902	1.271139		0.004245		
1903	1.271255		0.00422		
1904	1.271388		0.004219		
1905	1.271456		0.004366		
1906	1.271362		0.004464		
1907	1.271288		0.004319		
1908	1.271362		0.004178		
1909	1.27152		0.004116		
1910	1.27166		0.004192		
1911	1.271635		0.00434		
1912	1.271569		0.00422		
1913	1.271663		0.004056		
1914	1.271881		0.003986		
1915	1.272068		0.004114		
1916	1.272153		0.004234		
1917	1.272197		0.004347		
1918	1.272169		0.004485		
1919	1.272057		0.004531		
1920	1.271996		0.004405		
1921	1.272099		0.004267		
1922	1.272233		0.004335		
1923	1.272257		0.004434		
1924	1.27219		0.004487		
1925	1.272151		0.004381		
1926	1.272202		0.00431		
1927	1.272191		0.004331		
1928	1.272228		0.004118		
1929	1.272415		0.004048		
1930	1.272509		0.004153		
1931	1.272498		0.004114		
1932	1.272576		0.003952		
1933	1.272821		0.003827		
1934	1.27308		0.003952		
1935	1.273193		0.004145		
1936	1.273192		0.00428		
1937	1.273146		0.004331		
1938	1.273126		0.004275		
1939	1.273224		0.004158		
1940	1.273406		0.004171		
1941	1.273578		0.00427		
1942	1.273668		0.004491		
1943	1.273571		0.004743		
