Reference:	"Khare et al. (1993)"
DOI:	"doi:https://doi.org/10.1006/icar.1993.1071"
Sample Type:	"Ice Tholin"
Composition:	"H2O:C2H6 (6:1)"
Temperature:	"300K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/200"
n₁ Error Units:	n values are accurate to ± 0.01 on an absolute scale and to ± 0.002 on a relative scale.
k₁ Error Units:	k values are estimated to be accurate to ± 20%, except in regions where k ≤ 1E-2, where they are accurate to ± 50%.

"Wavelength (µm)"	"n₁"	"Dn₁  (+/-)"	"k₁"	"Dk₁  (+/-)"	
40	1.576		0.0451		
36.47	1.57		0.0416		
32.63	1.565		0.0425		
28.83	1.559		0.043		
25.83	1.553		0.0399		
23.39	1.548		0.0356		
21.38	1.546		0.0328		
19.68	1.544		0.0303		
18.23	1.543		0.0286		
16.98	1.542		0.0284		
15.9	1.542		0.0277		
14.94	1.541		0.0269		
14.09	1.539		0.0265		
13.48	1.54		0.026		
12.78	1.54		0.0258		
12.28	1.536		0.029		
11.92	1.539		0.0271		
11.48	1.538		0.0237		
10.97	1.538		0.0253		
10.51	1.538		0.0261		
10.08	1.535		0.0259		
9.84	1.536		0.029		
9.464	1.531		0.0258		
9.184	1.529		0.0301		
8.984	1.53		0.0214		
8.793	1.532		0.0221		
8.67	1.535		0.0218		
8.55	1.533		0.0249		
8.434	1.533		0.0243		
8.211	1.532		0.026		
7.999	1.53		0.0283		
7.847	1.526		0.0293		
7.653	1.528		0.0261		
7.424	1.532		0.0231		
7.336	1.536		0.0236		
7.25	1.521		0.0261		
7.208	1.513		0.0263		
7.085	1.523		0.0457		
6.965	1.531		0.0265		
6.85	1.513		0.0224		
6.775	1.494		0.0236		
6.666	1.507		0.0241		
6.525	1.518		0.0413		
6.391	1.526		0.041		
6.293	1.528		0.0508		
6.199	1.526		0.0495		
6.107	1.528		0.0376		
6.048	1.531		0.0176		
6.018	1.533		0.00929		
5.989	1.534		0.00687		
5.961	1.534		0.00713		
5.904	1.53		0.016		
5.848	1.515		0.0153		
5.821	1.509		0.0218		
5.74	1.504		0.0393		
5.661	1.503		0.0405		
5.585	1.504		0.0333		
5.486	1.512		0.022		
5.321	1.516		0.00558		
5.06	1.52		0.0042		
4.843	1.522		0.0035		
4.609	1.524		0.00287		
4.428	1.525		0.00295		
4.26	1.526		0.00483		
4.119	1.527		0.00694		
3.987	1.529		0.012		
3.874	1.53		0.0152		
3.768	1.533		0.0331		
3.668	1.535		0.0284		
3.583	1.541		0.0295		
3.502	1.554		0.0475		
3.483	1.551		0.0527		
3.463	1.543		0.0445		
3.444	1.548		0.0628		
3.425	1.543		0.0456		
3.415	1.535		0.0116		
3.406	1.527		0.0077		
3.387	1.525		0.00653		
3.378	1.514		0.00483		
3.369	1.498		0.00479		
3.342	1.485		0.00494		
3.315	1.501		0.0055		
3.254	1.512		0.00722		
3.195	1.516		0.00684		
3.115	1.519		0.00666		
2.973	1.522		0.00496		
2.897	1.519		0.00159		
2.792	1.519		0.000186		
2.713	1.521		0.000505		
2.616	1.524		0.000954		
2.48	1.525		0.00301		
1.771	1.529		0.00502		
1.24	1.528		0.00187		
0.886	1.532		0.00144		
0.689	1.539		0.000956		
0.563	1.546		0.000393		
0.477	1.555		0.00106		
0.413	1.569		0.00158		
0.365	1.585		0.00212		
0.326	1.603		0.0028		
0.295	1.617		0.0059		
0.269	1.63		0.0067		
0.248	1.647		0.0165		
0.23	1.672		0.0353		
0.221	1.681		0.0691		
0.214	1.66		0.0965		
0.203	1.611		0.135		
0.191	1.594		0.179		
0.185	1.597		0.184		
0.175	1.616		0.171		
0.17	1.642		0.163		
0.161	1.667		0.149		
0.153	1.716		0.139		
0.146	1.771		0.13		
0.138	1.821		0.119		
0.133	1.803		0.132		
0.129	1.78		0.135		
0.125	1.724		0.134		
0.123	1.645		0.145		
0.12	1.582		0.159		
0.117	1.509		0.177		
0.113	1.471		0.21		
0.11	1.577		0.254		
0.108	1.69		0.31		
0.107	1.734		0.365		
0.105	1.773		0.411		
0.103	1.732		0.457		
0.102	1.679		0.506		
0.101	1.602		0.567		
0.0992	1.566		0.569		
0.0976	1.555		0.55		
0.0939	1.515		0.476		
0.0905	1.453		0.418		
0.0867	1.369		0.327		
0.0843	1.301		0.298		
0.0805	1.195		0.367		
0.0765	1.122		0.501		
0.0734	1.071		0.648		
0.07	1.021		0.663		
0.0667	0.976		0.655		
0.0636	0.941		0.643		
0.0602	0.913		0.658		
0.0564	0.896		0.674		
					0.69		
					0.706		
					0.72		
					0.733		
					0.746		
					0.757		
					0.766		
					0.775		
					0.781		
					0.771		
					0.756		
					0.741		
					0.622		
					0.47		
