Reference:	"Kitta and Krätschmer (1983)"
Sample Type:	"Ice"
Composition:	"H2O (1)"
Temperature:	"23K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/201"
n₁ Error Units:	The accuracy of n values is about 5%.
k₁ Error Units:	The accuracy of n values is about 5%.

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"	"k₁"	"Dk₁  (+/-)"	
650	1.52		0.28		
700	1.49		0.36		
750	1.39		0.4		
775	1.33		0.41		
800	1.27		0.4		
850	1.17		0.32		
900	1.11		0.22		
950	1.13		0.1		
1000	1.2		0.04		
1100	1.27		0.03		
1200	1.3		0.03		
1300	1.32		0.04		
1400	1.33		0.04		
1500	1.33		0.05		
1600	1.34		0.06		
1650	1.33		0.08		
1675	1.31		0.08		
1700	1.29		0.07		
1725	1.28		0.05		
1750	1.29		0.03		
1800	1.3		0.02		
1900	1.33		0.01		
2000	1.34		0.01		
2100	1.35		0.01		
2200	1.35		0.02		
2300	1.35		0.02		
2400	1.36		0.01		
2500	1.36		0.01		
2600	1.38		0.01		
2700	1.39		0		
2800	1.41		0		
2900	1.45		0		
3000	1.51		0.02		
3100	1.63		0.14		
3140	1.64		0.24		
3200	1.56		0.38		
3220	1.51		0.42		
3240	1.46		0.45		
3260	1.4		0.46		
3280	1.34		0.47		
3300	1.29		0.46		
3320	1.24		0.45		
3340	1.2		0.43		
3400	1.08		0.34		
3440	1.03		0.26		
3500	1.03		0.12		
3600	1.13		0.02		
3700	1.19		0		
3800	1.22		0		
3900	1.24		0		
4000	1.25		0		
