Reference:	"Kofman et al. (2019)"
DOI:	"doi:https://doi.org/10.3847/1538-4357/ab0d89"
Sample Type:	"Ice"
Composition:	"H2O (1)"
Temperature:	"10K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/202"
n₁ Error Units:	Not Applicable

"Wavelength (µm)"	"n₁"	"Dn₁  (+/-)"	
0.757	1.1877		
0.7564	1.1877		
0.7558	1.1877		
0.7553	1.1877		
0.7547	1.1877		
0.7542	1.1877		
0.7536	1.1877		
0.753	1.1877		
0.7525	1.1877		
0.7519	1.1877		
0.7513	1.1877		
0.7508	1.1877		
0.7502	1.1877		
0.7497	1.1877		
0.7491	1.1877		
0.7485	1.1877		
0.748	1.1877		
0.7474	1.1877		
0.7468	1.1877		
0.7463	1.1877		
0.7457	1.1877		
0.7452	1.1877		
0.7446	1.1877		
0.744	1.1878		
0.7435	1.1878		
0.7429	1.1878		
0.7424	1.1878		
0.7418	1.1878		
0.7412	1.1878		
0.7407	1.1878		
0.7401	1.1878		
0.7395	1.1878		
0.739	1.1878		
0.7384	1.1878		
0.7379	1.1878		
0.7373	1.1878		
0.7367	1.1878		
0.7362	1.1878		
0.7356	1.1878		
0.735	1.1878		
0.7345	1.1878		
0.7339	1.1878		
0.7334	1.1878		
0.7328	1.1878		
0.7322	1.1878		
0.7317	1.1878		
0.7311	1.1879		
0.7306	1.1879		
0.73	1.1879		
0.7294	1.1879		
0.7289	1.1879		
0.7283	1.1879		
0.7277	1.1879		
0.7272	1.1879		
0.7266	1.1879		
0.7261	1.1879		
0.7255	1.1879		
0.7249	1.1879		
0.7244	1.1879		
0.7238	1.1879		
0.7232	1.1879		
0.7227	1.1879		
0.7221	1.1879		
0.7216	1.1879		
0.721	1.1879		
0.7204	1.1879		
0.7199	1.1879		
0.7193	1.1879		
0.7188	1.188		
0.7182	1.188		
0.7176	1.188		
0.7171	1.188		
0.7165	1.188		
0.7159	1.188		
0.7154	1.188		
0.7148	1.188		
0.7143	1.188		
0.7137	1.188		
0.7131	1.188		
0.7126	1.188		
0.712	1.188		
0.7114	1.188		
0.7109	1.188		
0.7103	1.188		
0.7098	1.188		
0.7092	1.188		
0.7086	1.188		
0.7081	1.188		
0.7075	1.1881		
0.707	1.1881		
0.7064	1.1881		
0.7058	1.1881		
0.7053	1.1881		
0.7047	1.1881		
0.7041	1.1881		
0.7036	1.1881		
0.703	1.1881		
0.7025	1.1881		
0.7019	1.1881		
0.7013	1.1881		
0.7008	1.1881		
0.7002	1.1881		
0.6996	1.1881		
0.6991	1.1881		
0.6985	1.1881		
0.698	1.1881		
0.6974	1.1881		
0.6968	1.1882		
0.6963	1.1882		
0.6957	1.1882		
0.6952	1.1882		
0.6946	1.1882		
0.694	1.1882		
0.6935	1.1882		
0.6929	1.1882		
0.6923	1.1882		
0.6918	1.1882		
0.6912	1.1882		
0.6907	1.1882		
0.6901	1.1882		
0.6895	1.1882		
0.689	1.1882		
0.6884	1.1882		
0.6878	1.1882		
0.6873	1.1882		
0.6867	1.1882		
0.6862	1.1883		
0.6856	1.1883		
0.685	1.1883		
0.6845	1.1883		
0.6839	1.1883		
0.6834	1.1883		
0.6828	1.1883		
0.6822	1.1883		
0.6817	1.1883		
0.6811	1.1883		
0.6805	1.1883		
0.68	1.1883		
0.6794	1.1883		
0.6789	1.1883		
0.6783	1.1883		
