Reference:	"Dello Russo and Khanna (1996)"
DOI:	"doi:https://doi.org/10.1006/icar.1996.0165"
Sample Type:	"Ice"
Composition:	"CH2CHCN (1)"
Temperature:	"95K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/20"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"	"k₁"	"Dk₁  (+/-)"	
87	1.983		0.342		
88	1.919		0.411		
89	1.834		0.456		
90	1.739		0.465		
91	1.654		0.428		
92	1.605		0.36		
93	1.599		0.29		
94	1.622		0.241		
95	1.653		0.215		
100	1.871		0.239		
105	1.934		0.573		
106	1.9		0.674		
107	1.828		0.768		
108	1.725		0.833		
109	1.611		0.861		
110	1.501		0.856		
111	1.406		0.825		
112	1.332		0.778		
113	1.281		0.725		
114	1.247		0.681		
115	1.218		0.65		
116	1.182		0.624		
117	1.137		0.589		
118	1.096		0.535		
119	1.072		0.469		
120	1.069		0.405		
125	1.152		0.194		
130	1.286		0.147		
135	1.385		0.21		
140	1.375		0.31		
145	1.239		0.369		
147	1.161		0.344		
148	1.129		0.313		
149	1.11		0.274		
150	1.104		0.236		
151	1.108		0.205		
152	1.114		0.182		
153	1.119		0.163		
155	1.126		0.127		
160	1.177		0.0577		
220	1.422		0.00859		
230	1.46		0.0362		
236	1.476		0.0639		
238	1.491		0.0704		
240	1.516		0.084		
245	1.604		0.262		
246	1.584		0.343		
247	1.526		0.426		
248	1.428		0.487		
249	1.307		0.501		
250	1.191		0.46		
251	1.109		0.381		
252	1.066		0.29		
253	1.059		0.204		
254	1.077		0.135		
260	1.225		0.0153		
265	1.271		0.00504		
360	1.394		0.00887		
365	1.389		0.0301		
366	1.383		0.0333		
367	1.376		0.0339		
368	1.369		0.0316		
369	1.364		0.0271		
370	1.362		0.0217		
371	1.361		0.0169		
372	1.363		0.0132		
373	1.364		0.0108		
374	1.365		0.00906		
375	1.366		0.00761		
380	1.373		0.00614		
680	1.453		0.00769		
685	1.47		0.0179		
690	1.5		0.0402		
691	1.517		0.0541		
692	1.538		0.0887		
693	1.528		0.154		
694	1.475		0.189		
695	1.422		0.212		
696	1.342		0.199		
697	1.297		0.134		
698	1.303		0.0789		
699	1.321		0.0493		
700	1.338		0.035		
